"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","2834","臺企銀","16.45","+0.1","+0.61","08/27","+10,141","+21,620","+33,361","+57,066","+93,872","+150,623","+129,845","+412,554","+419,906","+433,355"
"2","00712","復華富時不動產","8.73","-0.02","-0.23","08/27","+19,465","+19,465","+19,465","+19,465","+11,065","+11,041","+12,614","+2,017","-2,542","+15,997"
"3","1101","台泥","24.3","+0.2","+0.83","08/27","+2,719","+10,284","+12,955","+18,525","+25,573","+27,056","+191,780","+470,004","+495,675","+521,836"
"4","00403A","主動統一升級50","10.36","+0.11","+1.07","08/27","+205","-1,311","+6,002","+16,861","+36,011","-19,084","+119,040","","",""
"5","2344","華邦電","181.5","-4.5","-2.42","08/27","+2,094","+3,070","+8,867","+15,245","-4,211","-113,614","-109,963","+45,092","-46,117","+51,935"
"6","3231","緯創","178","-1.5","-0.84","08/27","+4,131","+4,332","+10,802","+12,906","+29,745","+9,617","+99,250","+29,481","+159,090","+101,109"
"7","2884","玉山金","38.75","+0.2","+0.52","08/27","-945","+6,330","+9,250","+12,591","+39,217","+69,300","-77,704","-76,900","+210,603","+16,253"
"8","3036","文曄","196","+3","+1.55","08/27","+1,752","+4,589","+7,343","+10,443","+9,896","+4,555","+15,125","+47,606","+65,820","+46,541"
"9","2317","鴻海","253","+1","+0.4","08/27","+990","+2,192","+7,247","+7,696","+6,470","-5,209","-6,735","+5,742","-35,850","+16,113"
"10","2303","聯電","130","+11.5","+9.7","08/27","+2,755","+4,746","+5,133","+7,473","+4,799","-22,393","-507,688","-357,320","-986,362","-518,935"
"11","5483","中美晶","183.5","+1.5","+0.82","08/27","+555","+1,725","+2,945","+7,425","+8,590","+14,995","+24,427","+23,376","+27,784","+21,117"
"12","00406A","主動中信台灣收益","9.81","+0.11","+1.13","08/27","+150","+305","+1,867","+6,845","+9,974","+8,733","","","",""
"13","00953B","群益優選非投等債","9.63","-0.05","-0.52","08/27","+1,758","+1,908","+2,915","+6,435","+10,922","+18,815","+7,893","+16,114","+41,507","+40,225"
"14","4763","材料*-KY","45.65","-0.15","-0.33","08/27","+3","+836","+3,155","+6,037","-1,075","-6,975","-9,976","-15,823","+13,409","-10,703"
"15","4958","臻鼎-KY","480.5","+3.5","+0.73","08/27","+1,073","+1,814","+1,564","+6,019","+12,122","+14,931","+4,238","+18,753","-34,850","+16,297"
"16","009826","貝萊德世界股票","10.13","-0.03","-0.3","08/27","0","+773","+1,099","+5,967","+12,893","","","","",""
"17","2887","台新新光金","37.5","+0.2","+0.54","08/27","-2,010","+1,077","-418","+5,813","+39,018","+51,652","+142,176","+274,075","+198,313","+157,845"
"18","6182","合晶","110","+1","+0.92","08/27","+521","+1,956","+2,624","+5,727","+26,925","+24,449","+22,734","+6,375","+32,056","+7,866"
"19","00685L","群益臺灣加權正2","11.96","+0.12","+1.01","08/27","-2,479","-2,479","+2,687","+5,505","+12,446","+40,965","+405,248","+405,921","+407,465","+406,042"
"20","3049","精金","13.5","+0.8","+6.3","08/27","+1,596","+2,955","+3,899","+5,367","+5,486","+5,486","+5,486","+5,486","+5,486","+5,486"
