"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"106","6223","旺矽","5255","-15","-0.28","1,187","08/19","+2.85","+9.65","+17.8","+19.9","+21.8","+3.37","-15.7","-2.13","-49.4","-13.6"
"107","00981D","主動中信非投等債","10.34","-0.01","-0.1","2,094","08/19","-6.59","-3.02","+17.5","+19.6","+20.4","-21.4","-44.4","-67.5","","-44.4"
"108","1476","儒鴻","311.5","+1","+0.32","2,144","08/19","+2.74","+7.26","+11.2","+18.8","+89.9","+48.8","+75.5","+430","+294","+184"
"109","8083","瑞穎","158.5","0","0","122","08/19","-5","-9.52","-9.52","+18.8","+18.8","-26.9","-44.1","-67.8","-85.2","-48.6"
"110","1723","中碳","86.3","-0.1","-0.12","221","08/19","-1.97","+2.05","+16.2","+18.7","+15.6","+2.95","-18.4","+59.1","+76","+26.5"
"111","6588","東典光電","95","+0.5","+0.53","1,922","08/19","+2.41","+8.06","+11.6","+18.5","+9.22","+49","-5.94","-21.6","","+15.6"
"112","4938","和碩","89.4","-1.6","-1.76","10,010","08/19","+1.87","+2.04","+5.64","+18.3","+18","+10.1","+3.63","-2.26","+110","-9.63"
"113","6173","信昌電","213.5","+19","+9.77","9,949","08/19","+5.85","+4.35","+0.8","+18.3","+30.8","+25.5","-0.06","+31.6","+255","+45.6"
"114","4163","鐿鈦","145.5","0","0","44","08/19","+1.89","-8.47","+9.64","+18","+33.3","-18.8","-19.1","+266","+440","+671"
"115","2480","敦陽科","158.5","+2","+1.28","106","08/19","0","-0.22","-0.45","+18","+7.47","+26","+0.68","+13.2","+103","+39.4"
"116","8103","瀚荃","83.6","+0.2","+0.24","1,654","08/19","+0.48","+17.7","+17.1","+18","+32.2","+11.7","-17.7","-31.3","-2.72","-30.7"
"117","4556","旭然","76.5","-1.2","-1.54","333","08/19","+0.15","-1.51","-1.21","+17.4","+29.6","+46.7","+142","+36","-22.6","+30.1"
"118","3467","台灣精材","45.95","+0.5","+1.1","16","08/19","0","0","+7.24","+17.3","+27.3","-58.6","-70","+15.6","","+35.8"
