證券代號,證券名稱,交易別,成交價,成交股數,成交金額
2059,川湖,配對交易,"9,517.06","3,000","28,551,180"
2303,聯電,配對交易,122.00,"3,583,000","437,126,000"
2308,台達電,配對交易,"1,672.50","130,000","217,425,000"
2308,台達電,配對交易,"1,650.00","2,980,000","4,917,000,000"
2327,國巨*,配對交易,586.52,"334,280","196,061,906"
2327,國巨*,配對交易,586.50,"213,720","125,346,780"
2327,國巨*,配對交易,552.56,"30,000","16,576,800"
2330,台積電,配對交易,"2,405.00","1,284,000","3,088,020,000"
2330,台積電,配對交易,"2,401.34","21,560","51,772,890"
2330,台積電,配對交易,"2,401.33","22,440","53,885,845"
2330,台積電,配對交易,"2,397.50","81,000","194,197,500"
2330,台積電,配對交易,"2,396.74","9,000","21,570,660"
2330,台積電,配對交易,"2,396.73","46,000","110,249,580"
2344,華邦電,配對交易,157.00,"200,934","31,546,638"
2344,華邦電,配對交易,141.50,"2,404,000","340,166,000"
2345,智邦,配對交易,"2,387.50","8,000","19,100,000"
2454,聯發科,配對交易,"4,067.50","33,000","134,227,500"
2454,聯發科,配對交易,"4,048.46","11,900","48,176,674"
2454,聯發科,配對交易,"4,048.43","23,100","93,518,733"
2454,聯發科,配對交易,"4,000.00","419,000","1,676,000,000"
2540,愛山林,配對交易,50.30,"4,030,000","202,709,000"
2892,第一金,配對交易,35.73,"420,000","15,006,600"
2892,第一金,配對交易,35.72,"1,790,000","63,938,800"
4904,遠傳,配對交易,101.07,"270,000","27,288,900"
4904,遠傳,配對交易,101.06,"180,000","18,190,800"
6176,瑞儀,配對交易,95.80,"178,000","17,052,400"
6805,富世達,配對交易,"1,606.03","11,000","17,666,330"
8996,高力,配對交易,"1,063.12","97,000","103,122,640"
總計,,,,"18,813,934","12,265,495,156"
