"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"1","4506","崇友","122","-1","-0.81","54","08/19","","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2","00967B","元大優息美債","8.94","+0.06","+0.68","158","08/19","0","0","0","-97.6","-97.6","0","0","-28.6","-96.7","-37.5"
"3","00921","兆豐龍頭等權重","23.79","-0.13","-0.54","49","08/19","-91.3","-93.9","-95.1","-95.1","-95.1","+100","","-91.3","-96.8","-94.9"
"4","6615","慧智","33.65","0","0","2","08/19","0","0","0","-85.7","-85.7","-88.9","-95.5","","",""
"5","00683L","期元大美元指正2","21.48","+0.05","+0.23","50","08/19","0","0","-33.3","-79.2","-25.9","-41.7","-55.2","-88.3","-93.3","-87.8"
"6","00728","第一金工業30","66.3","-0.6","-0.9","162","08/19","-14.3","-25","+500","-76.9","+500","+200","","0","-83.8","-75"
"7","00989B","台新美國非投等債","10.1","0","0","2,249","08/19","0","-67.6","-67.6","-69","+700","-98.5","+7,900","","",""
"8","3489","森寶","23.8","+0.15","+0.63","122","08/19","-14.1","-15.3","-6.87","-64.7","-73.2","-84.1","-92.5","-90.3","-91","-88.9"
"9","6961","旅天下","50.8","-0.2","-0.39","10","08/19","0","0","","-60","-80","","","","",""
"10","2904","匯僑","12.7","+0.05","+0.4","24","08/19","0","+8.33","+8.33","-59.4","-59.4","-61.8","-59.4","+62.5","-50","-35"
"11","00678","群益那斯達克生技","42.45","+0.5","+1.19","439","08/19","-25","-59.1","-59.1","-59.1","-59.1","-65.4","-18.2","-66.7","-59.1","-82.4"
"12","3045","台灣大","113.5","+2.5","+2.25","26,629","08/19","-55","-55.8","-64.9","-56","-44.7","+73.3","+56.5","-42.7","+0.14","+0.87"
"13","4530","宏易","26.8","+0.55","+2.1","26","08/19","-54.3","-54.3","-54.3","-54.3","-54.3","-51.2","+40","","",""
"14","6195","詩肯","27.65","0","0","0","08/19","0","0","0","-51.4","-37","-34.6","-63.8","-62.2","-57.5","-66"
"15","5209","新鼎","161.5","0","0","24","08/19","+11.1","-48.7","-45.9","-51.2","-47.4","-51.2","+25","-63.6","","-47.4"
"16","009806","台新標普500","13.65","-0.02","-0.15","91","08/19","0","0","0","-50","","","-83.3","-66.7","",""
"17","8047","星雲","49.15","0","0","22","08/19","-50","-50","-50","-50","-50","-50","-75","-94.1","-99.9","-94.1"
"18","8481","政伸","40.2","+0.1","+0.25","15","08/19","0","0","0","-50","0","0","-28.6","-50","-50","+25"
"19","00912","中信臺灣智慧50","33.6","-0.67","-1.96","167","08/19","-14.3","-14.3","-22.2","-48.8","-77","-74.5","+950","+500","+121","+44.8"
"20","4726","永昕","24.3","+0.3","+1.25","113","08/19","0","-46.3","-46.3","-46.3","-47.1","-56","-81.5","-87.1","-95.9","-93"
"21","00917","中信特選金融","24.23","+0.08","+0.33","236","08/19","0","-58.8","-57.3","-45.2","-44.3","+24.1","+24.1","-76.7","+636","+390"
