排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
1801,8034,榮群,17.6,-1.05,-5.63,2026,0.0,0.0,8.59,6.15,0.08,-0.55,0.92,0.32,90.4,-5.92,0,0.0
1802,8038,長園科,30.3,-1.1,-3.5,2026,0.01,0.01,0.84,0.27,0.0,0.0,7.85,1.09,91.3,-0.42,0,-0.95
1803,8039,台虹,158.0,-17.5,-9.97,2026,0.0,-0.27,17.8,4.31,0.74,0.7,32.2,3.7,49.2,-8.43,0,0.0
1804,8040,九暘,61.2,-3.3,-5.12,2026,0.0,0.0,2.09,0.64,0.15,-0.04,46.0,2.43,51.8,-3.03,0,0.0
1805,8042,金山電,89.8,-5.6,-5.87,2026,0.0,0.0,5.97,1.04,0.0,0.0,52.1,-3.82,41.9,2.77,0,0.0
1806,8043,蜜望實,115.0,-4.5,-3.77,2026,0.0,0.0,2.8,1.24,0.0,0.0,31.8,0.0,65.4,-1.24,0,0.0
1807,8045,達運光電,52.4,-1.0,-1.87,2026,0.0,0.0,0.91,0.19,0.0,0.0,37.6,-2.48,61.5,2.29,0,0.0
1808,8046,南電,837.0,-42.0,-4.78,2026,0.09,-0.01,13.4,9.33,5.76,4.27,69.1,0.13,11.6,-13.7,0,0.0
1809,8047,星雲,42.1,-2.1,-4.75,2026,0.0,0.0,0.77,-1.37,0.0,0.0,68.7,45.0,30.5,-43.6,0,0.0
1810,8048,德勝,48.3,-0.9,-1.83,2026,0.0,0.0,4.54,3.15,0.0,0.0,21.6,-0.96,73.9,-2.05,0,-0.14
1811,8049,晶采,25.3,0.4,1.61,2026,0.0,0.0,2.38,-0.59,0.09,-0.06,22.4,-0.27,75.1,0.93,0,0.0
1812,8054,安國,75.6,-3.4,-4.3,2026,0.0,0.0,2.08,-3.96,20.3,10.7,1.73,-12.0,75.9,5.26,0,0.0
1813,8059,凱碩,14.0,-0.3,-2.1,2026,0.0,0.0,0.63,-1.05,0.0,0.0,67.0,-0.26,32.4,1.31,0,0.0
1814,8064,東捷,83.6,-4.2,-4.78,2026,0.02,0.02,14.3,11.7,0.0,0.0,34.8,8.9,50.8,-20.6,0,0.0
1815,8066,來思達,14.9,0.15,1.02,2026,0.0,0.0,3.01,-0.54,0.0,0.0,29.5,12.7,67.5,-12.2,0,0.0
1816,8067,志旭,12.65,-0.1,-0.78,2026,0.0,0.0,8.42,0.0,0.0,0.0,26.4,0.04,65.2,-0.04,0,0.0
1817,8068,全達,16.55,0.1,0.61,2026,0.0,0.0,8.79,1.52,0.0,0.0,54.4,-2.64,36.8,1.11,0,0.0
1818,8069,元太,182.0,3.0,1.68,2026,0.25,-0.32,36.7,-6.37,6.35,-1.78,25.8,-1.32,30.9,9.78,0,0.0
1819,8071,能率網通,19.6,-0.45,-2.24,2026,0.0,0.0,2.0,-1.32,0.12,-0.5,29.1,0.23,68.8,1.59,0,0.0
1820,8072,陞泰,25.7,-0.15,-0.58,2026,0.0,0.0,2.25,0.44,0.0,0.0,36.0,-3.15,61.7,2.71,0,0.0
1821,8074,鉅橡,45.0,-1.8,-3.85,2026,0.0,0.0,1.15,-2.14,0.54,0.45,18.5,-2.81,79.8,4.51,0,0.0
1822,8076,伍豐,22.0,-0.3,-1.35,2026,0.0,0.0,5.92,0.58,0.2,0.15,1.23,-0.24,92.6,0.61,0,-1.1
1823,8077,洛碁,43.6,0.0,0.0,2026,0.0,0.0,51.1,-0.05,0.0,0.0,20.7,0.01,28.2,0.03,0,0.0
1824,8080,泰霖,27.45,0.15,0.55,2026,0.0,0.0,0.09,0.04,0.0,0.0,65.7,-6.0,34.2,5.96,0,0.0
1825,8081,致新,232.0,-9.5,-3.93,2026,0.14,-0.06,22.5,-3.89,6.93,2.29,26.0,1.65,44.4,0.0,0,0.0
1826,8083,瑞穎,157.5,1.0,0.64,2026,0.0,0.0,3.3,1.39,0.75,-0.08,27.2,0.91,68.8,-2.22,0,0.0
1827,8084,巨虹,41.0,-0.45,-1.09,2026,0.0,0.0,0.95,-0.21,0.01,0.01,5.89,-1.36,93.2,1.57,0,0.0
1828,8085,福華,10.95,-0.35,-3.1,2026,0.0,0.0,2.47,-2.19,0.0,0.0,30.9,-0.09,66.7,2.28,0,0.0
1829,8086,宏捷科,103.0,-3.5,-3.29,2026,0.0,-4.11,22.0,15.9,4.5,1.44,29.6,-4.79,43.9,-8.42,0,0.0
