排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
118,5287,數字,145.0,0.5,0.35,07/31,0.0,0.0,0.0,0.38,0.2,0.19,0.04,0.02,0.01,0.17,0.3,0.02
119,4749,新應材,722.0,50.0,7.44,07/31,0.0,0.01,0.01,0.37,0.65,1.71,2.08,2.4,2.11,,,2.37
120,2387,精元,37.7,0.3,0.8,07/31,0.0,0.0,0.0,0.36,0.37,0.2,0.05,0.02,0.24,0.35,1.12,0.07
121,3715,定穎投控,99.9,9.0,9.9,07/31,0.0,1.0,0.53,0.36,0.69,0.79,0.26,0.35,0.62,0.74,,0.61
122,8442,威宏-KY,44.15,0.9,2.08,07/31,0.0,0.0,0.0,0.36,0.76,0.24,0.08,0.05,0.03,0.01,,0.05
123,6206,飛捷,125.0,7.0,5.93,07/31,0.0,0.79,0.57,0.35,0.22,0.2,0.28,0.41,3.17,1.55,1.44,1.1
124,6592,和潤企業,61.4,0.5,0.82,07/31,0.0,0.0,0.0,0.35,0.21,2.09,1.31,0.51,0.55,0.56,,0.38
125,3078,僑威,52.6,2.8,5.62,07/31,0.0,0.21,0.12,0.34,0.73,0.19,0.96,0.67,3.87,1.4,0.82,1.95
126,2542,興富發,44.0,-0.35,-0.79,07/31,0.47,0.64,0.45,0.32,0.17,0.34,0.1,1.61,2.55,2.88,3.08,2.18
127,6703,軒郁,105.5,1.5,1.44,07/31,0.0,0.0,0.0,0.32,0.17,0.1,0.03,0.02,0.01,0.27,,0.01
128,6669,緯穎,5390.0,490.0,10.0,07/31,2.06,0.88,0.5,0.32,2.74,2.0,3.47,3.32,3.64,3.31,,3.93
129,1504,東元,64.8,4.3,7.11,07/31,0.0,0.05,0.03,0.31,2.71,0.94,0.78,1.17,2.93,3.76,2.43,1.14
130,2832,台產,59.4,2.0,3.48,07/31,0.0,0.0,0.0,0.3,0.19,0.17,0.06,0.35,0.97,0.34,0.22,1.98
131,2718,全心投控,42.75,0.65,1.54,07/31,0.0,0.0,0.0,0.3,0.17,0.16,0.04,0.02,0.01,0.0,0.0,0.02
132,2885,元大金,68.1,5.0,7.92,07/31,0.0,0.45,0.39,0.3,3.13,3.91,13.6,10.6,12.9,7.32,2.7,12.3
133,4763,材料*-KY,48.25,0.65,1.37,07/31,0.0,0.62,0.4,0.29,0.12,0.08,0.06,3.3,2.5,2.65,2.06,3.61
134,3005,神基,114.0,4.0,3.64,07/31,0.0,0.0,0.0,0.29,0.53,5.78,8.27,7.26,7.83,5.79,4.2,8.08
135,9935,慶豐富,19.65,0.3,1.55,07/31,0.0,0.0,0.0,0.28,0.13,0.07,0.03,0.02,0.01,0.0,0.0,0.02
136,8924,大田,53.6,-0.5,-0.92,07/31,0.0,0.0,0.0,0.27,0.17,0.18,0.03,0.02,0.01,0.0,0.0,0.02
137,2504,國產,31.2,-0.65,-2.04,07/31,0.0,0.0,0.0,0.27,0.23,9.19,5.09,4.68,9.63,10.1,3.6,5.17
138,3036,文曄,196.5,13.0,7.08,07/31,0.0,0.21,0.14,0.26,3.43,11.0,17.2,13.2,11.6,7.23,5.53,13.2
139,2357,華碩,810.0,73.0,9.91,07/31,0.46,0.47,0.35,0.26,4.36,6.47,6.88,5.21,5.99,6.21,3.97,5.95
140,2528,皇普,19.4,0.1,0.52,07/31,0.0,0.0,0.0,0.26,1.85,1.04,0.34,0.37,0.18,0.06,0.04,0.32
141,3163,波若威,544.0,49.0,9.9,07/31,0.0,0.0,0.5,0.25,0.53,0.72,4.44,3.33,0.67,0.41,0.36,2.37
142,5209,新鼎,156.0,3.0,1.96,07/31,0.0,0.0,0.0,0.24,0.58,0.25,0.08,0.04,0.01,0.16,0.1,0.04
143,1712,興農,39.0,-0.75,-1.89,07/31,0.0,0.0,0.0,0.24,0.1,0.17,0.09,0.12,0.44,2.74,0.62,0.24
144,6743,安普新,29.85,0.25,0.84,07/31,0.0,0.0,0.0,0.24,0.32,0.17,0.04,0.02,0.02,0.0,,0.02
145,3028,增你強,61.5,4.4,7.71,07/31,0.0,0.0,0.0,0.23,0.15,0.06,0.02,0.01,0.0,0.23,0.15,0.0
146,5522,遠雄,64.9,-0.5,-0.76,07/31,0.0,0.0,0.0,0.23,0.09,1.55,5.17,4.58,3.51,7.45,5.43,5.54
147,4137,麗豐-KY,96.1,2.2,2.34,07/31,0.0,0.0,0.0,0.22,0.43,0.21,0.06,0.04,0.09,0.13,1.37,0.13
148,2347,聯強,93.7,7.6,8.83,07/31,0.11,0.22,0.2,0.22,16.3,10.2,9.69,8.11,11.0,13.7,7.52,9.86
149,2530,華建,19.9,-1.2,-5.69,07/31,0.0,0.0,0.0,0.22,0.14,0.18,0.65,1.02,1.07,0.37,0.2,1.15
150,3045,台灣大,112.5,-1.5,-1.32,07/31,0.0,0.27,0.28,0.22,6.17,5.5,3.75,4.65,4.58,8.04,4.85,5.47
151,2204,中華,53.1,0.9,1.72,07/31,0.0,0.0,0.0,0.22,0.34,1.56,2.58,2.06,3.17,3.89,2.81,2.89
152,4105,東洋,74.4,-1.0,-1.33,07/31,0.0,0.06,0.05,0.22,0.09,0.09,3.12,1.8,1.15,0.75,1.69,1.61
153,2379,瑞昱,683.0,-14.0,-2.01,07/31,0.0,0.36,0.28,0.21,0.67,2.89,2.01,5.13,6.17,7.68,4.23,5.36
154,2393,億光,62.5,1.1,1.79,07/31,0.0,0.09,0.05,0.21,2.04,5.22,4.53,4.22,12.5,8.22,3.41,4.75
155,2883,凱基金,30.85,1.9,6.56,07/31,0.0,0.29,0.2,0.21,0.51,2.37,3.85,3.18,3.42,3.67,2.51,3.29
156,2360,致茂,2100.0,190.0,9.95,07/31,0.0,0.01,0.01,0.21,0.35,4.06,6.51,4.9,4.29,4.38,3.23,4.87
157,2247,汎德永業,230.0,-0.5,-0.22,07/31,0.0,0.0,0.0,0.2,0.46,0.32,0.06,1.51,1.02,4.25,,1.88
158,6770,力積電,54.5,4.95,9.99,07/31,0.0,0.01,0.06,0.2,0.9,0.49,0.13,0.12,0.08,0.23,,0.13
159,3679,新至陞,110.0,0.5,0.46,07/31,0.0,0.0,0.0,0.19,0.72,0.48,0.12,0.07,0.2,0.07,0.02,0.06
160,6026,福邦證,14.1,0.75,5.62,07/31,0.0,0.0,0.0,0.19,0.62,0.26,0.04,0.03,0.02,0.01,0.0,0.02
161,2884,玉山金,38.65,0.95,2.52,07/31,0.06,0.36,0.24,0.19,0.26,1.89,5.48,6.42,4.51,4.69,1.99,6.23
162,3014,聯陽,125.0,5.5,4.6,07/31,0.0,0.06,0.04,0.19,1.18,1.26,0.47,0.66,2.29,5.45,1.79,1.16
163,6177,達麗,47.3,-0.15,-0.32,07/31,0.0,0.0,0.0,0.18,0.69,0.38,3.04,3.98,5.78,3.74,2.55,4.61
164,2547,日勝生,10.5,0.15,1.45,07/31,0.0,0.0,0.0,0.18,0.23,0.11,0.07,0.08,0.13,0.28,0.13,0.08
165,4532,瑞智,23.65,0.15,0.64,07/31,0.0,0.0,0.0,0.18,0.57,0.28,0.63,0.71,0.65,0.42,0.79,0.74
166,6442,光聖,1155.0,105.0,10.0,07/31,0.92,0.42,0.28,0.17,1.01,1.72,3.47,3.9,2.16,0.97,0.78,3.49
167,4991,環宇-KY,353.0,32.0,9.97,07/31,6.02,1.88,0.3,0.17,1.81,2.83,3.19,2.56,1.32,0.75,0.79,2.41
168,6409,旭隼,957.0,69.0,7.77,07/31,0.0,0.2,0.17,0.17,0.12,0.56,1.1,0.83,0.65,0.71,0.76,0.84
169,2633,台灣高鐵,26.05,-0.25,-0.95,07/31,0.55,0.26,0.17,0.16,0.23,0.17,0.47,0.42,0.54,2.0,,0.42
170,9907,統一實,15.0,-0.35,-2.28,07/31,0.0,0.0,0.0,0.16,11.1,10.9,14.6,10.7,5.59,2.25,0.75,9.76
171,2882,國泰金,101.5,6.3,6.62,07/31,0.0,0.22,0.22,0.16,5.47,9.31,18.1,14.4,14.2,6.39,3.04,14.7
172,2881,富邦金,130.0,6.0,4.84,07/31,0.0,0.32,0.22,0.16,0.38,8.14,15.6,13.3,11.4,6.1,2.83,14.1
173,6122,擎邦,50.3,1.5,3.07,07/31,0.0,0.0,0.0,0.16,0.08,0.04,0.02,0.01,0.0,0.0,0.0,0.01
174,0052,富邦科技,59.7,5.4,9.94,07/31,0.0,0.0,0.0,0.15,0.1,0.05,0.36,0.95,0.89,0.92,0.94,1.07
175,1802,台玻,45.7,3.1,7.28,07/31,0.0,0.19,0.21,0.15,0.51,0.44,0.14,0.17,0.19,0.22,0.67,0.24
176,2609,陽明,50.8,0.8,1.6,07/31,0.09,0.2,0.16,0.15,0.24,0.17,14.2,7.0,7.13,2.94,1.17,6.68
177,6138,茂達,265.0,18.5,7.51,07/31,0.0,0.0,0.0,0.14,0.35,0.48,0.45,0.72,1.85,3.66,2.61,0.67
178,1402,遠東新,27.15,0.0,0.0,07/31,0.04,0.2,0.17,0.14,0.2,0.12,9.64,8.23,8.42,11.1,5.93,8.61
179,8069,元太,189.0,7.0,3.85,07/31,0.01,0.13,0.18,0.14,0.07,1.0,2.17,1.42,1.24,0.76,0.07,1.39
180,3293,鈊象,776.0,27.0,3.6,07/31,0.05,0.19,0.16,0.13,0.6,1.99,1.4,2.53,2.46,3.92,2.85,3.06
181,3260,威剛,398.5,20.0,5.28,07/31,0.0,0.04,0.02,0.12,0.21,0.31,2.82,2.15,1.65,2.1,1.57,2.07
182,9938,百和,45.6,0.3,0.66,07/31,0.0,0.0,0.0,0.12,0.23,0.23,1.86,2.05,0.86,0.19,0.08,2.32
183,3044,健鼎,369.0,27.0,7.89,07/31,0.0,0.0,0.16,0.12,1.23,8.91,7.13,6.58,10.1,8.54,5.85,7.22
184,2753,八方雲集,181.5,2.5,1.4,07/31,0.0,0.0,0.0,0.12,0.29,0.29,0.49,0.31,0.69,1.54,,0.56
185,2474,可成,183.0,4.5,2.52,07/31,0.07,0.29,0.16,0.12,0.4,1.96,7.59,8.45,11.4,12.7,4.37,10.2
186,2455,全新,292.0,26.5,9.98,07/31,0.52,0.24,0.18,0.12,0.35,0.47,0.98,0.64,2.05,3.12,2.5,0.8
187,2059,川湖,7850.0,710.0,9.94,07/31,0.0,0.08,0.18,0.11,1.68,2.43,3.45,2.91,5.81,4.13,3.35,5.17
188,5876,上海商銀,45.45,0.65,1.45,07/31,0.14,0.3,0.2,0.11,8.12,6.87,4.61,4.92,11.2,9.29,,6.41
189,3702,大聯大,112.5,7.0,6.64,07/31,0.0,0.18,0.13,0.1,1.92,2.76,9.8,9.59,12.2,13.1,7.81,10.4
190,2603,長榮,204.0,3.0,1.49,07/31,0.15,0.17,0.11,0.1,4.81,3.76,5.29,4.94,5.18,3.91,1.08,5.6
191,6670,復盛應用,254.0,-7.5,-2.87,07/31,0.0,0.19,0.14,0.09,6.9,11.1,4.14,5.68,11.8,6.2,,6.28
192,2890,永豐金,40.6,1.75,4.5,07/31,0.15,0.21,0.15,0.09,0.36,1.71,1.69,3.42,3.07,7.76,3.61,3.55
