項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),524512,555803,7927,9618553,9579335
融券(交易單位),22331,33442,2471,200370,209010
融資金額(仟元),39865712,38560097,778126,630817367,631344856
