項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),350138,297106,24855,8958261,8986438
融券(交易單位),20636,22629,1150,191897,192740
融資金額(仟元),30712417,24868720,984168,532804981,537664510
