"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"601","1907","永豐餘","25.7","-0.4","-1.53","26W22","05/29","82.7","+0.03","81.6","+0.03","80.6","+0.3"
"602","6492","生華科","43.4","+0.3","+0.7","26W22","05/29","26.9","+0.14","26.9","+0.14","25.9","+0.14"
"603","6672","騰輝電子-KY","213.5","-5","-2.29","26W22","05/29","21.6","-5.48","17.3","-2.16","17.3","+1.17"
"604","4119","旭富","42.3","-0.65","-1.51","26W22","05/29","44.4","+0.2","42.7","+0.2","42.7","+0.2"
"605","6461","益得","15.65","-0.25","-1.57","26W22","05/29","59.2","+0.37","55.8","0","53.8","0"
"606","4538","大詠城","18.45","+0.05","+0.27","26W22","05/29","76.7","+0.03","73","+0.03","71.4","+0.03"
"607","2107","厚生","25.85","0","0","26W22","05/29","58.4","+0.14","56.8","+0.11","55.9","-0.2"
"608","5523","豐謙","30.4","0","0","26W22","05/29","90.5","+0.14","89.6","+0.14","88.4","+0.14"
"609","1104","環泥","29","0","0","26W22","05/29","70.2","-0.42","68.8","-0.35","67.9","-0.09"
"610","3062","建漢","24.9","-0.4","-1.58","26W22","05/29","25.3","+2.42","22.3","+2.2","19.6","+2.25"
"611","8040","九暘","96.5","+1.6","+1.69","26W22","05/29","51.2","+0.1","47.7","-0.72","45.8","-0.67"
"612","5263","智崴","102","+0.5","+0.49","26W22","05/29","48.4","+0.08","46.6","+1.12","45.5","0"
"613","4108","懷特","12.2","-0.05","-0.41","26W22","05/29","27.1","+0.1","25.7","+0.1","23.9","+0.1"
"614","1584","精剛","19.5","-0.05","-0.26","26W22","05/29","38.8","+0.13","37.9","+0.12","36.4","+0.12"
"615","6661","威健生技","16","-0.5","-3.03","26W22","05/29","61.5","0","61.5","0","61.5","0"
"616","2231","為升","92.4","-0.6","-0.65","26W22","05/29","63.3","+0.02","62.7","+0.02","62.7","+0.02"
"617","9935","慶豐富","19.2","+0.3","+1.59","26W22","05/29","57.1","+0.03","52.4","-0.03","50","-0.03"
"618","4171","瑞基","17.3","-0.2","-1.14","26W22","05/29","31.5","+0.13","30.4","+0.13","27.6","+0.12"
"619","4178","永笙-KY","17.95","-0.25","-1.37","26W22","05/29","75.7","+0.95","72.7","+0.96","72.3","+0.96"
"620","8404","百和興業-KY","17.25","-0.2","-1.15","26W22","05/29","75.8","+0.2","73.9","-0.14","72.9","+0.09"
"621","6283","淳安","23.15","-1.25","-5.12","26W22","05/29","59.1","+0.21","58.6","+0.21","57.4","+0.83"
"622","8255","朋程","159.5","-3","-1.85","26W22","05/29","53.6","+1.97","49.5","-0.78","47.8","-1.67"
"623","5439","高技","346","-9.5","-2.67","26W22","05/29","45.1","-1.32","42","-0.52","37.3","-1.38"
