項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),401366,339707,7575,9465643,9519727
融券(交易單位),29898,25084,2767,180712,173131
融資金額(仟元),37420981,25511076,575664,604033934,615368175
