排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
55,5321,美而快,86.7,1.7,2.0,1965,08/31,608,677,893,1085,1549.0,2045.0,1986.0,2273.0,1865.0,2287.0
56,3717,聯嘉投控,22.65,-0.6,-2.58,1230,08/31,64,748,982,1076,1315.0,3225.0,3806.0,5661.0,5497.0,6523.0
57,8112,至上,90.8,-0.1,-0.11,5618,08/31,60,115,377,1059,-797.0,-988.0,-2163.0,-1738.0,10802.0,-2412.0
58,5351,鈺創,118.0,2.0,1.72,12461,08/31,354,597,523,1054,401.0,-1486.0,-4924.0,-2400.0,2612.0,-1827.0
59,1717,長興,82.5,4.8,6.18,53442,08/31,279,512,734,1017,889.0,-623.0,-10010.0,-8701.0,-1488.0,2839.0
60,1402,遠東新,28.35,0.25,0.89,16992,08/31,-13,-37,102,1011,727.0,2109.0,-5017.0,2707.0,5432.0,6372.0
61,3455,由田,260.5,6.5,2.56,4217,08/31,703,891,1175,1007,1369.0,2335.0,1191.0,2865.0,2962.0,2565.0
62,6488,環球晶,912.0,-60.0,-6.17,12101,08/31,-14,686,169,1007,773.0,1649.0,2207.0,8278.0,7158.0,7814.0
63,3374,精材,422.5,36.5,9.46,42287,08/31,-1160,-1189,340,1005,2442.0,5189.0,16846.0,18351.0,20701.0,22796.0
64,4989,榮科,64.7,-3.5,-5.13,5653,08/31,279,780,1046,994,1163.0,2652.0,-5198.0,-2600.0,10508.0,1365.0
65,1802,台玻,60.8,0.0,0.0,28751,08/31,349,1298,2002,985,1933.0,439.0,-23549.0,-37540.0,-43264.0,-23285.0
66,00935,野村臺灣新科技50,57.3,-0.9,-1.55,6790,08/31,103,981,833,974,753.0,-447.0,1088.0,3120.0,5714.0,5452.0
67,2486,一詮,263.0,2.0,0.77,2420,08/31,54,-10,-611,965,450.0,1622.0,3426.0,2215.0,2785.0,240.0
68,3229,晟鈦,53.4,-2.0,-3.61,1124,08/31,17,102,43,961,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
69,8150,南茂,89.1,-1.4,-1.55,15778,08/31,261,-206,390,961,-223.0,6477.0,-13891.0,7694.0,17405.0,6212.0
70,8042,金山電,105.0,-4.0,-3.67,5658,08/31,440,910,869,948,1129.0,1958.0,1778.0,1790.0,4710.0,1961.0
71,2838,聯邦銀,20.25,0.05,0.25,2940,08/31,-9,804,942,941,850.0,882.0,870.0,1031.0,11.0,1321.0
72,3363,上詮,747.0,46.0,6.56,6952,08/31,437,122,1013,936,1145.0,1656.0,-127.0,-618.0,-5385.0,-43.0
