日期,成交股數,成交金額,成交筆數,發行量加權股價指數,漲跌點數
115/06/01,"17,539,429,740","1,611,133,989,740","7,653,162","45,337.91",604.97
115/06/02,"19,264,949,123","1,696,398,095,158","8,720,217","45,557.31",219.40
115/06/03,"18,516,900,056","1,517,535,663,789","7,915,597","46,459.16",901.85
115/06/04,"16,812,445,952","1,325,597,743,625","7,913,611","45,677.46",-781.70
115/06/05,"16,019,783,711","1,319,821,926,499","7,917,856","45,070.94",-606.52
115/06/08,"14,641,525,700","1,216,574,603,939","7,715,284","43,502.78","-1,568.16"
115/06/09,"14,106,451,926","1,224,062,987,846","5,758,102","44,704.44","1,201.66"
115/06/10,"15,773,244,263","1,424,069,567,256","8,485,375","43,225.54","-1,478.90"
115/06/11,"14,433,302,867","1,338,516,691,099","7,106,051","43,149.46",-76.08
115/06/12,"12,336,471,343","1,169,186,958,350","5,353,143","44,169.04","1,019.58"
115/06/15,"12,695,045,659","1,115,744,351,199","5,460,270","45,396.99","1,227.95"
