排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1731,2722,夏都,市,08/27,,21.65,-0.65,-2.91,95,2.07,22.3,22.2,22.2,21.0,5.38,,1.25,,,,,
1732,3712,永崴投控,市,08/27,,21.65,0.45,2.12,2271,49.1,21.2,21.5,22.1,21.2,4.25,,1.22,,,,,
1733,009803,玉山市值動能50,市,08/27,,21.58,0.03,0.14,1130,24.5,21.55,21.66,21.75,21.56,0.88,,0.9991,,,,,
1734,3492,長盛,櫃,08/27,,21.55,1.45,7.21,295,6.09,20.1,20.1,21.55,20.1,7.21,16.8,1.19,,,,,
1735,00681R,元大美債20反1,市,08/27,,21.52,0.0,0.0,1,0.02,21.52,21.52,21.52,21.52,0.0,,0.9985,,,,,
1736,3288,點晶,櫃,08/27,,21.5,-0.1,-0.46,24,0.52,21.6,21.6,22.3,21.3,4.63,,3.28,,,,,
1737,6441,廣錠,櫃,08/27,,21.5,0.15,0.7,34,0.73,21.35,21.9,21.9,21.2,3.28,,1.3,,,,,
1738,00936,台新永續高息中小,市,08/27,,21.46,0.05,0.23,304,6.56,21.41,21.52,21.6,21.46,0.65,,0.9963,,,,,
1739,8463,潤泰材,市,08/27,,21.45,0.05,0.23,43,0.92,21.4,21.4,21.6,21.3,1.4,10.8,1.3,,,,,
1740,9905,大華,市,08/27,,21.45,0.0,0.0,101,2.17,21.45,21.5,21.5,21.35,0.7,13.0,0.76,,,,,
1741,00943,兆豐電子高息等權,市,08/27,,21.43,0.08,0.37,23,0.5,21.35,21.39,21.5,21.39,0.52,,0.9977,,,,,
1742,3043,科風,市,08/27,,21.4,-0.5,-2.28,103,2.21,21.9,22.0,22.0,21.4,2.74,,1.13,,,,,
1743,5213,亞昕,櫃,08/27,,21.35,-0.1,-0.47,138,2.94,21.45,21.35,21.45,21.25,0.93,48.5,1.07,,,,,
1744,1323,永裕,市,08/27,,21.3,-0.25,-1.16,36,0.77,21.55,21.65,21.65,21.3,1.62,16.8,0.73,,,,,
1745,00683L,期元大美元指正2,市,08/27,,21.25,0.05,0.24,7,0.15,21.2,21.22,21.25,21.22,0.14,,0.993,,,,,
1746,3531,先益,櫃,08/27,,21.25,-0.75,-3.41,23,0.49,22.0,21.7,21.7,20.95,3.41,15.6,0.7,,,,,
1747,5529,鉅陞,櫃,08/27,,21.25,-0.1,-0.47,81,1.72,21.35,21.35,21.35,21.25,0.47,5.92,1.4,,,,,
1748,009810,玉山全球藍籌100,市,08/27,,21.22,-0.06,-0.28,245,5.21,21.28,21.28,21.28,21.22,0.28,,1.0019,,,,,
1749,3062,建漢,市,08/27,,21.2,0.35,1.68,1153,24.4,20.85,21.0,21.35,20.9,2.16,,1.72,,,,,
1750,5481,新華,櫃,08/27,,21.2,-0.35,-1.62,476,10.2,21.55,21.65,21.8,21.05,3.48,,1.2,,,,,
1751,6156,松上,櫃,08/27,,21.2,0.2,0.95,805,17.1,21.0,21.15,21.35,20.9,2.14,54.4,0.99,,,,,
1752,3284,太普高,櫃,08/27,,21.15,-0.15,-0.7,150,3.15,21.3,21.4,21.4,20.85,2.58,8.7,1.48,,,,,
