排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,6770,力積電,68.4,1.1,1.63,08/21,-1428,7481,-856,-50713,-56119,34671,-132251.0,124827.0,-30618.0,72179.0
2,2382,廣達,321.5,-5.5,-1.68,08/21,-2972,-14534,-14009,-47681,-173985,-151033,-25313.0,4351.0,-15022.0,-13258.0
3,2886,兆豐金,46.95,0.55,1.19,08/21,-7764,-22810,-35500,-47623,-11172,49151,98008.0,115771.0,72695.0,130811.0
4,1216,統一,77.5,-0.7,-0.9,08/21,-6849,-8192,-17783,-42384,-56232,-78681,-58997.0,-5981.0,114989.0,34121.0
5,1605,華新,37.3,0.45,1.22,08/21,-1135,-2086,-32245,-36662,-65769,-63236,-43483.0,-92352.0,-17105.0,-151851.0
6,2002,中鋼,19.45,0.1,0.52,08/21,-2521,-5072,-5090,-28573,-91476,-153995,-244991.0,-146510.0,-6522.0,-205246.0
7,2603,長榮,251.5,5.5,2.24,08/21,-503,-9622,-17742,-22002,-27778,-64677,-88595.0,-82470.0,-64506.0,-94558.0
8,2324,仁寶,38.95,0.45,1.17,08/21,-4071,-8414,-17724,-19753,-22113,-55926,-363700.0,-312920.0,-23322.0,-238941.0
9,1504,東元,72.1,-1.0,-1.37,08/21,-2776,-4328,-8578,-19153,-21170,-19303,-26425.0,21706.0,60912.0,36475.0
10,2344,華邦電,181.0,4.5,2.55,08/21,2705,4876,4235,-15452,-42067,-138295,-110696.0,44737.0,-65324.0,39395.0
11,00937B,群益ESG投等債20+,14.3,-0.12,-0.83,08/21,-15124,-19178,-19178,-14140,20797,19355,-6195.0,8109.0,-81525.0,-31757.0
12,0050,元大台灣50,104.65,0.85,0.82,08/21,-1925,-11748,-13016,-13480,-15189,3315,109833.0,86304.0,36086.0,76192.0
13,9945,潤泰新,29.4,-0.45,-1.51,08/21,-967,-2081,-2997,-13325,-12393,-21521,-2492.0,21052.0,-61927.0,22906.0
14,2356,英業達,65.7,1.2,1.86,08/21,-39,960,1359,-12735,-32198,-64309,-6219.0,-109909.0,-76216.0,-77909.0
