排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
1501,6241,鑫永洋,15.85,0.45,2.92,2026,0.0,0.0,0.13,-0.45,0.0,0.0,36.4,-0.12,63.5,0.57,0,0.0
1502,6242,立康,34.6,0.0,0.0,2026,0.0,0.0,0.48,-0.07,0.0,0.0,61.3,0.34,38.2,-0.28,0,0.0
1503,6243,迅杰,47.9,2.6,5.74,2026,0.0,0.0,2.08,0.85,0.0,0.0,21.0,-1.83,76.9,0.98,0,0.0
1504,6244,茂迪,23.1,-0.65,-2.74,2026,0.0,0.0,13.9,2.43,0.0,0.0,4.17,-0.62,82.0,-1.81,0,0.0
1505,6245,立端,84.4,2.0,2.43,2026,0.07,-2.54,5.04,-5.65,2.24,-1.23,24.7,0.67,67.9,8.75,0,0.0
1506,6246,臺龍,12.3,-0.15,-1.2,2026,0.0,0.0,0.3,-1.11,0.0,0.0,33.0,7.12,66.6,-6.0,0,0.0
1507,6259,百徽,29.0,-0.9,-3.01,2026,0.0,0.0,38.1,-2.14,0.17,0.17,0.44,-0.01,61.3,1.99,0,0.0
1508,6261,久元,78.4,-1.7,-2.12,2026,0.0,0.0,10.4,6.58,0.0,-0.49,28.6,2.24,61.0,-8.33,0,0.0
1509,6263,普萊德,154.0,-3.0,-1.91,2026,0.3,0.3,1.7,0.11,2.41,-0.04,29.7,0.24,65.9,-0.61,0,0.0
1510,6264,富裔,6.06,0.0,0.0,2026,0.0,0.0,0.03,-0.01,0.0,0.0,37.3,0.91,62.7,-0.9,0,0.0
1511,6265,方土昶,55.4,0.7,1.28,2026,0.0,0.0,1.86,-1.21,0.0,0.0,30.8,-2.35,67.4,3.56,0,0.0
1512,6266,泰詠,24.5,0.45,1.87,2026,0.0,0.0,2.16,-1.28,0.11,-0.07,19.4,0.18,78.3,1.17,0,0.0
1513,6270,倍微,29.55,-0.15,-0.51,2026,0.0,0.0,2.52,0.42,0.06,-0.01,7.32,-0.11,90.1,-0.3,0,0.0
1514,6271,同欣電,193.5,1.5,0.78,2026,0.0,0.0,27.9,10.7,6.36,-5.06,18.8,-1.29,46.9,-4.39,0,0.0
1515,6272,驊陞,24.25,-0.9,-3.58,2026,0.0,0.0,4.93,3.36,0.25,-0.33,12.0,-1.78,82.8,-1.25,0,0.0
1516,6274,台燿,1440.0,-90.0,-5.88,2026,9.19,7.63,31.5,2.92,17.3,3.45,7.87,0.67,34.1,-14.7,0,0.0
