"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1","4502","健信","15.7","0","0","26M04","1.26","0","21.9","1.25","99.8","0","0","0","0","0","1.26","0","21.9","1.25","99.8"
"2","3040","遠見","37.55","-0.45","-1.18","26M04","2.4","0","38.2","2.39","99.6","0.01","0","0.08","0","0","2.41","0","38.2","2.39","99.4"
"3","2530","華建","19.4","-0.1","-0.51","26M04","3.42","0","4.08","1.7","49.8","0.07","0","0.08","0","0","3.49","0","4.15","1.7","48.8"
"4","8341","日友","75.9","-0.5","-0.65","26M04","5.11","0","39.3","2.72","53.1","0","0","0","0","0","5.11","0","39.3","2.72","53.1"
"5","8476","台境*","20.1","+0.05","+0.25","26M04","1.37","0","8.24","1.18","86.4","0","0","0","0","0","1.37","0","8.24","1.18","86.4"
"6","2020","美亞","21.2","+0.2","+0.95","26M04","4.46","0","16.7","3.48","77.9","0","0","0","0","0","4.46","0","16.7","3.48","77.9"
"7","2424","隴華","8.86","-0.12","-1.34","26M04","0.17","0","2.82","0.17","100","0","0","0","0","0","0.17","0","2.82","0.17","100"
"8","7723","築間","20.1","-0.4","-1.95","26M04","0.82","0","16.6","0.41","50","0","0","0","0","0","0.82","0","16.6","0.41","50"
"9","3339","泰谷","37.2","-0.85","-2.23","26M04","0.62","-321","9.36","0.5","80.3","0","0","0","0","0","0.62","-321","9.36","0.5","80.3"
"10","6126","信音","30","-0.45","-1.48","26M04","1.23","0","9.51","1.07","86.6","0","0","0","0","0","1.23","0","9.51","1.07","86.6"
"11","4523","永彰","24.5","-0.2","-0.81","26M04","2.79","0","43","1.77","63.4","0","0","0","0","0","2.79","0","43","1.77","63.4"
"12","2514","龍邦","12.1","-0.15","-1.22","26M04","13.4","+196","33.8","11.5","85.9","0","0","0","0","0","13.4","+196","33.8","11.5","85.9"
"13","3615","安可","38.65","+1.6","+4.32","26M04","0.78","0","11.3","0","0","0","0","0","0","0","0.78","0","11.3","0","0"
