項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),342052,383897,8822,8918284,8867617
融券(交易單位),23943,21799,2465,222827,218218
融資金額(仟元),35073983,31418197,613432,547059318,550101672
