排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1201,6790,永豐實,市,08/27,,38.2,0.05,0.13,137,5.23,38.15,38.35,38.35,38.1,0.66,12.4,1.83,,,,,
1202,6477,安集,市,08/27,,38.15,1.4,3.81,4817,188.0,36.75,36.95,40.3,36.95,9.12,1272.0,1.5,,,,,
1203,3094,聯傑,市,08/27,,38.1,-0.05,-0.13,1321,50.3,38.15,38.15,38.7,37.5,3.15,61.5,3.05,,,,,
1204,3176,基亞,櫃,08/27,,38.1,-1.7,-4.27,2069,80.2,39.8,39.75,40.55,37.25,8.29,,3.59,,,,,
1205,5314,世紀*,櫃,08/27,,38.0,3.45,9.99,3115,118.0,34.55,38.0,38.0,38.0,0.0,8.12,6.14,,,,,
1206,6504,南六,市,08/27,,38.0,0.0,0.0,16,0.6,38.0,37.7,38.0,37.6,1.05,33.0,0.79,,,,,
1207,020025,統一亞洲半導體N,櫃,08/27,,37.99,0.1,0.26,178,6.75,37.89,38.42,38.42,26.59,31.2,,1.0053,,,,,
1208,2425,承啟,市,08/27,,37.95,-0.05,-0.13,920,34.9,38.0,38.0,38.35,37.6,1.97,21.4,1.46,,,,,
1209,2948,寶陞,櫃,08/27,,37.95,-0.35,-0.91,2,0.08,38.3,37.9,37.95,37.9,0.13,17.5,1.15,,,,,
1210,00860B,群益1-5Y投資級債,櫃,08/27,,37.9,-0.13,-0.34,128,4.86,38.03,37.93,37.93,37.89,0.11,,1.0011,,,,,
1211,006206,元大上證50,市,08/27,,37.8,0.07,0.19,68,2.58,37.73,37.8,37.8,37.58,0.58,,0.9929,,,,,
1212,1235,興泰,市,08/27,,37.8,-0.55,-1.43,44,1.68,38.35,38.3,40.15,37.8,6.13,,0.65,,,,,
1213,6952,大武山,市,08/27,,37.8,0.1,0.27,23,0.86,37.7,36.95,37.9,36.95,2.52,30.0,1.74,,,,,
1214,1609,大亞,市,08/27,,37.75,-0.25,-0.66,9334,357.0,38.0,38.6,38.75,37.75,2.63,14.0,1.59,,,,,
1215,00856B,永豐1-3年美公債,櫃,08/27,,37.72,-0.19,-0.5,4,0.15,37.91,37.75,37.75,37.72,0.08,,0.9974,,,,,
1216,00701,國泰股利精選30,市,08/27,,37.7,-0.09,-0.24,274,10.3,37.79,37.8,37.9,37.68,0.58,,1.0029,,,,,
1217,6101,寬魚國際,櫃,08/27,,37.7,0.0,0.0,213,8.05,37.7,37.4,38.1,37.35,1.99,27.7,3.21,,,,,
1218,00877,復華中國5G,櫃,08/27,,37.65,0.84,2.28,3346,126.0,36.81,36.88,38.06,36.88,3.21,,0.9939,,,,,
1219,00947,台新臺灣IC設計,市,08/27,,37.65,0.2,0.53,5868,222.0,37.45,37.98,38.15,37.52,1.68,,0.9995,,,,,
1220,3040,遠見,市,08/27,,37.6,-0.45,-1.18,202,7.67,38.05,38.1,39.2,37.3,4.99,,1.7,,,,,
1221,5538,東明-KY,市,08/27,,37.6,-0.15,-0.4,28,1.06,37.75,37.75,37.75,37.35,1.06,10.9,0.96,,,,,
1222,00740B,富邦全球投等債,櫃,08/27,,37.57,0.0,0.0,994,37.3,37.57,37.55,37.57,37.51,0.16,,1.0027,,,,,
1223,6708,天擎,櫃,08/27,,37.5,-0.05,-0.13,22,0.82,37.55,37.2,37.5,37.0,1.33,125.0,2.79,,,,,
1224,00741B,富邦全球非投等債,櫃,08/27,,37.3,-0.07,-0.19,103,3.83,37.37,37.31,37.31,37.3,0.03,,1.0043,,,,,
1225,2887,台新新光金,市,08/27,,37.3,-0.2,-0.53,38264,1445.0,37.5,37.7,38.25,37.2,2.8,18.6,1.64,,,,,
