項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),420702,405862,6033,8961034,8969841
融券(交易單位),14277,27760,1384,201947,214046
融資金額(仟元),38863251,36702852,463657,548083912,549780654
