項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),279004,224108,10932,8856844,8900808
融券(交易單位),24857,24348,500,201513,200504
融資金額(仟元),22256921,19212328,1366482,545259587,546937698
