"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"1501","2415","錩新","31.55","-0.15","-0.47","26W29","07/17","41.3","-0.13","41.3","-0.13","58.7","+0.13"
"1502","8042","金山電","116.5","+4","+3.56","26W29","07/17","40.5","+2.67","42.3","+1.83","57.7","-1.83"
"1503","2939","永邑-KY","18.9","+0.7","+3.85","26W29","07/17","37.5","-0.02","41.9","-0.02","58.1","+0.02"
"1504","2640","大車隊","144.5","-1.5","-1.03","26W29","07/17","40","0","41.7","0","58.3","0"
"1505","6173","信昌電","158","-13","-7.6","26W29","07/17","38.2","-0.09","40.7","+0.31","59.3","-0.31"
"1506","6741","91APP*-KY","55.5","-0.2","-0.36","26W29","07/17","36.1","+0.61","41.2","-0.21","58.8","+0.21"
"1507","1441","大東","9","0","0","26W29","07/17","39.1","0","41.6","0","58.4","0"
"1508","1817","凱撒衛","38.3","+0.05","+0.13","26W29","07/17","41.6","+0.04","41.6","+0.04","58.4","-0.04"
"1509","2748","雲品","38.35","+0.4","+1.05","26W29","07/17","40.7","-0.02","41.6","0","58.4","0"
"1510","4919","新唐","120","-5","-4","26W29","07/17","40.3","+0.07","41.5","+0.27","58.5","-0.27"
"1511","3432","台端","15.9","-0.1","-0.62","26W29","07/17","37.4","0","41.5","0","58.5","0"
"1512","8150","南茂","86.3","-0.6","-0.69","26W29","07/17","28.8","-2.92","30.5","-3.25","69.5","+3.25"
"1513","5234","達興材料","326","-9.5","-2.83","26W29","07/17","40.4","-0.02","40.4","-0.02","59.6","+0.02"
"1514","2483","百容","35.45","-2","-5.34","26W29","07/17","39.3","+0.24","39.3","+0.24","60.7","-0.24"
"1515","1532","勤美","21.8","+0.3","+1.4","26W29","07/17","39.9","-0.06","41.2","-0.05","58.8","+0.05"
"1516","1810","和成","24.6","+0.1","+0.41","26W29","07/17","36.7","+0.59","38.2","+0.58","61.8","-0.58"
"1517","8039","台虹","237.5","+21.5","+9.95","26W29","07/17","38.2","-10","39.9","-9.92","60.1","+9.92"
"1518","6947","台鎔科技","80.6","-1","-1.23","26W29","07/17","32.7","+0.15","36.7","+0.13","63.3","-0.13"
"1519","7823","奧義賽博-KY創","85.1","+0.1","+0.12","26W29","07/17","33.3","0","41.4","0","58.6","0"
"1520","7744","崴寶","470","+19.5","+4.33","26W29","07/17","30.2","-0.12","41.4","0","58.6","0"
"1521","1752","南光","32","+0.1","+0.31","26W29","07/17","38.8","-0.04","42.4","-0.01","57.6","+0.01"
"1522","2316","楠梓電","159.5","-3","-1.85","26W29","07/17","39.7","+1.12","41.3","+1.11","58.7","-1.11"
"1523","2115","六暉-KY","22.55","+0.45","+2.04","26W29","07/17","37.1","-0.69","41.4","+0.09","58.6","-0.09"
"1524","5548","安倉","20.8","+0.35","+1.71","26W29","07/17","39.9","0","41.3","0","58.7","0"
"1525","6725","矽科宏晟","245.5","-8","-3.16","26W29","07/17","38.6","0","41.3","0","58.7","0"
"1526","6147","頎邦","146.5","-4.5","-2.98","26W29","07/17","38","-0.12","39.6","-0.38","60.4","+0.38"
"1527","6605","帝寶","141","+3","+2.17","26W29","07/17","38.9","+0.81","41.6","+0.81","58.4","-0.81"
"1528","4528","江興鍛","15.2","0","0","26W29","07/17","39.7","0","39.7","0","60.3","0"
"1529","1516","川飛","14.5","-1.05","-6.75","26W29","07/17","41.3","0","41.3","0","58.7","0"
"1530","4930","燦星網","16.05","-0.15","-0.93","26W29","07/17","39.2","0","41.2","0","58.8","0"
"1531","6465","威潤","47.6","+0.7","+1.49","26W29","07/17","34.9","0","34.9","0","65.1","0"
"1532","4549","桓達","90.3","-0.5","-0.55","26W29","07/17","41.3","0","41.3","0","58.7","0"
"1533","1709","和益","27.8","+0.15","+0.54","26W29","07/17","39.5","-2.8","42.4","-2.77","57.6","+2.77"
"1534","1219","福壽","10.75","+0.1","+0.94","26W29","07/17","39.8","-0.82","42.1","-0.32","57.9","+0.32"
