項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),355889,354182,11256,8970583,8961034
融券(交易單位),21751,25328,6449,204819,201947
融資金額(仟元),34117880,29685569,500376,544151977,548083912
