排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1201,4162,智擎,62.1,-1.5,-2.36,26M07,4.85,0.0,33.3,0,0,0.0,0.0,0.02,0,0,4.85,0.0,33.3,0,0
1202,4166,友霖,23.95,-0.55,-2.24,26M07,14.5,0.0,59.5,0,0,0.0,0.0,0.0,0,0,14.5,0.0,59.5,0,0
1203,4167,松瑞藥,19.15,0.8,4.36,26M07,2.17,0.0,6.99,0,0,0.03,0.0,0.09,0,0,2.2,0.0,7.08,0,0
1204,4168,醣聯,22.8,0.0,0.0,26M07,1.03,0.0,9.18,0,0,0.0,0.0,0.0,0,0,1.03,0.0,9.18,0,0
1205,4169,泰宗,152.5,2.5,1.67,26M07,1.37,0.0,20.6,0,0,0.0,0.0,0.0,0,0,1.37,0.0,20.6,0,0
1206,4173,久裕,17.25,-0.1,-0.58,26M07,2.98,0.0,40.0,0,0,0.0,0.0,0.0,0,0,2.98,0.0,40.0,0,0
1207,4178,永笙-KY,17.8,-0.25,-1.39,26M07,5.22,0.0,24.2,0,0,0.0,0.0,0.0,0,0,5.22,0.0,24.2,0,0
1208,4188,安克,10.05,0.11,1.11,26M07,2.96,0.0,46.8,0,0,0.0,0.0,0.0,0,0,2.96,0.0,46.8,0,0
1209,4190,佐登-KY,24.65,0.1,0.41,26M07,0.62,214.0,10.1,0,0,0.0,0.0,0.0,0,0,0.62,214.0,10.1,0,0
1210,4192,杏國,18.75,-0.1,-0.53,26M07,2.28,0.0,64.7,0,0,0.0,0.0,0.0,0,0,2.28,0.0,64.7,0,0
1211,4195,基米-創,14.7,-0.3,-2.0,26M07,1.19,0.0,14.8,0,0,0.0,0.0,0.0,0,0,1.19,0.0,14.8,0,0
1212,4198,欣大健康,41.75,0.25,0.6,26M07,1.52,176.0,63.0,0,0,0.0,0.0,0.0,0,0,1.52,176.0,63.0,0,0
1213,4205,中華食,70.1,0.0,0.0,26M07,3.07,0.0,31.5,0,0,0.0,0.0,0.01,0,0,3.07,0.0,31.5,0,0
1214,4303,信立,47.15,-0.45,-0.95,26M07,1.18,0.0,12.5,0,0,0.0,0.0,0.0,0,0,1.18,0.0,12.5,0,0
1215,4304,勝昱,16.05,-0.2,-1.23,26M07,0.36,0.0,5.91,0,0,0.0,0.0,0.0,0,0,0.36,0.0,5.91,0,0
1216,4305,世坤,43.75,0.1,0.23,26M07,1.3,0.0,23.6,0,0,0.0,0.0,0.09,0,0,1.31,0.0,23.7,0,0
1217,4306,炎洲,15.5,1.0,6.9,26M07,9.76,0.0,14.4,0,0,0.0,0.0,0.0,0,0,9.76,0.0,14.4,0,0
1218,4401,東隆興,14.05,0.05,0.36,26M07,2.87,0.0,23.4,0,0,0.01,0.0,0.09,0,0,2.88,0.0,23.5,0,0
1219,4406,新昕纖,10.05,0.0,0.0,26M07,0.81,0.0,15.6,0,0,0.0,0.0,0.09,0,0,0.82,0.0,15.7,0,0
