排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
191,00683L,期元大美元指正2,22.28,0.27,1.23,07/24,-2.26,-23.8,-23.1,-15.0,2.93,8.57,8.23,9.75,6.34,2.07,,9.03
192,00942B,台新美A公司債20+,14.08,-0.05,-0.35,07/24,0.46,0.23,-23.0,23.6,11.6,88.4,72.2,74.4,62.7,,,70.7
193,6875,國邑*,35.15,0.15,0.43,07/24,-24.7,-24.6,-23.0,-18.8,-4.08,7.57,-3.65,-1.54,-0.64,,,-2.13
194,3338,泰碩,64.1,-2.3,-3.46,07/24,-35.7,-26.0,-23.0,-11.7,-5.95,-3.26,-0.16,0.33,-0.62,-0.39,0.0,-0.05
195,3011,今皓,12.05,0.0,0.0,07/24,-8.35,-32.0,-23.0,-20.4,-24.7,-14.3,1.25,-0.36,-0.43,-0.36,0.0,-0.36
196,1440,南紡,12.75,-0.1,-0.78,07/24,-36.9,-30.2,-23.0,-17.1,-5.78,-0.8,-3.87,-2.82,0.39,0.85,0.15,-1.97
197,1219,福壽,11.85,0.2,1.72,07/24,46.3,-23.2,-22.9,-21.0,-2.47,5.39,-0.88,1.53,0.81,2.14,0.3,2.17
198,6138,茂達,333.0,10.0,3.1,07/24,-25.6,-24.0,-22.9,-22.0,-8.41,-8.32,-3.86,-3.23,1.06,0.89,0.32,-2.99
199,3310,佳穎,67.3,-0.2,-0.3,07/24,-14.3,-24.9,-22.9,-12.5,-0.72,0.71,-0.91,-0.36,-0.17,-0.51,-0.01,-0.25
200,7799,禾榮科,399.5,1.0,0.25,07/24,-4.63,-14.6,-22.8,-9.56,-3.12,-2.04,-3.71,-1.68,,,,-1.63
201,6799,來頡,82.1,-1.0,-1.2,07/24,-29.1,-19.6,-22.8,-7.27,-7.98,1.74,0.51,0.07,1.51,-0.2,,1.07
202,2754,亞洲藏壽司,68.6,-0.1,-0.15,07/24,-3.99,-19.3,-22.7,-1.85,-18.8,-9.28,-4.11,-5.58,-6.17,-9.37,,-5.69
203,6573,虹揚-KY,19.0,-1.15,-5.71,07/24,-31.5,-33.4,-22.7,-11.6,6.17,0.76,0.61,0.7,0.52,0.33,,0.5
204,3419,譁裕,12.2,-0.35,-2.79,07/24,-24.7,-31.7,-22.7,-21.9,-24.9,-17.6,-3.29,0.25,-0.01,0.59,-0.15,0.38
205,2855,統一證,44.2,-0.45,-1.01,07/24,-18.3,-28.4,-22.6,-13.7,-14.7,-4.43,-16.5,-6.72,-1.49,-1.14,-0.49,-4.12
206,6486,互動,78.6,2.4,3.15,07/24,-4.79,-11.2,-22.5,-20.3,-10.8,-5.9,-17.5,-4.47,-2.47,0.03,,-2.83
207,6754,匯僑設計,42.55,0.5,1.19,07/24,-38.1,-31.2,-22.5,-10.8,1.01,-7.15,-4.63,-1.66,-5.11,0.55,,-1.97
208,5457,宣德,29.85,-0.35,-1.16,07/24,-38.0,-27.0,-22.5,-16.3,-22.2,-15.8,-9.46,-4.42,-3.99,-0.5,0.04,-5.25
209,009812,野村日本東證,12.37,-0.22,-1.75,07/24,-14.6,-52.0,-22.5,17.6,4.57,-0.18,10.8,4.08,,,,3.27
210,8105,凌巨,16.9,-0.3,-1.74,07/24,-13.0,-22.7,-22.4,-15.6,-8.52,-5.35,-0.41,0.5,0.24,0.2,0.02,-0.05
211,8045,達運光電,61.0,-2.8,-4.39,07/24,-62.9,-27.8,-22.3,-1.97,-4.17,-1.47,3.73,0.53,0.95,,,-0.94
212,1614,三洋電,31.1,0.0,0.0,07/24,-10.1,-19.7,-22.3,0.47,23.3,12.7,3.73,5.46,0.23,-0.17,-0.36,3.6
213,2633,台灣高鐵,26.05,0.1,0.39,07/24,9.51,-7.29,-22.2,-3.26,11.5,-22.0,-20.2,-20.5,-16.2,-8.49,,-21.5
214,1587,吉茂,24.65,-0.2,-0.8,07/24,-17.4,-28.7,-22.2,-3.01,2.37,2.46,-1.07,2.05,-1.03,-0.14,,-0.95
215,4164,承業醫,27.15,-0.1,-0.37,07/24,11.2,-4.67,-22.2,-0.49,-6.21,-4.7,-10.2,-12.5,-4.7,-1.19,-0.75,-12.3
216,5426,振發,26.05,-0.85,-3.16,07/24,0.76,-25.6,-22.1,-14.9,-4.51,-4.41,-0.35,-0.26,0.79,0.0,0.02,-0.37
217,3322,建舜電,12.3,-0.05,-0.4,07/24,-41.5,-22.8,-22.0,-9.59,-22.3,-16.5,-1.91,-1.0,-0.7,-0.11,0.0,-0.64
218,2012,春雨,15.75,0.1,0.64,07/24,9.53,4.32,-22.0,3.03,12.0,-0.66,1.65,3.05,-0.22,0.0,-0.46,2.19
219,2305,全友,32.3,-2.05,-5.97,07/24,-35.2,-29.7,-22.0,-14.8,-7.5,-5.57,0.49,0.59,0.52,0.79,0.13,0.5
220,6164,華興,12.15,-0.5,-3.95,07/24,-26.4,-29.8,-22.0,-18.5,-4.93,-1.52,1.22,2.82,1.06,0.66,0.2,3.04
221,2838,聯邦銀,20.3,0.05,0.25,07/24,4.12,-12.6,-21.9,-8.77,-17.5,-10.5,-2.24,4.23,3.07,-3.57,1.42,1.55
222,7786,東方風能,127.0,-2.5,-1.93,07/24,-41.4,-25.0,-21.8,1.15,9.83,17.9,1.24,1.18,,,,2.85
223,6722,輝創,34.5,-0.2,-0.58,07/24,-15.4,-33.2,-21.8,-3.69,-1.08,2.48,0.88,2.95,,,,
224,8081,致新,262.0,11.0,4.38,07/24,-21.2,-25.1,-21.7,-0.03,-0.68,-0.49,-4.32,-2.78,-2.43,-0.9,-0.21,-1.68
225,2748,雲品,39.85,0.1,0.25,07/24,-20.7,-20.2,-21.6,3.84,5.75,7.06,3.31,3.72,-0.36,0.22,,2.83
226,2062,橋椿,18.7,-0.15,-0.8,07/24,-48.0,-51.2,-21.6,-8.88,-12.8,-2.86,-0.26,1.45,-0.52,-0.01,-0.63,-0.75
227,4503,金雨,36.45,-0.7,-1.88,07/24,-12.6,-25.9,-21.6,-13.8,-11.2,-13.3,-6.81,-6.31,-1.83,-0.02,-0.03,-4.97
228,00921,兆豐龍頭等權重,22.85,-0.32,-1.38,07/24,0.0,8.21,-21.6,-30.2,-21.9,-8.98,-10.4,0.88,5.65,2.69,,2.74
229,4137,麗豐-KY,94.5,0.5,0.53,07/24,1.41,-26.2,-21.5,-13.2,-6.92,-26.3,-11.6,-9.44,-5.01,-3.68,-0.79,-7.17
230,2610,華航,20.5,-0.1,-0.49,07/24,7.59,-31.4,-21.5,-7.98,13.8,1.09,5.5,-0.35,-1.27,0.29,0.07,2.41
231,5222,全訊,115.5,0.0,0.0,07/24,-16.9,-25.8,-21.5,-2.89,-8.13,3.03,-3.79,-1.61,-0.84,-0.75,,-0.39
