排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 月份,非獨 董監 持股 (萬張),非獨 董監 增減 張數,非獨 董監 持股 (%),非獨 董監 質押 (萬張),非獨 董監 質押 (%),獨立 董監 持股 (萬張),獨立 董監 增減 張數,獨立 董監 持股 (%),獨立 董監 質押 (萬張),獨立 董監 質押 (%),全體 董監 持股 (萬張),全體 董監 增減 張數,全體 董監 持股 (%),全體 董監 質押 (萬張),全體 董監 質押 (%)
1801,7788,松川精密,286.5,-21.5,-6.98,26M08,1.54,0.0,19.3,0,0,0.0,0.0,0.0,0,0,1.54,0.0,19.3,0,0
1802,7791,皇家可口,55.3,-0.2,-0.36,26M08,4.83,0.0,60.3,0,0,0.0,0.0,0.0,0,0,4.83,0.0,60.3,0,0
1803,7792,安葆,305.5,-16.5,-5.12,26M08,1.37,-50.0,29.5,0,0,0.0,0.0,0.0,0,0,1.37,-50.0,29.5,0,0
1804,7794,宏碁智新,31.7,-0.3,-0.94,26M08,1.41,0.0,50.5,0,0,0.0,0.0,0.02,0,0,1.41,0.0,50.5,0,0
1805,7795,長廣,507.0,-27.0,-5.06,26M08,4.96,0.0,62.9,0,0,0.0,0.0,0.0,0,0,4.96,0.0,62.9,0,0
1806,7799,禾榮科,414.5,-10.5,-2.47,26M08,6.73,0.0,42.6,0,0,0.0,0.0,0.0,0,0,6.73,0.0,42.6,0,0
1807,7803,雲象科技-創,19.05,-0.55,-2.81,26M08,3.07,0.0,32.5,0,0,0.0,0.0,0.0,0,0,3.07,0.0,32.5,0,0
1808,7805,威聯通,495.0,-11.0,-2.17,26M08,1.28,2131.0,38.6,0,0,0.0,0.0,0.0,0,0,1.28,2131.0,38.6,0,0
1809,7810,捷創科技,219.5,-2.0,-0.9,26M08,0.74,0.0,36.3,0,0,0.0,0.0,0.0,0,0,0.74,0.0,36.3,0,0
1810,7811,民盛,73.2,-0.6,-0.81,26M08,2.08,0.0,62.2,0,0,0.0,0.0,0.0,0,0,2.08,0.0,62.2,0,0
