排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
85,2457,飛宏,23.65,0.15,0.64,08/13,21,-8,43,-1806,-1606,1571,2677.0,-2883.0,12481.0,-5871.0
86,3033,威健,48.6,-1.7,-3.38,08/13,427,878,921,-1805,-1322,-2318,-4317.0,-23717.0,-6574.0,-13126.0
87,4967,十銓,280.5,1.0,0.36,08/13,8,102,-987,-1779,-2130,-1881,-871.0,1537.0,322.0,1255.0
88,2308,台達電,1885.0,95.0,5.31,08/13,194,-1567,-1471,-1775,-757,285,1390.0,5455.0,146.0,5655.0
89,2206,三陽工業,60.9,0.1,0.16,08/13,-1488,-1349,-1801,-1772,-3471,-2816,-1146.0,6386.0,3191.0,8768.0
90,6443,元晶,27.7,0.95,3.55,08/13,47,-111,-364,-1752,-2317,-2001,-424.0,-1514.0,-9841.0,1795.0
91,5314,世紀*,61.3,-1.2,-1.92,08/13,13,-934,-896,-1724,-2790,-2018,276.0,3403.0,9227.0,2412.0
92,4938,和碩,94.8,3.4,3.72,08/13,716,-18,151,-1715,-9874,-50340,28626.0,56648.0,72353.0,35737.0
93,2204,中華,51.2,-0.3,-0.58,08/13,-42,-263,-602,-1708,-1526,-522,3548.0,5331.0,7430.0,9050.0
94,6147,頎邦,164.5,8.0,5.11,08/13,-2494,-2918,-1674,-1702,-802,-11907,-23323.0,9940.0,-1413.0,10956.0
95,00680L,元大美債20正2,6.43,-0.02,-0.31,08/13,0,0,0,-1640,-1719,-1909,-15159.0,-56754.0,-125950.0,-81730.0
96,00740B,富邦全球投等債,37.93,0.01,0.03,08/13,0,0,-1632,-1632,-1632,-2564,-3811.0,-1384.0,-902.0,-3259.0
97,2363,矽統,54.4,-1.0,-1.81,08/13,130,149,-436,-1605,-2573,5202,3061.0,-9149.0,41.0,-9966.0
98,00688L,國泰20年美債正2,6.41,-0.01,-0.16,08/13,0,-132,-132,-1569,-2249,-2959,-8139.0,-40427.0,-57090.0,-47377.0
99,00753L,中信中國50正2,9.72,0.02,0.21,08/13,0,-21,-25,-1563,-7730,-10706,-10602.0,-14125.0,-19114.0,-15503.0
100,00406A,主動中信台灣收益,9.69,0.16,1.68,08/13,50,286,651,-1551,-5551,6690,,,,
101,00888,永豐台灣ESG,33.32,0.71,2.18,08/13,0,54,-133,-1520,-7284,1042,6773.0,8662.0,7995.0,8632.0
102,9939,宏全,135.0,1.0,0.75,08/13,34,-113,-425,-1501,-2064,-2216,-5793.0,-5183.0,3560.0,-5466.0
103,3023,信邦,312.0,-3.5,-1.11,08/13,-266,-981,-997,-1445,-1477,380,6336.0,379.0,7905.0,3673.0
104,2009,第一銅,39.7,-1.65,-3.99,08/13,-229,-330,-1009,-1429,-1066,-1841,685.0,-1892.0,-2774.0,-1381.0
105,4919,新唐,126.5,1.0,0.8,08/13,-354,-663,-759,-1402,-1146,-6988,-12342.0,-260.0,5718.0,2569.0
106,00772B,中信高評級公司債,33.01,-0.01,-0.03,08/13,0,-8,-1358,-1358,-1358,-1358,-1326.0,1722.0,1517.0,4547.0
107,00687B,國泰20年美債,27.43,-0.03,-0.11,08/13,400,903,1523,-1290,-2755,-12222,-13792.0,-16010.0,-55141.0,-12129.0
108,4904,遠傳,99.5,-1.5,-1.49,08/13,562,1435,828,-1277,-10841,-37025,19211.0,19253.0,16690.0,18970.0
109,006208,富邦台50,244.4,3.5,1.45,08/13,0,83,83,-1270,-3230,-1772,-4834.0,1495.0,-11993.0,-838.0
110,2359,所羅門,157.0,14.0,9.79,08/13,-446,-510,-943,-1265,-801,-616,-2439.0,-4088.0,-440.0,-4776.0
111,2436,偉詮電,71.2,3.6,5.33,08/13,-1243,-1162,-1049,-1201,-601,-1404,-10889.0,-5190.0,806.0,-4250.0
112,1795,美時,188.0,-0.5,-0.27,08/13,-81,-560,-773,-1140,-1932,-1125,1670.0,13341.0,11621.0,10529.0
113,3019,亞光,139.0,1.5,1.09,08/13,-85,-83,-934,-1119,-2022,1562,-7600.0,-6773.0,-2376.0,-2173.0
114,00864B,中信美國公債0-1,47.06,-0.04,-0.08,08/13,0,0,-1000,-1100,-1310,-1311,-1824.0,-391.0,-2034.0,-545.0
115,3059,華晶科,40.75,-0.05,-0.12,08/13,-299,-148,-415,-1087,-1844,-3300,5010.0,1919.0,11076.0,10596.0
116,3227,原相,201.5,-2.5,-1.23,08/13,238,324,-181,-1078,-1722,-184,-785.0,-4258.0,1978.0,183.0
117,6279,胡連,129.5,-1.0,-0.77,08/13,-387,-618,-775,-1044,-1503,-1757,-399.0,-2895.0,2860.0,-1364.0
118,9941,裕融,86.1,0.4,0.47,08/13,-102,-490,-652,-1037,-2106,-6283,4667.0,610.0,11893.0,9010.0
119,2912,統一超,217.0,-2.5,-1.14,08/13,685,515,640,-1036,-8789,-4710,12754.0,14214.0,16355.0,10457.0
120,00405A,主動富邦台灣龍耀,8.62,0.2,2.38,08/13,0,0,0,-1027,-18511,-8521,,,,
121,00955,中信日本商社,15.64,0.06,0.39,08/13,-995,-995,-1005,-1025,-1018,-3321,-4522.0,-8358.0,12562.0,2998.0
122,3029,零壹,111.5,3.0,2.76,08/13,-414,-422,-549,-1015,-1416,-3471,-5123.0,-2974.0,-952.0,-461.0
123,3532,台勝科,343.0,31.0,9.94,08/13,-42,-47,-877,-980,-984,1795,1592.0,-1400.0,1937.0,-1087.0
124,2351,順德,173.0,1.0,0.58,08/13,-1002,-974,-955,-949,-1041,-1888,-3167.0,-2480.0,-2499.0,-5392.0
125,2347,聯強,91.5,-0.1,-0.11,08/13,-145,-279,-428,-928,-3532,-20381,-6089.0,-995.0,-16069.0,-3928.0
