"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"223","3491","昇達科","1235","-115","-8.52","26W28","07/09","82.6","-0.19","85.3","-0.19","14.7","+0.19"
"224","2436","偉詮電","61.6","+0.2","+0.33","26W28","07/09","76.5","-0.78","79.2","+0.57","20.8","-0.57"
"225","009826","貝萊德世界股票","10.22","-0.06","-0.58","","","","","","","",""
"226","009815","大華美國MAG7+","11.69","0","0","26W28","07/09","82.9","-0.8","84.2","-0.99","15.8","+0.99"
"227","00405A","主動富邦台灣龍耀","8.02","-0.23","-2.79","26W28","07/09","92.2","+4.88","93.8","+5.03","6.95","-4.27"
"228","00958B","永豐ESG銀行債15+","9.23","-0.05","-0.54","26W28","07/09","80.7","-0.09","82.9","+0.71","17.1","-0.71"
"229","00717","富邦美國特別股","14.91","-0.08","-0.53","26W28","07/09","77.8","+0.06","80.1","+0.06","19.9","-0.06"
"230","009813","貝萊德標普卓越50","11.49","-0.04","-0.35","26W28","07/09","82.2","-1.06","83.3","-1.3","16.7","+1.3"
"231","6830","汎銓","398","-27","-6.35","26W28","07/09","79.8","+0.09","84.4","+0.01","15.6","-0.01"
"232","6143","振曜","92.6","-1.4","-1.49","26W28","07/09","77.7","+1.07","81.1","+0.29","18.9","-0.29"
"233","8088","品安","47.1","-1.3","-2.69","26W28","07/09","81.9","+1.64","81.9","+0.01","18.1","-0.01"
"234","6243","迅杰","47.9","+2.6","+5.74","26W28","07/09","82.3","0","82.3","0","17.7","0"
"235","6512","啟發電","20.15","0","0","26W28","07/09","74.7","0","82.3","0","17.7","0"
"236","2480","敦陽科","156.5","+1","+0.64","26W28","07/09","78.4","-0.34","81.8","-0.34","18.2","+0.34"
"237","00983A","主動中信ARK創新","11.53","-0.08","-0.69","26W28","07/09","81.6","+6.76","82.4","+6.03","17.6","-6.03"
"238","009805","台新美國電力基建","16.14","-0.17","-1.04","26W28","07/09","81","-0.68","82.1","-0.79","17.9","+0.79"
"239","3390","旭軟","22.7","-1","-4.22","26W28","07/09","79.4","0","80.5","0","19.5","0"
"240","6517","保勝光學","61","-2","-3.17","26W28","07/09","82","0","82","0","18","0"
"241","00635U","期元大S&P黃金","44.35","+0.08","+0.18","26W28","07/09","83.3","+0.05","84.5","+0.37","15.5","-0.37"
"242","00781B","國泰A級科技債","27.65","-0.23","-0.82","26W28","07/09","82","0","82","0","18","0"
"243","2444","兆勁","10.9","+0.1","+0.93","26W28","07/09","80.1","-0.01","81.9","0","18.1","0"
"244","00912","中信臺灣智慧50","33.08","+0.08","+0.24","26W28","07/09","82.8","+1.97","82.8","+0.41","17.2","-0.41"
"245","2365","昆盈","30.25","0","0","26W28","07/09","79.9","+0.01","81.5","+0.38","18.5","-0.38"
"246","1784","訊聯","60.2","+0.3","+0.5","26W28","07/09","76.6","-0.02","81.9","-0.02","18.1","+0.02"
"247","00956","中信日經高股息","13.4","+0.17","+1.28","26W28","07/09","84.2","-0.24","87.2","-0.24","12.8","+0.24"
"248","6588","東典光電","89.8","-4.2","-4.47","26W28","07/09","79","+0.09","81.9","+2.95","18.1","-2.95"
"249","6771","平和環保-創","38.05","-0.05","-0.13","26W28","07/09","79","0","81.9","0","18.1","0"
"250","8227","巨有科技","145","-3","-2.03","26W28","07/09","74.9","+0.02","81.8","0","18.2","0"
"251","00988A","主動統一全球創新","16.39","-0.21","-1.27","26W28","07/09","84.6","+1.49","86","+1.56","14","-1.56"
"252","3545","敦泰","50.4","-0.4","-0.79","26W28","07/09","79.1","-0.93","80.8","-0.51","19.2","+0.51"
"253","0052","富邦科技","60.2","-0.25","-0.41","26W28","07/09","82.4","+0.17","82.9","+0.09","17.1","-0.09"
"254","6532","瑞耘","82.1","+5.5","+7.18","26W28","07/09","81.5","0","81.5","0","18.5","0"
"255","3339","泰谷","37.8","-2.8","-6.9","26W28","07/09","83.4","+0.39","83.4","+0.39","16.6","-0.39"
"256","6233","旺玖","20.75","+0.2","+0.97","26W28","07/09","76.1","+0.28","81.6","+0.17","18.4","-0.17"
"257","4133","亞諾法","21.2","-0.2","-0.93","26W28","07/09","81.5","0","81.5","0","18.5","0"
"258","3588","通嘉","54.3","+2.3","+4.42","26W28","07/09","78.6","+0.18","81.6","+1.73","18.4","-1.73"
"259","3213","茂訊","136.5","-2","-1.44","26W28","07/09","77.2","-2.93","83.3","0","16.7","0"
"260","5291","邑昇","56.1","+5.1","+10","26W28","07/09","78.9","+2.01","83.6","-0.13","16.4","+0.13"
"261","00739","元大MSCI A股","28.68","+0.36","+1.27","26W28","07/09","74","+3.84","81.3","+0.1","18.7","-0.1"
"262","8024","佑華","14.4","-0.15","-1.03","26W28","07/09","77.4","0","81.1","0","18.9","0"
"263","00714","群益道瓊美國地產","22.33","-0.24","-1.06","26W28","07/09","81.8","-0.15","81.8","-0.15","18.2","+0.15"
"264","3138","耀登","95.6","-1.4","-1.44","26W28","07/09","77.9","-0.04","81","0","19","0"
"265","5227","立凱-KY","33.7","-0.3","-0.88","26W28","07/09","87.2","+1.55","87.2","+0.09","12.8","-0.09"
"266","6485","點序","61.5","-2.4","-3.76","26W28","07/09","79.2","+0.07","80.9","0","19.1","0"
"267","0053","元大電子","231.75","-2.8","-1.19","26W28","07/09","81.1","-0.02","81.1","-0.02","18.9","+0.02"
"268","3059","華晶科","40.15","-0.3","-0.74","26W28","07/09","78.8","-0.86","80.1","-0.86","19.9","+0.86"
"269","5471","松翰","54.8","+0.4","+0.74","26W28","07/09","77.4","+0.2","78","-0.28","22","+0.28"
"270","2405","輔信","16.3","+0.15","+0.93","26W28","07/09","80.5","+0.46","81","+0.19","19","-0.19"
"271","009800","中信NASDAQ","13.15","-0.04","-0.3","26W28","07/09","80.8","+0.07","81.4","+0.07","18.6","-0.07"
"272","4768","晶呈科技","292","-9","-2.99","26W28","07/09","78.8","+0.09","80.6","+0.09","19.5","0"
"273","6217","中探針","165","+3.5","+2.17","26W28","07/09","77.2","-0.77","80.2","-0.05","19.8","+0.05"
"274","3228","金麗科","141.5","-5","-3.41","26W28","07/09","77.9","-0.63","80.3","-0.64","19.7","+0.48"
"275","2485","兆赫","40.5","-0.5","-1.22","26W28","07/09","82.9","-0.37","83.2","-0.38","16.8","+0.38"
"276","5220","萬達光電","20.45","-0.05","-0.24","26W28","07/09","76","0","80.4","0","19.6","0"
"277","3041","揚智","22.5","-0.2","-0.88","26W28","07/09","75.7","-0.47","77.6","-0.62","22.4","+0.62"
"278","3437","榮創","17.4","-0.4","-2.25","26W28","07/09","79.1","-0.11","79.8","-0.11","20.2","+0.11"
"279","00697B","元大美債7-10","35.82","-0.12","-0.33","26W28","07/09","79.1","+0.33","82","+1.85","18","-1.85"
"280","3646","艾恩特","23.25","+0.05","+0.22","26W28","07/09","66.6","+2.08","80.1","0","19.9","0"
"281","4168","醣聯","23","-0.25","-1.08","26W28","07/09","78.2","0","79.9","0","20.1","0"
"282","3527","聚積","50.8","-0.8","-1.55","26W28","07/09","79.9","0","79.9","0","20.1","0"
"283","6591","動力-KY","44.7","-0.3","-0.67","26W28","07/09","79.9","0","79.9","0","20.1","0"
"284","00830","國泰費城半導體","86.35","+0.45","+0.52","26W28","07/09","79.4","+1.12","80.3","+1.19","19.7","-1.19"
"285","00631L","元大台灣50正2","33.68","-0.17","-0.5","26W28","07/09","79.4","+1.33","81.2","+1.29","18.8","-1.29"
"286","4966","譜瑞-KY","598","-7","-1.16","26W28","07/09","73.6","+1.74","76.9","-0.62","23.1","+0.62"
"287","3014","聯陽","135","+4.5","+3.45","26W28","07/09","73.3","+0.44","76","-1.12","24","+1.12"
"288","2406","國碩","31.35","-0.8","-2.49","26W28","07/09","68.6","+2.5","71.4","+2.44","28.6","-2.44"
"289","3346","麗清","20.8","+0.1","+0.48","26W28","07/09","77.3","0","79.5","0","20.5","0"
"290","00633L","富邦上証正2","50.75","+1.26","+2.55","26W28","07/09","75.8","-5.92","79.7","-6.03","20.3","+6.03"
"291","2941","米斯特","31.7","0","0","26W28","07/09","79.4","0","79.4","0","20.6","0"
"292","8435","鉅邁","54","+1.6","+3.05","26W28","07/09","74.2","0","79.4","0","20.6","0"
"293","910322","康師傅-DR","22.95","-0.25","-1.08","26W28","07/09","79.3","0","79.3","0","20.7","0"
"294","5289","宜鼎","1500","-110","-6.83","26W28","07/09","73.1","+2.11","76.7","+1.25","23.3","-1.25"
"295","00408A","主動第一金優股息","10.09","-0.16","-1.56","","","","","","","",""
"296","3234","光環","107.5","-3","-2.71","26W28","07/09","74.9","-0.03","76.4","-0.16","23.6","+0.16"
"297","3349","寶德","23","+0.55","+2.45","26W28","07/09","67.7","+0.05","77.7","+2.19","22.3","-2.19"
"298","00887","永豐中國科技50大","17.33","+0.44","+2.61","26W28","07/09","77.6","-1.15","80.3","-1.58","19.7","+1.58"
"299","00935","野村臺灣新科技50","55","-0.9","-1.61","26W28","07/09","82.6","+1.39","82.9","+1.28","17.1","-1.28"
"300","4542","科嶠","290","-17","-5.54","26W28","07/09","68.1","+0.01","79","0","21","-0.01"
