"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"562","9946","三發地產","19.05","+0.05","+0.26","26M03","1.46","0","4.46","0.13","8.94","0","0","0","0","0","1.46","0","4.46","0.13","8.94"
"563","2755","揚秦","104.5","0","0","26M03","0.8","+100","22","0.02","1.92","0","0","0","0","0","0.8","+100","22","0.02","1.92"
"564","2477","美隆電","21.05","-0.35","-1.64","26M03","3.87","0","24.4","0.06","1.44","0","0","0","0","0","3.87","0","24.4","0.06","1.44"
"565","2390","云辰","10.25","0","0","26M03","5.59","0","29","0.08","1.36","0","0","0.01","0","0","5.59","0","29","0.08","1.36"
"566","6640","均華","1085","+90","+9.05","26M03","1.71","0","60.5","0.02","1.28","0","0","0","0","0","1.71","0","60.5","0.02","1.28"
"567","2615","萬海","90.6","+3.1","+3.54","26M03","7.77","0","2.77","0.1","1.28","0.07","0","0.03","0","0","7.84","0","2.79","0.1","1.27"
"568","1736","喬山","136","-4.5","-3.2","26M03","20.6","+102","68","0.24","1.16","0","0","0","0","0","20.6","+102","68","0.24","1.16"
"569","1434","福懋","17.5","-0.1","-0.57","26M03","65","0","38.6","0.74","1.13","0","0","0","0","0","65","0","38.6","0.74","1.13"
"570","4442","竣邦-KY","52.7","-0.8","-1.5","26M03","1.05","+14.2","32.7","0.01","1.13","0","0","0","0","0","1.05","+14.2","32.7","0.01","1.13"
"571","5443","均豪","106","-1","-0.93","26M03","4.52","0","27.4","0.05","1.1","0","0","0","0","0","4.52","0","27.4","0.05","1.1"
"572","2104","國際中橡","10.3","+0.1","+0.98","26M03","17.7","0","17.9","0.19","1.09","0","0","0","0","0","17.7","0","17.9","0.19","1.09"
"573","1229","聯華","40.8","-0.5","-1.21","26M03","43.4","0","24.2","0.45","1.03","0","0","0","0","0","43.4","0","24.2","0.45","1.03"
"574","4154","樂威科-KY","12.2","-0.6","-4.69","26M03","0.65","0","16.9","0.01","0.94","0","0","0","0","0","0.65","0","16.9","0.01","0.94"
"575","6183","關貿","93.8","+0.7","+0.75","26M03","7.47","0","49.8","0.07","0.93","0","0","0","0","0","7.47","0","49.8","0.07","0.93"
