排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
1,00410A,主動永豐科技趨勢,10.57,-0.31,-2.85,,,,,,,,
2,00702,國泰標普低波高息,25.23,-0.02,-0.08,26W27,07/03,34.7,-0.3,15.3,0.0,15.3,0.0
3,00660,元大歐洲50,47.47,0.17,0.36,26W27,07/03,12.3,-0.01,12.3,-0.01,0.0,0.0
4,00980A,主動野村臺灣優選,23.57,-0.16,-0.67,26W27,07/03,16.0,0.65,15.4,0.65,15.3,0.65
5,5351,鈺創,104.0,1.0,0.97,26W27,07/03,29.1,-4.27,27.4,-4.07,25.5,-3.01
6,00913,兆豐台灣晶圓製造,46.35,-0.86,-1.82,26W27,07/03,12.7,10.2,10.9,8.33,8.88,8.88
7,00991A,主動復華未來50,16.86,-0.3,-1.75,26W27,07/03,18.6,-1.05,17.5,-0.94,16.2,-1.27
8,4533,協易機,24.6,-0.3,-1.2,26W27,07/03,27.7,1.5,25.6,1.96,25.0,1.96
9,009807,台新標普科技精選,17.05,0.0,0.0,26W27,07/03,43.6,-4.49,43.6,-0.44,30.1,-7.38
10,3605,宏致,107.5,-0.5,-0.46,26W27,07/03,52.6,7.67,49.5,7.4,47.9,6.84
11,00405A,主動富邦台灣龍耀,8.02,-0.23,-2.79,26W27,07/03,14.3,0.0,12.7,-0.29,11.2,-0.22
12,00989A,主動摩根美國科技,17.14,0.11,0.65,26W27,07/03,20.5,0.93,18.6,-0.06,18.6,1.03
13,3006,晶豪科,256.5,-1.5,-0.58,26W27,07/03,48.8,-1.86,45.5,-1.15,43.7,-1.15
14,00981A,主動統一台股增長,28.03,-0.81,-2.81,26W27,07/03,20.0,1.8,18.9,1.83,17.8,1.75
15,00956,中信日經高股息,13.4,0.17,1.28,26W27,07/03,17.4,2.38,15.5,0.55,12.6,0.55
16,00911,兆豐洲際半導體,54.25,0.2,0.37,26W27,07/03,3.56,-1.59,0.0,-5.15,0.0,0.0
17,8271,宇瞻,235.5,-11.5,-4.66,26W27,07/03,39.6,-1.47,38.5,-0.48,37.7,-0.57
18,00947,台新臺灣IC設計,35.14,-0.36,-1.01,26W27,07/03,22.4,1.11,19.2,1.26,18.5,1.72
19,00663L,國泰臺灣加權正2,96.6,-0.35,-0.36,26W27,07/03,20.3,-1.08,18.8,-1.45,16.9,-1.52
20,00757,統一FANG+,139.65,-0.5,-0.36,26W27,07/03,30.2,-0.06,29.0,-0.38,29.0,-0.1
21,2464,盟立,173.5,-4.5,-2.53,26W27,07/03,42.7,5.8,39.4,6.56,37.7,6.58
22,8421,旭源,15.3,0.85,5.88,26W27,07/03,62.6,0.76,59.0,0.76,59.0,0.76
23,009818,華南永昌NASDAQxT,20.37,0.05,0.25,26W27,07/03,6.59,2.42,5.41,2.41,5.41,2.41
24,6206,飛捷,144.0,-0.5,-0.35,26W27,07/03,48.5,0.07,45.7,-0.02,43.1,1.18
25,00685L,群益臺灣加權正2,11.01,-0.04,-0.36,,,,,,,,
26,6491,晶碩,373.0,4.0,1.08,26W27,07/03,56.7,0.65,55.7,1.49,53.4,0.44
27,009809,富邦淨零ESG50,17.15,-0.12,-0.69,26W27,07/03,21.8,-0.34,19.4,1.81,13.8,-0.87
28,00408A,主動第一金優股息,10.09,-0.16,-1.56,,,,,,,,
29,00992A,主動群益科技創新,16.63,-0.3,-1.77,26W27,07/03,17.9,-1.82,17.0,-1.84,15.8,-1.94
30,3489,森寶,26.0,0.1,0.39,26W27,07/03,71.0,-0.04,69.6,-0.04,66.6,-1.14
31,006206,元大上證50,38.6,0.48,1.26,26W27,07/03,19.3,-0.48,16.9,-0.18,10.9,-3.39
32,00733,富邦臺灣中小,63.2,-1.45,-2.24,26W27,07/03,16.8,1.21,12.5,-2.16,12.5,-2.16
33,00654R,富邦印度反1,6.58,-0.02,-0.3,26W27,07/03,38.6,-0.02,38.6,-0.02,33.8,-0.01
34,00852L,國泰美國道瓊正2,36.6,-0.96,-2.56,26W27,07/03,66.5,7.42,59.7,0.6,50.3,1.51
35,00400A,主動國泰動能高息,13.74,-0.15,-1.08,26W27,07/03,16.0,2.86,14.7,2.87,13.9,3.01
36,00996A,主動兆豐台灣豐收,13.27,-0.21,-1.56,26W27,07/03,17.0,-0.47,15.9,-0.43,14.7,-0.11
37,00964,中信亞太高股息,14.05,-0.05,-0.35,26W27,07/03,19.6,0.11,17.7,0.05,13.8,1.52
38,3260,威剛,416.0,-5.0,-1.19,26W27,07/03,26.7,-1.47,25.8,-0.79,24.0,-1.28
39,6226,光鼎,22.05,-0.8,-3.5,26W27,07/03,25.5,-0.52,23.6,0.08,22.1,1.06
40,00670L,富邦NASDAQ正2,200.65,-0.6,-0.3,26W27,07/03,14.0,2.55,10.4,1.61,9.22,2.88
41,00651R,復華香港反1,5.17,-0.03,-0.58,26W27,07/03,64.8,2.82,56.2,3.37,53.2,3.37
42,009819,中信數據及電力,10.31,0.01,0.1,26W27,07/03,11.4,-1.33,10.6,-1.25,9.54,-1.25
43,2321,東訊,15.3,0.3,2.0,26W27,07/03,71.0,0.03,71.0,0.03,67.9,0.0
44,009803,玉山市值動能50,20.84,-0.13,-0.62,26W27,07/03,14.2,2.24,13.7,2.7,12.2,3.95
45,00655L,國泰中國A50正2,35.52,1.04,3.02,26W27,07/03,20.1,-1.87,12.6,-3.31,12.6,-3.31
46,00999A,主動野村臺灣高息,10.83,-0.05,-0.46,26W27,07/03,12.2,0.04,11.4,-0.09,10.3,-0.15
47,5274,信驊,16345.0,-405.0,-2.42,26W27,07/03,25.0,-0.22,21.4,-0.24,18.8,-0.24
48,6213,聯茂,389.0,14.0,3.73,26W27,07/03,63.8,0.31,61.4,0.5,58.8,-0.29
49,009824,群益美國科技巨頭,10.19,-0.03,-0.29,26W27,07/03,17.0,-13.1,16.2,-13.4,14.5,-13.0
50,2421,建準,151.5,-3.0,-1.94,26W27,07/03,51.2,0.54,47.2,0.26,45.9,1.2
51,2388,威盛,77.9,-1.5,-1.89,26W27,07/03,66.8,-0.71,66.0,-0.32,64.9,-0.01
52,00403A,主動統一升級50,9.72,-0.19,-1.92,26W27,07/03,14.8,0.43,13.6,0.45,12.2,0.41
53,3231,緯創,183.5,-6.0,-3.17,26W27,07/03,60.9,-0.38,59.6,-0.33,58.5,-0.29
54,00926,凱基全球菁英55,26.95,0.07,0.26,26W27,07/03,45.3,0.17,43.8,0.15,42.9,0.26
55,3413,京鼎,309.0,-11.0,-3.44,26W27,07/03,45.4,7.66,43.7,6.51,43.7,8.01
56,5388,中磊,91.4,-0.4,-0.44,26W27,07/03,44.9,-1.52,42.2,-0.78,40.2,-0.49
57,00968B,元大優息投等債,9.17,-0.06,-0.65,26W27,07/03,63.2,0.12,62.6,0.11,61.2,-0.04
58,00404A,主動聯博動能50,9.39,-0.07,-0.74,26W27,07/03,15.3,2.77,15.1,2.58,14.5,2.6
59,00631L,元大台灣50正2,33.68,-0.17,-0.5,26W27,07/03,24.5,0.6,22.0,0.75,20.1,0.56
60,00995A,主動中信台灣卓越,16.39,-0.45,-2.67,26W27,07/03,14.2,-0.77,12.7,-1.21,12.0,-1.23
61,4442,竣邦-KY,51.1,-1.7,-3.22,26W27,07/03,67.7,-0.06,57.0,-0.05,42.8,-0.04
62,00966B,統一ESG投等債15+,13.69,-0.11,-0.8,26W27,07/03,34.8,-2.71,33.0,-3.35,31.3,-3.42
63,2377,微星,153.0,-1.0,-0.65,26W27,07/03,59.1,1.88,57.7,1.95,55.6,1.86
