" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1338廣華-KY","汽車","18.3","18.3","18.3","32","0.00"," ","15,344","15,344","15,344","32","0","17.10","0.40"," "
" "," ","","1339昭輝","汽車","45.82","46.12","46.61","50","0.79"," ","33,966","34,193","34,556","50","590","41.30","0.00"," "
" "," ","","1340勝悅-KY","塑膠","0","0","0","32","0.00"," ","0","0","0","32","0","6.29","-0.01"," "
" "," ","","1341富林-KY","塑膠","0.81","0.81","0.81","32","0.00"," ","432","432","432","32","0","61.30","0.80"," "
" "," ","","1342八貫","其他","17","17.27","17.27","40","0.27"," ","13,475","13,475","13,475","32","0","99.20","0.50"," "
" "," ","","1402遠東新","紡織","26.21","26.21","26.21","32","0.00"," ","1,403,457","1,403,457","1,403,457","32","0","25.95","-0.05"," "
" "," ","","1409新纖","紡織","5.54","5.54","5.54","32","0.00"," ","89,720","89,720","89,720","32","0","17.55","0.70"," "
" "," ","","1410南染","紡織","20.38","20.38","20.38","32","0.00"," ","12,637","12,637","12,637","32","0","32.10","0.50"," "
" "," ","","1413宏洲","紡織","33.55","33.55","33.55","32","0.00"," ","44,332","44,332","44,332","32","0","9.75","-0.04"," "
" "," ","","1414東和","紡織","18.27","18.27","18.27","32","0.00"," ","40,214","36,192","36,192","21","-4,021","16.20","-0.05"," "
" "," ","","1416廣豐","其他","6.03","6.03","6.03","32","0.00"," ","11,188","11,188","11,188","32","0","11.50","-0.10"," "
" "," ","","1417嘉裕","紡織","12.65","12.65","12.65","32","0.00"," ","24,032","24,032","24,032","32","0","9.02","0.00"," "
" "," ","","1418東華","紡織","45.1","45.21","45.21","40","0.11"," ","25,635","25,696","25,696","40","60","18.15","-0.25"," "
" "," ","","1419新紡","紡織","8.42","8.42","8.42","32","0.00"," ","25,265","25,265","25,265","32","0","64.80","-0.20"," "
" "," ","","1423利華","紡織","27.5","27.5","27.5","32","0.00"," ","27,410","27,410","27,410","32","0","42.20","0.70"," "
" "," ","","1432大魯閣","運動","9.18","9.18","9.18","32","0.00"," ","9,921","9,921","9,921","32","0","16.80","0.00"," "
" "," ","","1434福懋","紡織","38.56","38.56","38.56","32","0.00"," ","649,761","649,761","649,761","32","0","16.35","-0.15"," "
" "," ","","1435中福","其他","0.06","0.06","0.06","32","0.00"," ","88","88","88","32","0","14.25","0.10"," "
" "," ","","1436華友聯","營建","14.03","14.03","14.03","32","0.00"," ","27,253","27,253","27,253","32","0","51.80","-0.30"," "
" "," ","","1437勤益控","其他","2.3","2.3","2.32","41","0.02"," ","4,694","4,694","4,694","32","0","30.55","0.15"," "
" "," ","","1438三地開發","營建","7.55","7.55","7.55","32","0.00"," ","8,404","8,404","8,404","32","0","26.95","-0.85"," "
" "," ","","1439雋揚","營建","10.38","10.38","10.38","32","0.00"," ","9,554","9,554","9,554","32","0","27.10","0.05"," "
" "," ","","1440南紡","紡織","17.84","17.84","17.84","32","0.00"," ","295,634","295,634","295,634","32","0","13.15","-0.10"," "
" "," ","","1441大東","紡織","35.91","35.91","35.91","32","0.00"," ","25,765","25,765","25,765","32","0","12.95","1.15"," "
" "," ","","1442名軒","營建","4.22","4.22","4.22","32","0.00"," ","15,477","15,477","15,477","32","0","29.45","-0.65"," "
" "," ","","1443立益物流","其他","20.93","21.01","21.05","50","0.12"," ","28,332","28,441","28,494","50","162","23.70","-0.20"," "
" "," ","","1444力麗","紡織","19.96","19.96","19.96","32","0.00"," ","198,776","198,766","198,766","21","-10","6.39","-0.04"," "
" "," ","","1445大宇","紡織","27.08","27.08","27.08","32","0.00"," ","35,396","35,396","35,396","32","0","13.25","0.00"," "
" "," ","","1446宏和","紡織","9.41","9.41","9.41","32","0.00"," ","12,960","12,960","12,960","32","0","16.40","0.00"," "
" "," ","","1447力鵬","紡織","25.51","25.56","25.61","50","0.10"," ","232,169","232,638","233,120","50","951","5.21","-0.07"," "
" "," ","","1449佳和","紡織","9.56","9.56","9.55","20","-0.01"," ","12,156","12,156","12,147","20","-9","14.25","-0.85"," "
" "," ","","1451年興","紡織","19.27","19.27","19.27","32","0.00"," ","38,170","38,170","38,170","32","0","17.05","-0.05"," "
" "," ","","1452宏益","紡織","8.21","8.21","8.21","32","0.00"," ","10,892","10,892","10,892","32","0","11.80","-0.10"," "
" "," ","","1453大將","營建","19.67","19.67","19.67","32","0.00"," ","22,275","22,275","22,275","32","0","12.05","0.00"," "
" "," ","","1454台富","紡織","29.89","29.89","29.89","32","0.00"," ","38,816","38,816","38,816","32","0","12.85","-0.35"," "
" "," ","","1455集盛","紡織","16.4","16.4","16.4","32","0.00"," ","87,234","87,234","87,234","32","0","9.06","-0.09"," "
" "," ","","1456怡華","營建","47.63","47.63","47.63","32","0.00"," ","44,644","44,644","44,644","32","0","13.85","-0.15"," "
" "," ","","1457宜進","紡織","9.41","9.41","9.41","32","0.00"," ","29,826","29,826","29,826","32","0","14.80","-0.15"," "
" "," ","","1459聯發","紡織","17.34","17.47","17.5","50","0.16"," ","62,217","62,656","62,776","50","559","11.70","-0.10"," "
" "," ","","1460宏遠","紡織","26.89","26.89","26.89","32","0.00"," ","186,791","186,791","186,791","32","0","6.80","0.02"," "
" "," ","","1463強盛新","紡織","15.21","15.42","16","50","0.79"," ","26,369","26,719","27,736","50","1,367","17.95","0.10"," "
" "," ","","1464得力","紡織","9.38","9.38","9.38","32","0.00"," ","39,929","39,929","39,929","32","0","10.30","-0.10"," "
" "," ","","1465偉全","紡織","20.86","20.86","21.34","41","0.48"," ","21,620","21,620","22,120","41","500","12.65","0.10"," "
" "," ","","1466聚隆","紡織","23.96","23.96","23.96","32","0.00"," ","26,635","26,635","26,635","32","0","17.05","-0.15"," "
" "," ","","1467南緯","紡織","34.21","34.21","34.21","32","0.00"," ","79,928","79,928","79,928","32","0","7.67","0.69"," "
" "," ","","1468昶和","紡織","30.29","30.29","30.29","32","0.00"," ","48,602","48,602","48,602","32","0","12.40","-0.05"," "
" "," ","","1470大統新創","紡織","13.75","13.75","13.75","32","0.00"," ","11,795","11,795","11,795","32","0","22.95","0.10"," "
" "," ","","1471首利","電子零組件","12.74","12.74","12.74","32","0.00"," ","19,173","19,173","19,173","32","0","12.50","-0.55"," "
" "," ","","1472三洋實業","營建","32.97","32.97","32.97","32","0.00"," ","17,308","17,308","17,308","32","0","95.00","-1.40"," "
" "," ","","1473台南","紡織","21.8","21.8","21.8","32","0.00"," ","31,867","31,867","31,867","32","0","23.00","-0.25"," "
" "," ","","1474弘裕","紡織","18.67","18.67","18.67","32","0.00"," ","24,254","24,254","24,254","32","0","10.35","0.00"," "
" "," ","","1475業旺","紡織","47.84","47.84","47.84","32","0.00"," ","31,588","31,588","31,588","32","0","28.75","0.05"," "
