"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"60","2206","三陽工業","63.7","-0.5","-0.78","07/13","+13.3","+20.4","+29.2","+35.6","+26.4","+13.7","-6.81","-12","-11","-1.29","+0.49","-12.6"
"61","8467","波力-KY","110","-4.5","-3.93","07/13","+21.9","+31.1","+25.2","+35","+20.3","+18.8","+12.2","+3.32","+0.9","+0.08","+0.06","+2.12"
"62","00710B","復華彭博非投等債","19.1","+0.01","+0.05","07/13","+7.91","+14.3","+15.3","+34.9","+23.1","+9.16","+16","+14.9","+32.7","+29.8","","+49.4"
"63","009819","中信數據及電力","10.16","0","0","07/13","+49.6","+59.5","+38","+34.9","+25.9","+20.1","","","","","",""
"64","5609","中菲行","78.7","-0.2","-0.25","07/13","+46","+25.8","+39.6","+34.7","+27.1","-4.56","-4.61","-4.39","+0.15","-0.63","+0.45","-3.88"
"65","009805","台新美國電力基建","16.48","-0.12","-0.72","07/13","-5.76","+27.3","+25.6","+34.7","+32.6","+39.4","+7.84","-13.7","-19.7","","","-13.5"
"66","00980T","平衡凱基美國TOP","11.51","0","0","07/13","+89.1","+39.4","+21.3","+34.3","+29.7","+27.4","+31.6","+22.9","","","","+24.4"
"67","2023","燁輝","14.2","+0.3","+2.16","07/13","+35.3","+25","+34.6","+34.3","-9.17","-10.9","-8.91","-12.4","-12","-2.5","-0.31","-12.6"
"68","00757","統一FANG+","130.8","-0.05","-0.04","07/13","+23.7","+35.9","+33.8","+34.2","+42.5","+33.8","+37.9","+23.9","+16.2","-3.41","","+22.9"
"69","2845","遠東銀","13.35","+0.15","+1.14","07/13","+52.9","+44.3","+24","+34.2","+18.2","+14.5","+7.81","+2.8","+0.61","-0.46","+0.43","+2.96"
"70","009817","國泰日本不動產","9.05","+0.02","+0.22","07/13","+40","+17.4","+18.9","+34.1","+34.4","+36.3","+31.7","","","","",""
"71","6214","精誠","141","-2.5","-1.74","07/13","+23.9","+40.2","+37","+33.8","+21.6","+0.65","+6.7","+6","+1.6","-0.07","+0.57","+4.47"
"72","009824","群益美國科技巨頭","10.1","+0.05","+0.5","07/13","+50","+63","+49.1","+33.5","-7.96","","","","","","",""
"73","2015","豐興","62.5","+1","+1.63","07/13","+63.7","+35","+32.3","+33.5","+22","-0.17","+9.55","+1.89","+5.24","+3.57","-0.09","+1.97"
"74","00647L","元大S&P500正2","135.5","+0.8","+0.59","07/13","-48.1","-27.9","-37.6","+33.3","+14.8","+4.78","+29.3","+8.45","+10.4","+1.34","-0.78","+7.95"
"75","00982T","平衡兆豐台美動能","15.39","-0.11","-0.71","07/13","+27.3","+36.9","+43.4","+33","+34.3","+40.2","+8.52","+7.06","","","","+4.79"
"76","1734","杏輝","32.95","-0.15","-0.45","07/13","+14.6","+4.95","+4.5","+32.9","+28.8","+23","+3.05","+5.14","+2.68","-1.52","+0.22","+4.23"
"77","2606","裕民","63.9","+0.8","+1.27","07/13","+41.7","+35","+38.7","+32.8","+20.7","+18.7","+9.29","+4.91","+3.02","+1.61","+0.92","+5.24"
"78","00726B","國泰新興投等債","33.26","-0.09","-0.27","07/13","+67.9","+48","+35.2","+32.7","+19.9","+35","+54.8","+37.4","+13.7","-4.47","","+36.4"
"79","00921","兆豐龍頭等權重","23.34","+0.2","+0.86","07/13","+64","+29.8","+24.3","+32.2","+35.8","+22.9","+40.5","+53.8","+55.9","-0.44","","+54.9"
"80","009801","中信美國創新科技","12.43","+0.06","+0.49","07/13","+60.9","+53.1","+47.5","+32.2","+42.6","+32.2","+44","+35.6","+26.4","","","+35.7"
"81","009811","統一美國50","13.08","+0.03","+0.23","07/13","+4.55","+26.3","+30.7","+32","+53.6","+46.2","+51.6","+38.6","","","","+37.5"
"82","009807","台新標普科技精選","16.76","+0.12","+0.72","07/13","+17.8","+20.8","+19.9","+32","+48.7","+39.4","+26.2","+22.1","-6.15","","","+22.3"
"83","6965","中傑-KY","80","0","0","07/13","+20.6","+38.4","+43.6","+31.9","+10","+6.2","+3.12","+0.98","+0.19","","","-0.38"
"84","2890","永豐金","40.2","-0.25","-0.62","07/13","+15.7","+1.31","+17.6","+31.3","+19.7","+22.5","+17.7","+14.8","+10.6","+4.04","+1.96","+14"
"85","00908","富邦入息REITs+","15.36","+0.1","+0.66","07/13","+8.45","+57.2","+33.8","+31.2","+25.9","+21","+32.5","+18","+8.38","+4.51","","+18"
"86","2923","鼎固-KY","28.75","+1.6","+5.89","07/13","+48","+8.13","+28.3","+31.1","+27.6","+22.6","+23.4","+11.4","+3.23","+2.49","+4.04","+11.5"
