排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,8084,巨虹,44.5,-0.65,-1.44,07/22,34.5,39.3,144.0,457.0,,0.0,0.0,0.0,-51.9,0.0
2,6474,華豫寧,37.4,0.15,0.4,07/22,0.0,0.0,7.69,367.0,367.0,,,,,
3,7734,印能科技,3130.0,15.0,0.48,07/22,0.85,19.0,60.9,285.0,214.0,72.5,58.7,-31.9,112.0,-20.1
4,3152,璟德,237.5,9.0,3.94,07/22,27.8,43.8,156.0,229.0,-32.4,,-98.7,-99.0,-96.0,-98.6
5,7610,聯友金屬-創,1835.0,-120.0,-6.14,07/22,13.2,13.2,10.3,169.0,330.0,-63.9,,,,
6,1623,大東電,220.0,-2.0,-0.9,07/22,44.4,160.0,160.0,160.0,160.0,,,,,
7,7772,耀穎,99.0,3.0,3.12,07/22,25.0,25.0,25.0,150.0,900.0,,,,,
8,6910,德鴻,25.0,-0.2,-0.79,07/22,6.25,6.25,13.3,143.0,750.0,,,,,
9,00403A,主動統一升級50,9.99,0.24,2.46,07/22,-2.44,-2.14,11.3,129.0,167.0,118.0,,,,
10,0053,元大電子,233.75,3.0,1.3,07/22,0.0,53.6,53.6,115.0,115.0,38.7,38.7,0.0,2.38,0.0
11,6983,華洋精機,330.5,0.5,0.15,07/22,32.1,76.2,94.7,106.0,825.0,,,,,
12,00948B,中信優息投資級債,9.41,-0.02,-0.21,07/22,18.0,18.0,96.9,96.9,52.1,735.0,636.0,217.0,-51.2,72.0
13,2890,永豐金,40.4,0.2,0.5,07/22,14.9,27.5,57.1,94.7,90.6,248.0,261.0,312.0,-50.2,214.0
14,1303,南亞,208.0,12.5,6.39,07/22,4.87,8.67,7.95,94.4,68.8,224.0,40.2,-67.1,-83.3,-86.9
15,3577,泓格,152.0,-5.0,-3.18,07/22,14.3,30.2,50.2,93.8,78.3,117.0,154.0,38.5,252.0,23.5
16,00715L,期街口布蘭特正2,50.2,2.87,6.06,07/22,22.1,114.0,114.0,92.4,60.2,74.0,-43.4,-82.5,4.7,-89.5
17,00888,永豐台灣ESG,35.59,1.06,3.07,07/22,16.1,17.8,37.2,90.0,182.0,242.0,39.1,3511.0,1006.0,3165.0
18,00685L,群益臺灣加權正2,11.38,0.18,1.61,07/22,3.54,9.22,17.3,88.2,2312.0,71622.0,38188.0,10735.0,18783.0,10419.0
19,7822,倍利科,881.0,13.0,1.5,07/22,30.8,82.1,88.9,82.1,2450.0,,,,,
20,00990A,主動元大AI新經濟,16.7,0.27,1.64,07/22,-1.29,2.35,5.05,79.9,117.0,88.7,204.0,86.5,,-60.9
21,3167,大量,699.0,-30.0,-4.12,07/22,33.3,46.9,40.3,74.6,114.0,87.6,81.3,-22.8,10.5,-15.7
22,3489,森寶,19.1,0.0,0.0,07/22,4.14,11.5,18.9,73.4,375.0,275.0,408.0,485.0,35.2,447.0
23,3485,敘豐,247.0,21.5,9.53,07/22,15.2,60.6,60.6,71.0,783.0,,,,,
24,4946,辣椒,84.5,-0.5,-0.59,07/22,0.0,0.0,0.0,66.7,66.7,150.0,,,,
25,2755,揚秦,105.5,2.0,1.93,07/22,7.51,28.8,33.6,62.6,55.5,-24.2,9.35,-64.2,-32.5,-64.5
26,7828,創新服務,1910.0,40.0,2.14,07/22,11.4,59.2,59.2,62.5,767.0,,,,,
27,3532,台勝科,468.0,34.5,7.96,07/22,10.6,29.4,56.8,58.9,67.9,62.6,17.5,10.1,138.0,-7.36
28,1526,日馳,16.25,-0.55,-3.27,07/22,14.1,30.2,50.3,57.0,57.9,59.5,35.4,162.0,288.0,173.0
29,2248,華勝-KY,63.6,-1.6,-2.45,07/22,2.08,12.6,12.6,55.6,180.0,180.0,444.0,1300.0,,4800.0
30,5511,德昌,73.9,2.3,3.21,07/22,0.22,2.5,5.62,50.3,185.0,40.9,101.0,146.0,17.4,170.0
