"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1801","7769","鴻勁","6590","-180","-2.66","26M05","6.58","0","36.6","0","0","0","0","0","0","0","6.58","0","36.6","0","0"
"1802","7770","君曜","39.75","0","0","26M05","0.35","0","11.8","0","0","0","0","0","0","0","0.35","0","11.8","0","0"
"1803","7772","耀穎","90.1","-3.5","-3.74","26M05","0.74","0","30.7","0","0","0","0","0","0","0","0.74","0","30.7","0","0"
"1804","7777","能率亞洲","39.5","-0.55","-1.37","26M05","8.42","0","46.1","0","0","0","0","0","0","0","8.42","0","46.1","0","0"
"1805","7782","光速火箭","25.8","+0.2","+0.78","26M05","0.69","0","29.6","0","0","0","0","0","0","0","0.69","0","29.6","0","0"
"1806","7788","松川精密","268","-7.5","-2.72","26M05","1.54","0","19.3","0","0","0","0","0","0","0","1.54","0","19.3","0","0"
"1807","7791","皇家可口","57.3","-0.7","-1.21","26M05","4.83","0","60.3","0","0","0","0","0","0","0","4.83","0","60.3","0","0"
"1808","7792","安葆","250","+7.5","+3.09","26M05","1.38","+30","29.5","0","0","0","0","0","0","0","1.38","+30","29.5","0","0"
"1809","7794","宏碁智新","29","-0.8","-2.68","26M05","1.41","0","50.5","0","0","0","+5","0.02","0","0","1.41","+5","50.5","0","0"
"1810","7795","長廣","536","-20","-3.6","26M05","4.96","0","62.9","0","0","0","0","0","0","0","4.96","0","62.9","0","0"
"1811","7799","禾榮科","367","+2","+0.55","26M05","6.73","0","42.6","0","0","0","0","0","0","0","6.73","0","42.6","0","0"
"1812","7803","雲象科技-創","19.7","+0.05","+0.25","26M05","2.45","0","27.6","0","0","0","0","0","0","0","2.45","0","27.6","0","0"
"1813","7805","威聯通","676","-9","-1.31","26M05","1.07","0","32.2","0","0","0","0","0","0","0","1.07","0","32.2","0","0"
"1814","7810","捷創科技","198.5","-2","-1","26M05","0.74","0","36.3","0","0","0","0","0","0","0","0.74","0","36.3","0","0"
"1815","7811","民盛","71","0","0","26M05","2.08","+306","62.2","0","0","0","0","0","0","0","2.08","+306","62.2","0","0"
"1816","7814","海昌生技","30.5","-0.5","-1.61","26M05","3.07","0","76.8","0","0","0","0","0","0","0","3.07","0","76.8","0","0"
"1817","7818","溢泰實業","62.4","-0.9","-1.42","26M05","5.44","+1,240","36.3","0","0","0","0","0","0","0","5.44","+1,240","36.3","0","0"
"1818","7819","精誠金融","38.9","+0.95","+2.5","26M05","1.39","-100","63.3","0","0","0","0","0","0","0","1.39","-100","63.3","0","0"
"1819","7820","立盈","120","-2","-1.64","26M05","1.43","0","37.8","0","0","0","0","0","0","0","1.43","0","37.8","0","0"
"1820","7821","神數","39.4","0","0","26M05","6.98","0","57.2","0","0","0","0","0","0","0","6.98","0","57.2","0","0"
