"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"143","8271","宇瞻","219.5","-3.5","-1.57","08/19","+1.47","+7.16","+7.73","+12.9","+8.23","+17.9","+198","+5.93","+342","-25.5"
"144","2527","宏璟","44.1","-0.4","-0.9","08/19","+1.37","+2.37","+3.3","+12.7","+22.4","+79.3","+151","+73.4","+42.3","+142"
"145","5432","新門","149","-4.5","-2.93","08/19","-0.64","+0.65","+4.7","+12.6","+15.6","+16.4","+22.8","-10.1","-6.31","+1.96"
"146","6186","新潤","32.7","-0.7","-2.1","08/19","+2.64","+2.74","+5.91","+12.6","+18.9","+26.8","+16.8","+79.9","+217","+127"
"147","3413","京鼎","288.5","0","0","08/19","+4.6","+6.22","+8.55","+12.6","+10.6","+23.1","-36.7","-49.1","+53.7","-24.9"
"148","1718","中纖","10.45","-0.05","-0.48","08/19","-0.18","+0.31","+3.59","+12.6","+45.7","+104","+157","+365","+508","+377"
"149","5483","中美晶","176.5","-8.5","-4.59","08/19","+0.77","+2.54","+4.6","+12.5","+13.9","+78.8","+116","+81.7","+130","+68.9"
"150","8086","宏捷科","115.5","+0.5","+0.43","08/19","-2.31","+10.1","+10.1","+12.5","+21.7","+24.8","-20","-39.3","-28.2","-27.5"
"151","4721","美琪瑪","73.1","-0.9","-1.22","08/19","+0.21","+3.24","+5.67","+12.5","+7.57","+36.6","-33","-36.3","-38","-34.8"
"152","3211","順達","369","-13.5","-3.53","08/19","+0.5","+1.22","+4.91","+12.2","+68.3","+120","-0.07","+56.6","+229","+84.2"
"153","1720","生達","56","+0.1","+0.18","08/19","-0.45","-1.11","-0.78","+12.2","+25.4","+87","+36.7","+121","+20.6","+135"
"154","3149","正達","64.8","-1.6","-2.41","08/19","+7.77","+7.67","+6.26","+12.2","-14.5","+18.5","-15.5","+114","+235","-11.3"
"155","2633","台灣高鐵","25.9","0","0","08/19","+2.14","+4.19","+5.41","+12.1","+30.4","-6.99","-65.9","-9.87","+140","+146"
"156","00985B","群益ESG投等債0-5","10.25","+0.01","+0.1","08/19","0","+6.12","+6.12","+11.7","+11.5","+11.3","-3.3","+733","","+733"
"157","5471","松翰","57","+0.8","+1.42","08/19","+0.35","+1.37","+4.63","+11.6","+13.2","+44.8","+188","+307","+674","+300"
"158","00929","復華台灣科技優息","28.52","+0.03","+0.11","08/19","-1.6","+5.45","+8.5","+11.5","+14.4","-32.8","+16.6","+38.3","+166","+54.7"
"159","6691","洋基工程","706","-7","-0.98","08/19","+7.73","+12.5","+14.2","+11.5","+16.1","+55.9","+73.2","+68.4","+127","+70.2"
"160","6125","廣運","51.9","+2.55","+5.17","08/19","+4.58","+5.28","+9.51","+11.5","+5.55","+4.34","-58","-53.1","-55.1","-51.2"
"161","6469","大樹","67.9","-0.3","-0.44","08/19","+2.85","+5.85","+9.02","+11.4","+25.6","+21.3","+1.86","-7.78","+116","+66.9"
"162","2812","台中銀","19","0","0","08/19","-1.05","-0.66","+3.57","+11.4","+30.9","+3.79","-17.4","+83.8","+462","+253"
"163","3581","博磊","105.5","-1","-0.94","08/19","+7.18","+8.63","+6.9","+11.3","+18.5","+45","-15.3","-49.7","-31.1","-64.8"
"164","2305","全友","26.8","-0.8","-2.9","08/19","+4.71","+7.55","+7.08","+11.3","+42.2","+48.3","+38","+80.9","+175","+125"
"165","6442","光聖","1530","-25","-1.61","08/19","-0.21","+1.45","+3.32","+11.3","+48.9","+144","+206","+159","+41.2","+43.7"
"166","3034","聯詠","534","+29","+5.74","08/19","+3.78","+6.91","+12.6","+11.1","-1.92","-17.2","-41","-47.1","-16.6","-44.4"
"167","3033","威健","45","-0.6","-1.32","08/19","+1.68","+5.38","+7.81","+11.1","-2.96","-7.11","-22","-59.9","-36.7","-44.3"
"168","5425","台半","91.8","+0.3","+0.33","08/19","+34","+25.1","+17.6","+11.1","+33","+19","+20.2","+43.5","+311","-0.63"
"169","2440","太空梭","13.7","+0.1","+0.74","08/19","+1.1","+4.72","+4.72","+10.9","+12.8","+26.6","+99.1","","",""
"170","2897","王道銀行","10.15","0","0","08/19","-0.05","-0.05","+3.5","+10.8","+7.88","-8.09","-67.9","-73.4","-58.9","-62.8"
"171","2884","玉山金","37.8","-0.3","-0.79","08/19","+6.71","+9.57","+12","+10.8","+14.2","+15.6","-30.5","-28.6","+2,277","+0.17"
"172","6569","醫揚","92.9","+1","+1.09","08/19","-9.62","-6.49","+5.37","+10.8","+9.65","+18","-13.2","-24.2","+6.41","-22"
"173","00720B","元大投資級公司債","31.73","+0.19","+0.6","08/19","+3.33","+8.56","+10.6","+10.6","+10.4","+10.4","+4.37","+10.2","-27.2","-8.86"
"174","4916","事欣科","100.5","0","0","08/19","+1.27","+2.59","+5.87","+10.6","+39.5","+67.8","+30.6","-10.1","+108","-29.7"
"175","6101","寬魚國際","38","-0.35","-0.91","08/19","+2.16","+4.95","+6.59","+10.6","+29.2","+62.3","+434","+941","+61","+480"
"176","5314","世紀*","21.5","+1.95","+9.97","08/19","+12.1","+12.1","+10.5","+10.4","-3.69","-6.61","+11.4","+53.9","+274","+38"
"177","3529","力旺","2260","-80","-3.42","08/19","+2.13","+5.94","+4.86","+10.4","+52.5","+199","+2.2","-25.6","+892","+0.61"
"178","6138","茂達","297","+14.5","+5.13","08/19","+0.06","+1.26","+1.48","+10.2","+18.2","+199","+588","+494","+330","+565"
"179","3485","敘豐","202","-5","-2.42","08/19","-0.83","-3.25","+5.31","+10.2","+40","+261","","","",""
"180","6672","騰輝電子-KY","284","-4","-1.39","08/19","+5.43","+6.07","+10.3","+10.2","+4.81","+8.43","+80","+58.2","+89.2","+41.4"
"181","6257","矽格","199.5","0","0","08/19","+2.83","+3.65","+9.65","+10.2","+19.2","+36.5","-69.1","-39","-15.1","-54.6"
"182","6743","安普新","24.85","-0.1","-0.4","08/19","+1.95","+4.29","+3.14","+9.98","+42.4","+46","+97.7","+108","+43.9","+103"
"183","6534","正瀚-創","91.3","+0.2","+0.22","08/19","-1.78","-3.78","+2.16","+9.97","+9.24","-4.89","-11.7","+107","+576","+169"
"184","4915","致伸","59.8","+0.4","+0.67","08/19","+1.27","+3.38","+5.15","+9.81","+12.8","+2.47","+120","+532","+783","+589"
"185","3217","優群","136","+0.5","+0.37","08/19","+2.13","+4.68","+5.66","+9.8","+3.12","+5.28","+15.3","+159","+461","+271"
"186","6761","穩得","182","+1","+0.55","08/19","+1.48","+1.91","+4.12","+9.71","+13.9","+2.89","+0.84","+18.1","+193","+18.5"
"187","1537","廣隆","121","+0.5","+0.41","08/19","-5.31","-7.88","-2.87","+9.71","+21.9","-1.17","-29.8","-45.8","-65.4","-65.8"
"188","3711","日月光投控","588","-11","-1.84","08/19","+4.42","-0.03","+0.82","+9.69","+43.1","+2.56","-58.3","+3.27","-74.2","+6.04"
"189","00725B","國泰投資級公司債","33.85","+0.17","+0.5","08/19","0","+0.39","+6.06","+9.67","+9.67","+9.67","+66.9","-63.3","-68.7","-60.3"
"190","4577","達航科技","76.4","-2.1","-2.68","08/19","+3.25","+8.13","+8.33","+9.58","+24.6","+13.7","+66.8","+121","+235","+119"
"191","5236","凌陽創新","135.5","+0.5","+0.37","08/19","+3.28","+4.13","+5.88","+9.57","+19.8","+26.3","+150","-8.56","+55.2","+3.96"
"192","8423","保綠-KY","17.8","-0.1","-0.56","08/19","0","0","0","+9.52","+9.52","+9.52","+21.1","+21.1","-68.1","+27.8"
"193","4939","亞電","60.5","+0.4","+0.67","08/19","+8.99","+10.2","+8.72","+9.29","+20.9","-3.85","+40.8","+79.1","+671","-1.88"
"194","3138","耀登","95.4","+0.4","+0.42","08/19","+0.56","+3.09","+6.22","+9.29","+11.9","+4.05","-23.1","+13.7","+54.3","+27.4"
"195","2387","精元","35.8","-0.05","-0.14","08/19","+1.07","+3.52","+6.15","+9.25","+14.7","+15.6","-5.92","+155","+249","+188"
"196","1303","南亞","187.5","-12.5","-6.25","08/19","+5.73","-8.08","-4.79","+9.13","+66.5","+129","+127","+107","-83.7","-72.3"
"197","6510","精測","2660","-105","-3.8","08/19","+3.46","-3.75","-0.83","+9.12","+9.45","+43","-4.01","-71.7","-58.1","-63"
"198","3465","進泰電子","29.4","0","0","08/19","+1.39","+1.39","+8.99","+8.99","+28.2","+55.6","+129","+310","+206","+310"
"199","4442","竣邦-KY","51.5","+0.3","+0.59","08/19","0","0","+3.39","+8.93","-28.2","+60.5","+56.4","+52.5","+2,950","+17.3"
"200","5522","遠雄","62.6","-0.5","-0.79","08/19","+2.37","+3.34","+2.82","+8.85","+8.84","-3.36","-15.8","+44.4","-42.3","-22.4"
"201","2455","全新","396.5","-21","-5.03","08/19","+5.34","+7.79","+9.43","+8.83","+13.6","+84.5","+18.5","-12.5","-25.2","+68.1"
"202","00935","野村臺灣新科技50","55.9","-0.95","-1.67","08/19","-0.18","+2.28","+15","+8.81","-28.1","-24.8","-2.44","+139","+226","+136"
"203","6577","勁豐","80.7","+0.5","+0.62","08/19","+3.12","-4.81","+7.61","+8.79","+16.5","+30.3","+136","+154","-27","+54.7"
"204","6449","鈺邦","226","+2","+0.89","08/19","-9.82","-7.09","-1.71","+8.77","+18.3","+19.2","-47.4","-67.1","-61.5","-67.1"
"205","2425","承啟","39","-0.55","-1.39","08/19","-3.4","-1.58","-1.1","+8.75","+71.4","+208","+143","+31.4","+6.75","+0.04"
"206","6885","全福生技","20.35","-0.1","-0.49","08/19","+0.72","+1.89","+2.75","+8.74","+13.8","+23.2","+46.8","+40.6","+54","+48.3"
"207","1218","泰山","14.25","-0.05","-0.35","08/19","+1.76","+3.44","+7.39","+8.74","+14.6","+63.6","+236","+49.5","+221","+35.8"
"208","3152","璟德","223","+5","+2.29","08/19","+5.26","+6.38","+8.7","+8.7","+26.6","+525","-92.9","-96.1","-87.5","-93.9"
"209","8478","東哥遊艇","138","-1.5","-1.08","08/19","+2.1","+3.93","+5.54","+8.62","+8.23","+10","+40.3","+43.9","-5.55","+39.2"
"210","1712","興農","39.4","0","0","08/19","+1.08","+2.32","+3.94","+8.53","+15.8","+42","+197","+459","+413","+479"
"211","6223","旺矽","5255","-15","-0.28","08/19","+3.27","+3.54","+9.05","+8.5","+15.3","+40.2","+222","+217","+173","+64.8"
"212","3594","磐儀","50.8","+0.3","+0.59","08/19","+0.85","+5.16","+4.31","+8.47","-7.46","-13.8","+27.4","+76.6","+74","+200"
"213","2548","華固","93.9","+0.3","+0.32","08/19","+0.82","+2.95","+4.05","+8.46","+25.3","+70.1","+388","+424","+336","+495"
"214","2836","高雄銀","11.9","-0.1","-0.83","08/19","-1.72","-0.49","+2.27","+8.4","+22.2","+41.6","+30.7","+208","+46.6","+218"
"215","1809","中釉","37.6","-0.4","-1.05","08/19","-0.25","-0.62","+0.75","+8.39","+21.2","+23.6","+70.7","+39","+113","+40.3"
"216","6154","順發","13.95","+0.1","+0.72","08/19","0","0","0","+8.33","+8.33","+8.33","-48.7","-48.7","+179","-45.8"
"217","8482","商億-KY","47.9","-0.6","-1.24","08/19","0","0","0","+8.33","+8.33","+8.33","-50","-50","-86.5","-71.1"
"218","3622","洋華","48.7","-0.65","-1.32","08/19","+3.39","+2.84","+6.17","+8.16","+8.33","+7.6","+18.2","+85.1","+206","+185"
"219","00953B","群益優選非投等債","9.66","0","0","08/19","+1.15","+1.15","+1.7","+8.12","+15.6","+27.7","-1.31","+22.3","+56.2","+64.3"
"220","3441","聯一光","88.5","+2.3","+2.67","08/19","+0.77","+0.92","+0.31","+7.97","+37.6","+48.1","+88.5","+173","+248","+207"
"221","6134","萬旭","27.75","-0.15","-0.54","08/19","+1.55","+0.63","-4.38","+7.95","+9.01","-16.9","-25.4","-28.4","+5.5","-19.4"
"222","6246","臺龍","12.2","-0.1","-0.81","08/19","0","0","0","+7.81","+9.52","+35.3","+306","","-32.4",""
"223","6944","兆聯實業","732","-11","-1.48","08/19","+3.48","+5.62","+6.94","+7.8","+23.3","+136","+382","+882","","+1,033"
"224","00687B","國泰20年美債","27.05","+0.22","+0.82","08/19","0","+2.87","+3.45","+7.72","+1.3","-23.4","-31.1","-33.3","-52.2","-26.7"
"225","2029","盛餘","21.8","0","0","08/19","+0.74","+1.68","+1.68","+7.71","+13.5","+2.64","-50.5","-44.9","-48.4","-44.6"
"226","7791","皇家可口","56.7","+0.4","+0.71","08/19","+0.45","0","+1.36","+7.69","+9.27","+14.9","+762","","",""
"227","3357","臺慶科","218.5","+5.5","+2.58","08/19","+0.19","+2.68","+2.22","+7.66","+13.4","+15.3","+2.32","+41.2","+474","-6.89"
"228","3189","景碩","849","-16","-1.85","08/19","+6.55","+4.76","+10.8","+7.66","+4.48","+10.2","-58.7","-64.9","-70","-42.5"
"229","1713","國化","44.15","+0.05","+0.11","08/19","+2.53","+4.13","+6.14","+7.61","+2.75","+2.87","-36.7","-54.4","-27.8","+28.7"
"230","3071","協禧","24.4","-0.05","-0.2","08/19","+1.29","+2.61","+2.91","+7.61","+12.8","+37.5","-44.9","-18.4","+245","-19"
"231","2352","佳世達","28.75","+0.4","+1.41","08/19","+0.61","+1.59","+3.55","+7.59","+2.13","+2.31","+248","+177","+611","+479"
"232","1580","新麥","107.5","0","0","08/19","+2.94","+2.94","+3.49","+7.54","+12.2","+46.4","+37.5","+181","+67.4","+66.7"
"233","5386","青雲","230.5","+2","+0.88","08/19","+1.66","+8.49","+10.6","+7.54","+9.74","+84.1","+16.9","+21.8","+133","-19.4"
"234","5864","致和證","32.7","-0.8","-2.39","08/19","+1.68","+5.82","+8.01","+7.5","+13.8","+31.3","+231","+337","+214","+515"
"235","3265","台星科","180.5","+9.5","+5.56","08/19","+31.2","+26.4","+24.2","+7.49","+12.4","+15.1","-19.9","-10.8","+1.73","-41.4"
"236","7786","東方風能","123.5","+0.5","+0.41","08/19","+1.17","+1.51","+1.85","+7.43","+5.02","-1.62","","","",""
"237","2476","鉅祥","119","-0.5","-0.42","08/19","+5.37","+5.09","+5.84","+7.37","-3.62","-14.7","+32.1","-17.7","-45.3","-19.3"
"238","6127","九豪","49.7","+1.35","+2.79","08/19","+2.5","+3.4","+5.31","+7.34","+15.6","-0.04","-14.1","+1.99","-9.41","+12.6"
"239","2486","一詮","235","0","0","08/19","+6.24","+6.01","+6.28","+7.27","+9.22","+34.2","+166","-9.61","-30.3","-57.9"
"240","8054","安國","79","-1","-1.25","08/19","+2.34","+4.72","+4.4","+7.23","+9.79","-19.3","-22.4","-23.5","-31.9","-22.9"
"241","2064","晉椿","12.45","+0.05","+0.4","08/19","+7.14","+7.14","+7.14","+7.14","+7.14","0","-11.8","-9.09","-25","-9.09"
"242","1742","台蠟","18","+0.05","+0.28","08/19","+7.13","+7.13","+7.13","+7.13","+36.3","0","+49.9","-54.5","-54.5","-54.5"
"243","3230","錦明","41.1","-1.4","-3.29","08/19","+0.28","+4.87","+5.96","+7.12","+8.85","+17.5","+15.1","+21.1","+25.6","+2.72"
"244","6175","立敦","75.7","+0.9","+1.2","08/19","-0.55","+0.05","+0.3","+7.12","+8.28","-16.8","-4.15","-3.78","+25.1","-29.3"
"245","00735","國泰臺韓科技","98.75","-3.25","-3.19","08/19","+1.63","+6.26","+6.26","+7.11","+10.5","+90.4","+206","+745","+2,059","+1,969"
"246","3289","宜特","135","+1","+0.75","08/19","+0.4","+2.22","+2.24","+7.07","+10.7","-11.6","+54.4","+326","+259","+177"
"247","6983","華洋精機","299.5","-1","-0.33","08/19","0","0","0","+6.98","+6.98","+119","","","",""
"248","2704","國賓","45.7","-0.2","-0.44","08/19","+1.66","+3.28","+3.73","+6.94","+10","+3.03","+11.6","+71.4","+79.4","+236"
"249","00741B","富邦全球非投等債","37.28","+0.06","+0.16","08/19","0","0","0","+6.92","+14.9","+190","+190","+24.1","-61.6","+24.1"
"250","00727B","國泰優選非投等債","39.34","-0.01","-0.03","08/19","0","0","0","+6.9","+6.9","+6.9","+6.9","-61.2","-81.5","-61.2"
"251","4430","耀億","18.95","+1.4","+7.98","08/19","0","0","0","+6.9","+10.7","+40.9","+63.2","+34.8","-56.9","+34.8"
"252","3402","漢科","122","-1","-0.81","08/19","+0.97","+1.84","+2.4","+6.89","+24.4","+50.1","-39.1","-10.1","+314","+32.2"
"253","5225","東科-KY","59.6","-0.4","-0.67","08/19","+0.15","+0.94","+1.85","+6.81","+12.6","+3.42","-1.21","+39.1","+21.3","+52.3"
"254","2838","聯邦銀","20.05","-0.05","-0.25","08/19","+1.69","-0.76","+1.93","+6.75","+19.4","+64.1","+58.1","+23.4","+194","+53.3"
"255","4722","國精化","203","-3","-1.46","08/19","0","+1.82","+1.85","+6.75","+5.67","+31.2","+25.8","-39.9","+7.82","-45.8"
"256","1455","集盛","9.99","-0.01","-0.1","08/19","+1.52","+1.95","+2.76","+6.67","+15","+22.1","-25.3","-3.8","-9.22","+16.1"
"257","00706L","期元大S&P日圓正2","18.98","+0.1","+0.53","08/19","+0.54","+2.5","+5.8","+6.66","+12.4","+15.9","+48.1","+951","","+1,473"
"258","1102","亞泥","33.8","+0.3","+0.9","08/19","-0.13","-0.8","-0.33","+6.63","+9.44","-26.1","-69.3","-33.7","+416","+89.6"
"259","8227","巨有科技","148","-1.5","-1","08/19","+0.4","+1.61","+2.65","+6.63","+16.6","+35.1","+8","+15.3","+37.2","+29.3"
"260","1419","新紡","63.4","-0.1","-0.16","08/19","-0.24","-4.12","+5.01","+6.62","+7.16","-39.6","-66.1","-77.8","-82.4","-81"
"261","7810","捷創科技","194","-1.5","-0.77","08/19","0","0","+3.19","+6.59","+11.5","+24.4","+47","+385","",""
"262","1231","聯華食","83.9","+2","+2.44","08/19","+0.94","+1.19","+2.88","+6.58","+14.4","+21.3","+20.6","+33.3","+163","+46.2"
