排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,8444,綠河-KY,5.06,0.46,10.0,06/22,99.6,99.4,99.3,98.7,95.4,91.2,78.4,63.0,44.4,21.3,8.29,64.5
2,910322,康師傅-DR,21.15,-0.1,-0.47,06/22,42.9,66.3,89.9,84.7,87.8,72.3,55.1,29.2,17.0,2.21,0.86,31.5
3,8464,億豐,346.0,-12.0,-3.35,06/22,88.7,86.6,85.8,85.4,81.1,85.4,71.5,33.3,18.9,7.37,2.44,41.5
4,00870B,元大15年EM主權債,28.71,-0.04,-0.14,06/22,0.0,83.8,84.1,77.2,50.6,32.6,0.53,1.04,1.63,3.42,,1.01
5,5876,上海商銀,41.45,-1.05,-2.47,06/22,90.1,87.6,84.0,73.2,55.9,60.8,60.6,59.1,57.0,57.0,,59.7
6,1216,統一,74.3,-0.2,-0.27,06/22,78.4,82.2,80.1,73.0,62.8,67.9,60.6,61.0,61.3,62.5,65.8,60.4
7,2633,台灣高鐵,25.95,-0.2,-0.76,06/22,71.0,79.7,79.0,68.3,67.4,84.1,78.1,75.4,70.3,57.8,,75.8
8,2912,統一超,221.0,-2.5,-1.12,06/22,71.3,83.2,77.9,74.2,71.9,66.7,65.0,61.2,62.3,63.9,67.5,61.1
9,2886,兆豐金,44.75,-0.75,-1.65,06/22,86.7,81.0,77.6,73.1,65.9,67.7,57.9,55.9,52.3,50.7,48.5,55.7
10,1590,亞德客-KY,1395.0,15.0,1.09,06/22,75.3,77.4,76.9,75.8,79.2,79.4,75.1,72.2,73.3,72.4,54.4,72.2
11,2838,聯邦銀,22.4,-0.35,-1.54,06/22,60.3,81.1,73.7,60.0,54.0,46.0,46.9,41.7,44.2,44.4,34.5,42.0
12,5871,中租-KY,118.0,4.0,3.51,06/22,52.8,70.5,72.5,72.7,61.5,62.0,57.7,52.0,51.6,58.8,55.6,53.9
13,4904,遠傳,108.0,-0.5,-0.46,06/22,75.7,76.0,72.3,66.8,66.1,68.7,65.8,62.0,55.1,56.0,56.4,62.8
14,1101,台泥,24.35,-0.15,-0.61,06/22,69.2,70.5,70.9,64.0,64.0,57.4,55.5,48.4,46.2,48.1,45.6,49.2
15,4915,致伸,76.3,0.4,0.53,06/22,58.0,68.4,70.0,69.6,58.9,49.6,54.0,56.5,51.6,44.8,33.8,56.3
16,3036,文曄,225.0,2.5,1.12,06/22,56.4,67.8,67.9,69.3,50.2,41.7,45.0,47.0,49.6,41.3,37.1,46.3
17,2395,研華,499.5,5.5,1.11,06/22,59.1,66.2,67.6,62.4,62.0,60.3,50.9,49.9,57.3,65.7,68.4,49.7
18,9917,中保科,116.5,-0.5,-0.43,06/22,57.4,67.1,66.5,65.4,53.0,45.1,41.6,20.5,12.7,3.44,1.78,28.1
19,9904,寶成,26.1,-0.05,-0.19,06/22,60.0,72.8,65.4,63.3,58.3,56.9,60.6,40.4,19.4,6.49,2.76,45.2
20,2412,中華電,144.5,0.5,0.35,06/22,54.1,62.6,65.1,60.1,55.9,60.8,51.7,47.8,46.0,41.9,40.2,47.9
21,2206,三陽工業,60.6,-1.0,-1.62,06/22,51.1,66.4,64.5,67.4,56.3,44.9,39.3,39.3,39.2,30.1,23.4,39.9
22,2884,玉山金,35.8,0.4,1.13,06/22,64.3,67.1,64.3,56.3,52.4,49.4,51.4,55.1,55.8,51.7,49.8,54.2
23,2923,鼎固-KY,24.0,0.45,1.91,06/22,38.4,63.5,62.9,54.2,54.6,42.3,33.5,38.3,42.5,40.9,30.2,38.0
24,6121,新普,424.0,6.5,1.56,06/22,52.6,63.2,62.9,49.1,35.3,29.3,38.2,39.0,43.8,42.0,34.4,40.2
25,8069,元太,203.0,-1.0,-0.49,06/22,64.5,64.9,62.4,57.3,50.3,52.4,43.8,25.8,15.3,5.66,0.88,32.8
26,2317,鴻海,268.5,0.0,0.0,06/22,55.6,64.3,62.1,57.2,53.6,38.7,38.9,41.8,37.9,39.5,40.6,42.1
27,2451,創見,309.5,-2.0,-0.64,06/22,54.4,59.8,61.9,55.9,38.0,36.6,35.5,32.2,32.2,34.5,35.1,32.7
28,8415,大國鋼,35.05,0.6,1.74,06/22,14.2,61.3,61.5,47.4,39.4,39.0,28.2,17.8,10.4,3.14,,20.7
29,2908,特力,20.9,0.1,0.48,06/22,34.8,50.3,60.8,48.5,40.0,21.4,21.0,27.2,20.1,17.6,22.2,27.8
30,6670,復盛應用,291.0,3.5,1.22,06/22,58.7,65.7,59.8,58.6,56.2,55.1,49.8,46.3,48.8,46.7,,48.0
31,2845,遠東銀,12.85,-0.1,-0.77,06/22,69.7,71.8,59.8,53.0,39.0,37.8,36.6,38.6,35.7,35.9,29.6,38.9
32,1712,興農,39.05,-0.25,-0.64,06/22,49.8,59.7,59.6,55.0,56.2,50.8,50.2,42.2,42.3,35.8,24.4,42.5
33,4560,強信-KY,32.75,-0.35,-1.06,06/22,52.9,58.9,59.4,56.2,60.5,57.5,55.6,54.4,52.7,50.7,,54.4
34,9911,櫻花,82.5,0.0,0.0,06/22,47.2,61.6,59.3,59.6,52.2,50.1,45.0,20.9,12.2,3.34,0.86,24.6
35,2357,華碩,788.0,-1.0,-0.13,06/22,50.9,65.6,59.2,57.1,46.1,38.7,44.6,50.8,51.6,48.9,54.2,49.9
36,2855,統一證,52.0,-0.2,-0.38,06/22,56.7,51.6,59.1,54.5,54.4,49.5,44.0,38.6,38.4,36.5,29.1,38.3
37,2892,第一金,32.3,-0.3,-0.92,06/22,72.6,69.2,59.0,51.4,36.8,48.2,57.5,54.8,53.8,52.9,45.7,57.9
38,2615,萬海,80.5,0.1,0.12,06/22,51.0,57.0,58.7,53.3,46.4,39.2,37.2,35.5,34.8,29.9,21.8,35.6
39,7750,新代,2290.0,-80.0,-3.38,06/22,68.5,61.6,58.7,55.2,51.2,43.2,38.1,22.7,,,,24.1
40,3231,緯創,162.5,1.0,0.62,06/22,53.6,63.8,58.4,56.4,51.4,36.1,36.8,38.3,35.6,31.1,35.6,38.9
41,1104,環泥,29.0,-0.1,-0.34,06/22,69.3,60.8,57.7,52.8,52.3,48.4,44.6,40.7,28.7,34.0,29.9,40.7
42,2607,榮運,49.55,0.0,0.0,06/22,38.3,62.5,57.6,52.1,51.5,55.9,53.7,45.1,41.9,35.7,18.9,50.2
43,5522,遠雄,73.8,-0.6,-0.81,06/22,57.4,57.0,57.2,55.6,50.3,47.4,52.5,47.8,49.0,42.0,40.3,50.2
44,2890,永豐金,39.8,0.0,0.0,06/22,65.0,61.6,57.1,52.0,48.5,45.7,47.7,50.8,50.5,50.5,45.4,50.5
45,3665,貿聯-KY,1990.0,-110.0,-5.24,06/22,39.4,62.3,56.9,52.2,54.0,50.1,44.3,41.4,41.4,39.2,31.0,41.4
46,2231,為升,94.3,1.4,1.51,06/22,63.3,61.2,56.9,47.4,36.5,36.7,22.4,25.8,26.8,28.5,21.7,25.4
47,2345,智邦,2595.0,160.0,6.57,06/22,41.9,58.9,56.6,55.0,55.3,55.7,52.8,50.1,48.4,52.9,37.2,50.7
48,2609,陽明,52.3,1.0,1.95,06/22,39.4,56.0,56.5,59.7,40.8,32.5,39.7,37.4,37.4,29.9,18.0,38.0
49,2474,可成,206.0,3.5,1.73,06/22,46.9,55.5,56.3,54.8,45.4,46.5,45.7,47.4,50.8,53.2,45.8,48.5
50,3443,創意,4755.0,-105.0,-2.16,06/22,31.6,59.0,56.0,51.8,50.2,43.6,38.0,35.0,31.6,31.7,21.6,35.3
51,3703,欣陸,21.45,-0.35,-1.61,06/22,56.1,61.6,55.8,51.5,37.6,36.1,42.5,40.5,40.1,32.2,24.5,40.2
52,9945,潤泰新,26.8,-0.7,-2.55,06/22,55.0,61.4,55.6,52.1,46.4,43.8,44.6,24.6,12.7,3.62,1.49,31.8
