"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1501","2497","怡利電","45.65","-0.2","-0.44","26W32","08/07","26.2","+0.06","29.7","+0.35","33.7","-0.17","36.3","-0.54"
"1502","2883B","凱基金乙特","8.18","-0.01","-0.12","26W32","08/07","21.2","-0.04","27.2","-0.04","34","-0.06","38.2","-0.1"
"1503","6934","心誠鎂","74.1","+1.7","+2.35","26W32","08/07","20.2","-0.06","25.8","-0.09","33.8","-0.09","35.2","-0.07"
"1504","3443","創意","6015","+95","+1.6","26W32","08/07","22","-0.15","27.5","+0.15","34.9","-1.1","41.8","+0.39"
"1505","2221","大甲","79.7","+5.1","+6.84","26W32","08/07","28.9","+0.25","31.3","-0.39","33.9","0","35.3","0"
"1506","4569","六方科-KY","165.5","-3","-1.78","26W32","08/07","16.6","0","19.8","0","33.8","0","37.5","0"
"1507","9945","潤泰新","28","-0.6","-2.1","26W32","08/07","25.5","-0.13","30.4","-0.1","34.6","-0.13","36.7","-0.1"
"1508","1324","地球","10.25","+0.05","+0.49","26W32","08/07","29.3","+0.03","31.8","+0.01","33.8","0","36.3","0"
"1509","6409","旭隼","1030","-15","-1.44","26W32","08/07","20.5","0","26.6","-0.18","33.8","+0.57","41.6","-0.03"
"1510","6951","青新-創","72","+0.4","+0.56","26W32","08/07","24.7","0","29.3","0","33.8","0","34.6","0"
"1511","1799","易威","29.95","-0.1","-0.33","26W32","08/07","25","+0.03","30.3","+0.09","33.7","0","34.8","0"
"1512","8916","光隆","41.1","+0.1","+0.24","26W32","08/07","23.3","-0.13","28.5","-0.15","33.7","-0.02","36.3","-0.02"
"1513","4571","鈞興-KY","160.5","-0.5","-0.31","26W32","08/07","26.6","-0.32","30.1","+0.03","33.7","0","38.7","0"
"1514","5468","凱鈺","25.35","-0.2","-0.78","26W32","08/07","24.8","-0.19","27.7","-0.45","33.6","-0.14","35.2","-0.14"
"1515","3022","威強電","90.3","-1.2","-1.31","26W32","08/07","26.8","-1.18","29.6","-1.43","33.5","-1.53","37","-1.85"
"1516","4576","大銀微系統","216","+0.5","+0.23","26W32","08/07","26.8","-1.37","29.8","-0.98","33.2","-1.02","35.3","-0.74"
"1517","3205","佰研","47.1","-0.7","-1.46","26W32","08/07","23.2","-0.07","27.6","-0.68","33.6","0","35","0"
"1518","6274","台燿","1490","+45","+3.11","26W32","08/07","23.2","-0.62","27.4","-0.67","33.3","+0.03","36.3","+0.1"
"1519","4205","中華食","69.3","-0.4","-0.57","26W32","08/07","23.2","+0.02","26.9","+0.01","33.6","0","37.1","0"
