"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"901","2069","運錩","19.5","-0.15","-0.76","26W20","05/15","58.6","+0.55","54.4","+0.01","53.4","+0.01"
"902","2910","統領","21.6","+0.25","+1.17","26W20","05/15","95.9","-0.15","94.3","+0.26","93.2","+0.26"
"903","6171","大城地產","24","-0.45","-1.84","26W20","05/15","84.5","-0.61","83","0","79.3","0"
"904","1470","大統新創","22.7","+0.1","+0.44","26W20","05/15","81.3","0","77.4","0","71.3","0"
"905","5533","皇鼎","14","-0.1","-0.71","26W20","05/15","75.9","+0.15","73.2","+0.15","70.7","+0.14"
"906","5903","全家","189","+0.5","+0.27","26W20","05/15","90.2","-0.22","89.5","-0.57","89.1","-0.57"
"907","00707R","期元大S&P日圓反1","32.21","0","0","26W20","05/15","79.4","+0.17","79.4","+0.17","79.4","+0.17"
"908","8463","潤泰材","21.95","0","0","26W20","05/15","80.2","+0.03","78.5","+0.03","76","+0.02"
"909","5478","智冠","103.5","-1.5","-1.43","26W20","05/15","78.3","+0.01","77","+0.01","73","+0.01"
"910","1451","年興","16.5","-0.05","-0.3","26W20","05/15","59.3","+0.11","58.3","+0.11","56.6","+0.11"
"911","4726","永昕","24.8","-0.9","-3.5","26W20","05/15","54.2","-0.02","51.9","-0.38","49.8","0"
"912","2524","京城","35.9","-1.6","-4.27","26W20","05/15","92.1","+0.04","91.9","+0.04","91.7","+0.04"
"913","3522","御嵿","11.45","+0.05","+0.44","26W20","05/15","55.9","-0.02","53.2","-0.02","52.4","+0.03"
