代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
3691,碩禾,112.5,-4.5,-3.85,07/24,3,171,8.07,0.19,0,0,0.0,0.0,1,5,0.96,0.01,3,175,8.28,0.19
4538,大詠城,17.4,-0.3,-1.69,07/24,3,8,13.2,0.01,0,0,0.0,0.0,0,0,0.0,0.0,3,8,13.2,0.01
4745,合富-KY,13.45,-0.05,-0.37,07/24,3,23,11.7,0.03,0,0,0.0,0.0,-5,-1,-0.14,0.0,3,22,11.4,0.03
4807,日成-KY,38.1,-0.1,-0.26,07/24,3,132,14.1,0.27,0,0,0.0,0.0,2,11,1.66,0.02,3,135,14.4,0.28
5015,華祺,21.3,-0.15,-0.7,07/24,3,10,14.3,0.02,0,0,0.0,0.0,0,0,0.0,0.0,3,10,14.3,0.02
5251,天鉞電,27.15,-0.65,-2.34,07/24,3,32,12.5,0.09,0,0,0.0,0.0,-1,0,-0.53,0.0,3,31,12.3,0.09
5321,美而快,58.9,3.4,6.13,07/24,3,205,12.5,0.39,0,0,0.0,0.0,1,0,0.0,0.0,3,201,12.2,0.38
5432,新門,118.5,-2.0,-1.66,07/24,3,11,8.2,0.05,0,0,0.0,0.0,-1,0,-0.09,0.0,3,11,8.2,0.05
5548,安倉,20.85,-0.05,-0.24,07/24,3,4,7.18,0.01,0,0,0.0,0.0,0,0,0.0,0.0,3,4,7.18,0.01
6140,訊達,17.25,-0.25,-1.43,07/24,3,22,14.6,0.04,0,0,0.0,0.0,-1,0,-0.05,0.0,3,22,14.7,0.04
6156,松上,22.7,-1.1,-4.62,07/24,3,749,18.8,0.69,0,0,0.0,0.0,-9,-241,-1.35,-0.22,3,730,18.3,0.68
6166,凌華,166.5,7.0,4.39,07/24,3,3993,15.1,1.83,0,0,0.0,0.0,-1,-20,-0.12,-0.01,3,3992,15.1,1.83
6173,信昌電,165.0,-18.0,-9.84,07/24,3,992,22.7,0.58,0,0,0.0,0.0,7,960,5.27,0.56,3,1207,27.6,0.7
6207,雷科,110.0,-11.0,-9.09,07/24,3,620,4.02,0.67,0,0,0.0,0.0,-2,-66,-0.67,-0.07,3,560,3.63,0.61
6234,高僑,36.0,0.45,1.27,07/24,3,205,11.2,0.2,0,0,0.0,0.0,-2,-1,-0.09,0.0,3,205,11.1,0.2
6261,久元,83.2,-1.8,-2.12,07/24,3,122,10.2,0.09,0,0,0.0,0.0,-3,-14,-1.16,-0.01,3,108,9.08,0.08
6423,億而得,69.9,-0.5,-0.71,07/24,3,15,11.2,0.05,0,0,0.0,0.0,0,0,0.0,0.0,3,15,11.2,0.05
6669,緯穎,5730.0,260.0,4.75,07/24,3,657,7.08,0.35,1,603,19.8,0.32,5,200,1.69,0.11,5,1646,13.9,0.89
6908,宏碁遊戲-創,35.35,-0.4,-1.12,07/24,3,6,8.67,0.02,0,0,0.0,0.0,1,0,4.73,0.0,1,1,17.7,0.0
7556,意德士,217.0,-3.5,-1.59,07/24,3,18,20.6,0.06,0,0,0.0,0.0,-2,-3,-4.84,-0.01,3,16,18.7,0.06
7704,明遠精密,53.6,0.5,0.94,07/24,3,14,21.3,0.04,0,0,0.0,0.0,-1,0,-0.98,0.0,3,14,20.9,0.04
