"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00950B","凱基A級公司債","14.04","+0.06","+0.43","05/26","+26","+61,042","37.1","1.51","0","0","0","0","-4","-8,156","-32.5","-0.2","-1","-3,020","-35.4","-0.07"
"009820","元大納斯達克精選","10.28","-0.07","-0.68","05/26","+18","+218,963","32","12.5","0","0","0","0","+17","+196,168","30.2","11.2","+17","+415,074","64","23.7"
"00909","國泰數位支付服務","49.3","-0.48","-0.96","05/26","+17","+20,033","28.7","14.2","0","0","0","0","+6","+4,484","24.7","3.18","+26","+70,108","55.9","49.7"
"00725B","國泰投資級公司債","34.95","+0.12","+0.34","05/26","+15","+33,435","45.1","0.89","0","0","0","0","+1","+249","4.83","0.01","+7","+20,870","55.3","0.56"
"3026","禾伸堂","570","+47","+8.99","05/26","+15","+6,249","5.57","3.77","+6","+1,617","11.8","0.97","+4","+377","4.21","0.23","+17","+17,385","12.3","10.5"
"4991","環宇-KY","870","+30","+3.57","05/26","+13","+6,381","23.1","5.28","+2","+47","0.45","0.04","-2","-22","-0.21","-0.02","+12","+5,502","25.9","4.55"
"00937B","群益ESG投等債20+","14.77","+0.05","+0.34","05/26","+12","+338,077","43.5","1.92","0","0","0","0","+2","+29,078","20.4","0.16","+7","+236,665","50.6","1.34"
"00948B","中信優息投資級債","9.44","+0.05","+0.53","05/26","+12","+72,768","48.6","1.75","0","0","0","0","+2","+8,875","38.2","0.21","+7","+43,549","58.2","1.05"
"2492","華新科","328.5","+7","+2.18","05/26","+10","+27,739","16.8","5.71","+6","+2,290","4.02","0.47","+6","+1,447","2.54","0.3","+6","+16,193","28.4","3.33"
"2891","中信金","57.6","+0.3","+0.52","05/26","+10","+179,865","33","0.91","+1","+3,710","7.16","0.02","-4","-9,044","-4.36","-0.05","+1","+2,704","5.22","0.01"
"00401A","主動摩根台灣鑫收","13.58","-0.01","-0.07","05/26","+9","+15,351","17.6","6.07","0","0","0","0","+1","+934","18.4","0.37","+1","+961","19","0.38"
"00922","國泰台灣領袖50","38.38","-0.11","-0.29","05/26","+9","+24,159","21.5","1.2","0","0","0","0","-2","-6,991","-19.1","-0.35","-1","-647","-6.17","-0.03"
"00929","復華台灣科技優息","29.21","+0.41","+1.42","05/26","+9","+64,414","16.6","1.38","0","0","0","0","+1","+8,175","15.9","0.17","+5","+102,184","45.2","2.19"
"2882","國泰金","83.1","+1.6","+1.96","05/26","+9","+159,890","43.5","1.09","-9","-135,281","-36.8","-0.92","-1","-104","-0.19","0","+4","+21,003","11.3","0.14"
"6192","巨路","131.5","+0.5","+0.38","05/26","+9","+744","18.1","0.77","0","0","0","0","-1","-5","-1.33","-0.01","+9","+758","18.4","0.79"
"6806","森崴能源","7.52","-0.83","-9.94","05/26","+9","+5,989","71.5","2.18","0","0","0","0","0","0","0","0","+9","+5,989","71.5","2.18"
"00980A","主動野村臺灣優選","24.24","+0.27","+1.13","05/26","+8","+25,650","14.4","3.36","0","0","0","0","+5","+15,276","17.3","2","+5","+37,467","42.4","4.9"
"2312","金寶","40","+3.6","+9.89","05/26","+8","+125,080","21.2","8.31","-6","-17,754","-3.25","-1.18","+5","+5,745","1.09","0.38","+5","+105,495","20","7.01"
"2430","燦坤","18.8","+0.35","+1.9","05/26","+8","+262","24.5","0.22","0","0","0","0","0","0","0","0","+8","+261","24.4","0.22"
"2434","統懋","30.2","+0.2","+0.67","05/26","+8","+32","11","0.09","0","0","0","0","0","0","0","0","+8","+32","11","0.09"
"2506","太設","8.62","-0.03","-0.35","05/26","+8","+286","19.9","0.07","0","0","0","0","0","0","0","0","+8","+284","19.8","0.07"
"3349","寶德","18.1","-0.8","-4.23","05/26","+8","+473","28.6","1.03","0","0","0","0","0","0","0","0","+8","+473","28.6","1.03"
"6598","ABC-KY","24.85","+0.35","+1.43","05/26","+8","+414","21.7","0.4","0","0","0","0","0","0","0","0","+8","+434","22.8","0.42"
"8358","金居","533","-12","-2.2","05/26","+8","+12,070","38.7","4.78","-1","-1","-0.05","0","+1","+19","0.74","0.01","+8","+12,610","40.5","4.99"
"00701","國泰股利精選30","32.89","+0.45","+1.39","05/26","+7","+930","11.5","0.52","0","0","0","0","+1","+198","12.6","0.11","+30","+14,536","38.1","8.19"
