排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
223,4417,金洲,47.1,-0.4,-0.84,32,08/17,0.0,0.75,6.3,-0.74,-0.74,-6.25,29.8,-36.6,-63.5,-43.8
224,00907,永豐優息存股,17.07,0.07,0.41,569,08/17,8.18,3.48,6.25,1.71,-56.7,-82.8,310.0,261.0,-64.8,153.0
225,6890,來億-KY,160.5,-2.0,-1.23,273,08/17,4.08,7.08,6.24,4.48,1.11,-5.22,-61.1,-68.0,-63.0,-77.7
226,2929,淘帝-KY,5.7,-0.06,-1.04,94,08/17,0.78,4.56,6.23,-2.18,0.34,4.61,0.15,137.0,83.2,97.4
227,6414,樺漢,389.5,-28.0,-6.71,4143,08/17,-1.09,13.7,6.21,1.66,3.68,39.5,61.5,21.2,72.0,65.0
228,3285,微端,37.2,0.05,0.13,28,08/17,-0.31,6.56,6.21,6.56,14.0,2.85,219.0,86.8,-4.97,54.0
229,3150,鈺寶-創,17.15,0.05,0.29,7,08/17,6.67,6.19,6.19,4.8,2.13,-6.61,11.1,138.0,606.0,105.0
230,6727,亞泰金屬,441.5,-33.5,-7.05,1960,08/17,-1.05,5.09,6.13,8.35,13.6,-5.62,-14.2,384.0,,
231,2390,云辰,10.25,0.0,0.0,391,08/17,0.67,1.85,6.09,4.61,12.6,9.95,-21.0,-9.06,-4.57,11.7
232,4554,橙的,31.7,0.15,0.48,36,08/17,11.1,9.38,6.06,0.0,-10.3,-32.0,-17.6,141.0,,536.0
233,6525,捷敏-KY,148.0,0.5,0.34,4913,08/17,0.57,-1.15,6.06,13.3,10.1,-42.5,104.0,189.0,218.0,199.0
234,3034,聯詠,505.0,-4.0,-0.79,2568,08/17,1.25,4.43,6.04,3.41,14.5,-6.58,-19.5,-39.8,17.9,-29.2
235,3217,優群,135.5,0.0,0.0,347,08/17,0.46,2.33,6.04,6.42,6.04,-2.77,-31.3,9.27,-0.34,-6.49
236,3607,谷崧,13.9,-0.2,-1.42,94,08/17,0.41,4.32,6.0,6.62,5.71,6.91,-17.6,-25.6,-46.4,-31.5
237,6691,洋基工程,713.0,-17.0,-2.33,1105,08/17,-0.73,3.38,5.94,2.6,1.15,-1.32,-0.79,-29.6,49.2,-37.3
238,6967,汎瑋材料,72.8,-2.8,-3.7,302,08/17,1.34,5.9,5.9,6.8,8.33,49.0,60.4,171.0,,36.1
239,3693,營邦,523.0,-2.0,-0.38,781,08/17,0.08,8.04,5.87,5.0,9.08,-1.75,-26.1,14.9,69.6,72.9
240,4953,緯致,122.5,-2.5,-2.0,186,08/17,2.24,4.13,5.85,7.03,4.69,-2.64,26.4,-5.52,-16.2,-11.4
241,1459,聯發,13.75,-0.25,-1.79,214,08/17,0.0,0.0,5.84,-15.2,-22.5,-40.9,-21.6,-4.92,,0.0
242,1227,佳格,29.0,0.15,0.52,795,08/17,0.66,4.79,5.82,5.92,6.55,19.8,7.3,-21.6,-48.3,-50.2
243,6546,正基,62.0,-0.9,-1.43,148,08/17,-0.29,1.12,5.8,5.02,0.0,-15.2,-22.2,-45.6,-56.0,-44.7
244,00982A,主動群益台灣強棒,22.14,-0.67,-2.94,32090,08/17,8.76,8.43,5.8,32.0,34.5,20.9,-21.9,16.2,-9.11,-8.35
245,4551,智伸科,163.5,-7.0,-4.11,811,08/17,-5.16,-5.19,5.75,15.2,31.2,-12.6,66.2,29.9,-30.2,21.6
246,2033,佳大,22.0,0.05,0.23,1384,08/17,0.3,7.89,5.73,6.4,9.54,10.3,6.93,-52.4,-59.3,-55.6
247,2375,凱美,122.5,-5.5,-4.3,2946,08/17,1.81,7.1,5.72,18.2,7.76,-25.3,-3.97,18.8,148.0,10.0
248,5609,中菲行,77.4,-0.2,-0.26,92,08/17,0.0,-0.89,5.71,12.1,-0.89,3.74,19.4,-20.1,-55.1,19.4
249,6614,資拓宏宇,35.85,-0.2,-0.55,43,08/17,1.37,5.71,5.71,2.78,8.82,29.8,,,,
250,8039,台虹,277.5,18.5,7.14,31881,08/17,0.46,3.46,5.66,26.8,6.82,28.1,39.6,31.8,356.0,31.6
251,6120,達運,12.6,-0.25,-1.95,1410,08/17,1.18,2.82,5.64,9.51,8.94,12.9,-3.69,-3.51,-0.95,5.83
252,8354,冠好,17.25,-0.3,-1.71,89,08/17,0.0,0.22,5.6,45.6,45.8,39.2,-36.5,-39.6,403.0,-31.2
253,3312,弘憶股,52.2,-0.8,-1.51,1048,08/17,1.28,4.23,5.58,2.35,5.85,-10.3,-1.7,-19.2,-20.6,-15.5
254,3171,炎洲流通,63.5,-0.4,-0.63,14,08/17,3.64,3.64,5.56,5.56,3.64,9.62,32.6,-88.3,-78.1,-88.1
255,6708,天擎,38.7,-1.3,-3.25,18,08/17,5.56,5.56,5.56,5.56,0.0,0.0,,,,
256,00928,中信上櫃ESG30,31.83,-0.88,-2.69,945,08/17,-4.67,-7.44,5.54,6.12,-8.33,-47.9,684.0,502.0,466.0,3265.0
257,3090,日電貿,161.5,-4.5,-2.71,5950,08/17,-0.13,-1.11,5.52,31.2,56.6,66.1,-5.48,29.7,131.0,11.0
258,6683,雍智科技,1260.0,-65.0,-4.91,608,08/17,-0.76,4.24,5.45,11.1,26.9,-3.37,9.54,3.36,,206.0
259,6703,軒郁,102.5,-1.0,-0.97,59,08/17,0.0,2.63,5.41,11.4,2.63,-38.1,-48.7,-51.9,-76.8,-81.4
260,5443,均豪,106.5,0.0,0.0,1362,08/17,1.28,3.73,5.37,-1.44,0.07,-23.3,-29.9,-33.6,-30.2,-28.2
261,3363,上詮,586.0,-38.0,-6.09,3957,08/17,0.88,0.57,5.37,7.44,9.17,-3.06,-15.9,-7.1,-56.0,-17.4
262,5299,杰力,99.9,-0.6,-0.6,545,08/17,-1.91,-1.02,5.32,3.44,8.2,0.35,132.0,200.0,387.0,212.0
263,8433,弘帆,54.3,-0.2,-0.37,14,08/17,0.0,0.51,5.32,7.61,14.5,15.8,25.3,-8.33,-16.8,12.5
264,2059,川湖,14370.0,620.0,4.51,1537,08/17,1.71,5.12,5.31,13.8,63.0,25.3,25.8,-15.8,42.7,8.58
265,7791,皇家可口,56.3,-0.4,-0.71,23,08/17,5.26,11.1,5.26,5.26,5.26,25.0,400.0,,,
266,00401A,主動摩根台灣鑫收,13.45,-0.25,-1.82,6381,08/17,-4.6,-18.7,5.21,8.21,36.9,37.7,72.9,,,
267,9939,宏全,129.5,-2.0,-1.52,1174,08/17,-0.3,7.64,5.18,27.0,-0.07,33.8,20.3,76.2,154.0,73.0
268,6020,大展證,20.6,0.0,0.0,2,08/17,0.0,2.15,5.16,12.9,13.8,40.3,116.0,254.0,416.0,410.0
269,1402,遠東新,27.8,0.25,0.91,11144,08/17,-3.1,-3.84,5.16,13.8,18.3,2.79,-19.0,435.0,138.0,261.0
270,5206,坤悅,22.7,0.0,0.0,126,08/17,1.62,3.97,5.13,5.92,0.45,14.1,44.7,42.5,57.6,53.8
271,7734,印能科技,2945.0,-125.0,-4.07,314,08/17,0.61,1.37,5.06,6.4,11.6,16.7,11.4,8.66,,664.0
272,3567,逸昌,25.0,-0.6,-2.34,139,08/17,0.0,1.67,5.04,5.5,7.52,16.5,33.0,15.9,1.11,-4.08
273,5371,中光電,86.3,-3.0,-3.36,8953,08/17,0.39,2.25,5.03,8.04,-3.07,-25.0,-20.9,-47.3,-40.9,-52.4
274,2356,英業達,64.9,-1.8,-2.7,19434,08/17,5.12,5.38,5.03,1.38,-0.23,-9.63,27.2,-6.11,11.8,8.31
275,6209,今國光,67.7,-3.4,-4.78,4239,08/17,1.38,2.8,5.03,4.91,4.31,-4.13,-26.6,3.98,142.0,-18.0
276,2434,統懋,50.3,-1.3,-2.52,462,08/17,2.96,-0.95,5.03,16.8,31.4,-6.49,1717.0,1293.0,4080.0,1448.0
277,6603,富強鑫,27.95,-2.0,-6.68,4141,08/17,1.67,0.55,5.01,7.07,13.1,15.6,43.4,47.2,203.0,29.6
278,6962,奕力-KY,30.2,-0.75,-2.42,1780,08/17,-0.26,5.08,5.01,4.21,7.29,-2.48,-7.97,10.9,120.0,0.13
279,6023,元大期,83.7,0.3,0.36,317,08/17,2.96,4.04,4.96,19.1,15.4,46.5,208.0,91.0,238.0,81.0
280,00639,富邦深100,17.21,-0.09,-0.52,855,08/17,0.56,6.49,4.94,4.64,5.87,-18.7,-38.5,-66.7,-87.6,-74.1
281,6161,捷波,50.2,-1.0,-1.95,88,08/17,-0.26,-0.52,4.94,2.55,11.7,-3.53,-20.3,46.8,-5.79,0.26
282,6204,艾華,78.6,-1.9,-2.36,77,08/17,1.29,3.81,4.89,2.46,2.02,-5.85,-8.53,-3.15,-10.3,-5.09
283,6182,合晶,120.0,-2.5,-2.04,209397,08/17,3.89,4.79,4.88,13.0,2.7,0.96,80.7,391.0,654.0,417.0
284,7711,永擎,492.0,17.0,3.58,871,08/17,1.7,4.59,4.86,66.1,208.0,182.0,,,,
285,3490,單井,44.5,2.05,4.83,10288,08/17,-2.17,-2.04,4.79,5.33,8.54,-11.4,-20.0,77.7,30.8,56.1
286,1537,廣隆,127.5,0.0,0.0,479,08/17,3.12,6.45,4.76,15.8,20.0,17.9,100.0,57.1,-28.3,34.7
287,1737,臺鹽,32.2,0.15,0.47,116,08/17,0.0,0.0,4.76,-4.35,10.0,0.0,-37.1,-47.6,-86.2,-71.8
288,5478,智冠,98.8,-0.2,-0.2,93,08/17,0.0,1.07,4.7,8.29,14.8,12.1,8.6,-14.8,-23.7,-19.0
289,6538,倉和,192.0,1.5,0.79,2523,08/17,4.17,3.9,4.67,7.57,28.5,43.9,648.0,1036.0,792.0,858.0
290,8299,群聯,2000.0,-85.0,-4.08,4979,08/17,-0.54,2.14,4.66,6.18,10.3,-2.83,-21.6,-22.8,268.0,-0.01
291,4540,全球傳動,61.7,0.5,0.82,3315,08/17,8.25,9.25,4.62,4.95,20.1,-5.47,-56.8,-10.5,-31.0,-7.66
292,6640,均華,1065.0,-5.0,-0.47,311,08/17,5.07,6.5,4.6,13.7,12.6,2.47,15.4,35.8,,598.0
293,3284,太普高,20.8,-0.2,-0.95,252,08/17,1.47,6.4,4.56,7.71,9.67,10.6,-9.4,7.71,21.7,-12.0
294,1583,程泰,48.8,-0.7,-1.41,14,08/17,1.47,1.47,4.55,6.15,7.81,4.55,123.0,72.5,-29.6,103.0
295,9962,有益,10.2,-0.1,-0.97,21,08/17,0.58,2.37,4.55,24.1,27.3,27.8,11.7,-18.6,3.92,0.29
296,3272,東碩,14.1,-0.1,-0.7,65,08/17,4.74,4.74,4.54,5.56,4.95,-1.28,9.85,8.96,-8.77,-19.5
297,8110,華東,44.3,-1.75,-3.8,4990,08/17,0.0,2.45,4.51,1.89,1.51,-18.7,-30.5,-15.5,50.7,-2.56
298,6719,力智,194.5,-6.0,-2.99,813,08/17,2.26,4.54,4.51,5.06,5.32,-12.9,88.0,232.0,15.4,213.0
299,2504,國產,30.65,0.1,0.33,1064,08/17,-0.33,2.42,4.49,2.9,7.28,8.45,21.6,54.5,40.4,43.4
300,8086,宏捷科,115.0,-5.5,-4.56,11008,08/17,3.17,4.21,4.49,5.5,12.3,4.87,23.7,165.0,119.0,155.0
