"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"1","3653","健策","5785","+140","+2.48","08/27","-33,069","-333,439","-654,928","-682,089","-779,835","-607,197","-621,191","-1,144,040","-198,618","-1,092,913"
"2","3008","大立光","7065","+150","+2.17","08/27","-65,240","-194,468","-522,088","-504,407","-511,414","+352,866","+355,032","-249,448","+1,108,157","+519,941"
"3","2382","廣達","332.5","-1","-0.3","08/27","-83,869","-230,577","-274,486","-456,489","-2,246,967","-5,495,448","-1,596,605","+40,468","-741,712","-355,162"
"4","3081","聯亞","3305","-65","-1.93","08/27","-24,949","-128,121","-333,877","-308,395","-79,943","+79,956","+383,992","+501,280","+328,905","+333,185"
"5","1216","統一","75.7","-1.4","-1.82","08/27","-37,066","-153,857","-229,366","-297,188","-559,248","-929,502","-737,512","-305,672","+611,406","-15,856"
"6","2379","瑞昱","722","-8","-1.1","08/27","-2,108","-70,379","-171,685","-252,577","-230,437","-642,127","-211,063","-218,012","+901,266","+333,244"
"7","2886","兆豐金","48.2","+2.05","+4.44","08/27","-21,545","-140,290","-174,077","-227,863","-399,359","-3,903","+304,251","+347,636","+213,684","+427,529"
"8","2451","創見","294","-4","-1.34","08/27","-1,200","-146,767","-218,952","-223,799","-278,021","-284,321","-45,819","+148,029","+154,690","+122,061"
"9","2603","長榮","231.5","-1","-0.43","08/27","-29,025","-158,063","-204,412","-220,926","-756,264","-1,182,553","-2,249,591","-1,772,174","-1,583,680","-2,158,720"
"10","2301","光寶科","317.5","+16.5","+5.48","08/27","-13,332","-13,940","+3,423","-215,930","-227,377","-550,633","-937,381","-708,879","-689,817","-478,849"
"11","2308","台達電","1830","+60","+3.39","08/27","+8,041","+59,930","-171,310","-196,266","-168,851","-299,646","+122,098","+942,136","+562,959","+997,913"
"12","1815","富喬","125.5","+9","+7.73","08/27","-49,964","-99,513","-132,605","-190,881","-190,838","-186,056","-217,094","-59,321","+58,446","+78,348"
"13","00981A","主動統一台股增長","30.09","+0.57","+1.93","08/27","-62,403","-158,258","-173,033","-173,115","-182,726","-352,134","-784,430","-179,667","-62,500","-85,968"
"14","3260","威剛","412","-3.5","-0.84","08/27","+4,087","-88,759","-174,259","-158,546","-227,486","-241,907","-223,862","+608,775","+736,087","+503,754"
"15","3017","奇鋐","3360","+20","+0.6","08/27","+73,333","-22,454","-78,402","-128,957","-581,166","-1,419,601","-221,872","+239,509","-39,505","+84,600"
"16","3037","欣興","1110","-70","-5.93","08/27","-83,778","-82,304","-88,018","-128,038","-220,504","-571,867","-507,904","-94,228","-1,696,011","-112,682"
"17","2455","全新","434","+1","+0.23","08/27","-66,393","-70,510","-75,677","-88,151","-52,546","+3,771","-58,234","-189,076","-146,098","-73,307"
"18","2912","統一超","218.5","-2","-0.91","08/27","-2,678","-39,666","-76,925","-86,229","-114,505","-287,975","+64,905","+194,302","+247,750","+137,497"
"19","00878","國泰永續高股息","33","+0.29","+0.89","08/27","-15,870","-56,973","-60,201","-85,808","+17,683","+39,770","+190,127","+197,793","+84,131","+176,180"
"20","0050","元大台灣50","106.95","+0.9","+0.85","08/27","-21,422","-21,422","-20,423","-84,701","-220,361","+73,091","+862,643","+449,007","+468,668","+662,221"
"21","2002","中鋼","19.05","-0.1","-0.52","08/27","+1,703","-30,876","-77,060","-82,604","-136,798","-290,416","-656,670","-317,981","-144,544","-530,120"
"22","2330","台積電","2420","+10","+0.41","08/27","+5,572","-2,846","-32,511","-78,357","-78,409","+532,128","+2,488,867","+3,138,690","+113,785","+3,023,492"
"23","3034","聯詠","545","-3","-0.55","08/27","-26,161","-96,128","-94,370","-77,887","+155,971","-167,051","-985,311","-1,353,502","-521,810","-1,184,727"
"24","2376","技嘉","349","+4","+1.16","08/27","-11,601","-78,073","-71,678","-77,652","-130,012","-318,846","+83,219","-326,325","+720,337","+372,219"
"25","2609","陽明","56.2","-1.7","-2.94","08/27","-16,308","-31,644","-34,132","-74,968","-87,555","-63,598","-837,376","-323,294","-603,043","-655,269"
"26","2345","智邦","2125","+35","+1.67","08/27","-9,641","-5,605","-43,916","-69,373","-101,726","-149,515","-120,576","-178,555","-280,691","-291,443"
"27","3023","信邦","317","-3","-0.94","08/27","-161","-45,520","-42,427","-61,728","-99,939","-134,030","+102,458","-55,862","+107,602","+14,319"
"28","3706","神達","92.1","+0.7","+0.77","08/27","-30,101","-31,763","-34,528","-61,550","-91,338","-206,062","+4,052","-134,608","+434,322","-164,092"
"29","1102","亞泥","34.55","-0.55","-1.57","08/27","-7,942","-29,708","-44,668","-58,917","-71,593","-51,759","-455,860","-156,448","+78,095","+23,746"
"30","3450","聯鈞","635","+57","+9.86","08/27","-20,359","-38,434","-62,007","-54,955","-63,764","-120,830","+30,251","-324,373","-345,585","-349,692"
"31","2313","華通","241","-3","-1.23","08/27","+658","-11,960","-12,445","-53,259","-55,932","+69,430","+808,734","+821,407","+804,299","+730,470"
"32","2324","仁寶","39.7","-0.05","-0.13","08/27","-3,996","-3,305","-36,032","-51,442","-119,426","-179,034","-1,524,707","-1,439,238","-488,200","-1,146,477"
"33","1513","中興電","168","-2.5","-1.47","08/27","-11,917","-36,022","-39,082","-51,397","-197,906","-253,482","-135,603","+276,430","+232,704","+156,605"
"34","5269","祥碩","1450","-15","-1.02","08/27","-10,414","-7,812","-4,172","-49,736","-39,738","-69,581","-112,943","+175,519","+470,685","+464,306"
"35","2883","凱基金","32.75","+0.6","+1.87","08/27","-32,002","-32,775","-47,382","-49,511","-8,350","-46,678","+71,958","+129,196","+14,083","+127,560"
"36","3324","雙鴻","1140","+80","+7.55","08/27","-63,856","-62,359","-49,392","-49,272","-80,930","-197,360","-342,912","+317,602","+49,932","+325,198"
"37","3105","穩懋","439","-6.5","-1.46","08/27","-34,210","-53,877","-98,265","-43,419","+8,823","+88,410","+520,628","+563,157","+467,636","+516,785"
"38","1504","東元","72.6","-0.8","-1.09","08/27","-3,542","-7,631","-17,883","-42,584","-161,455","-184,803","-233,662","+63,905","+435,170","+237,906"
"39","009816","凱基台灣TOP50","15.59","+0.13","+0.84","08/27","-30,311","-38,689","-38,375","-41,707","-49,670","-96,961","-53,177","+39,149","",""
"40","2542","興富發","47","-0.75","-1.57","08/27","-1,957","-1,412","-13,840","-41,125","-73,781","-37,861","+157,276","+184,834","+288,398","+163,660"
"41","2357","華碩","965","-3","-0.31","08/27","-8,150","-5,663","-10,330","-40,464","-432,524","-1,007,936","-3,160,262","-2,400,470","-328,480","-1,522,377"
"42","00881","國泰台灣科技龍頭","50","+0.39","+0.79","08/27","-31,514","-55,128","-50,450","-39,740","-11,814","+47,928","-46,271","-34,234","+30,027","+12,607"
"43","1785","光洋科","103.5","+0.5","+0.49","08/27","-1,245","-27,855","-29,373","-37,316","-41,283","-91,169","+112,411","+419,398","+387,379","+416,198"
"44","6770","力積電","70","+0.4","+0.57","08/27","-3,523","-29,832","-26,805","-34,974","-387,269","-107,957","-1,392,589","+248,836","-292,476","-46,435"
"45","00937B","群益ESG投等債20+","14.34","-0.07","-0.49","08/27","+290","+1,225","+3,261","-33,917","-24,039","+18,334","-14,486","-648","-125,031","-59,792"
"46","2881","富邦金","144","+2.5","+1.77","08/27","-19,466","-13,117","-39,278","-32,543","-10,826","+2,120","-1,578,556","-1,545,969","-2,216,288","-1,724,804"
"47","00631L","元大台灣50正2","36.3","+0.35","+0.97","08/27","-30,606","-30,889","-30,366","-30,366","-52,751","-163,383","+28,372","","+614,227","+728,897"
"48","2634","漢翔","67.8","-2.5","-3.56","08/27","-959","-2,339","-7,391","-29,879","-66,238","-53,896","-109,038","-58,062","-112,876","-115,127"
"49","1477","聚陽","195.5","-3","-1.51","08/27","-4,682","-20,557","-21,999","-29,356","+13,921","+28,690","-120,541","+52,852","-10,470","+124,001"
"50","2880","華南金","40.25","+0.9","+2.29","08/27","-6,837","-39,665","-24,771","-29,144","-43,995","+329,311","+1,032,402","+1,204,353","+1,284,934","+1,201,865"
"51","5536","聖暉*","871","+17","+1.99","08/27","0","-3,592","-12,464","-28,887","-58,059","-126,304","-270,955","-533,944","+34,109","-304,031"
"52","6781","AES-KY","1130","-10","-0.88","08/27","-7,964","-22,535","-25,761","-28,385","-89,047","-131,921","-155,942","-81,161","+233,043","-96,777"
"53","8112","至上","90.9","-1.3","-1.41","08/27","-27,344","-26,755","-32,867","-28,207","-90,102","-262,442","-112,789","-100,284","-97,204","-236,258"
"54","5871","中租-KY","113","-1.5","-1.31","08/27","-1,240","+9,288","-21,490","-27,856","-30,926","-140,218","+495,776","+748,391","+453,601","+386,356"
"55","9904","寶成","24.35","-0.45","-1.81","08/27","-605","-14,922","-22,278","-27,342","-37,563","-32,849","+18,435","+351,230","+14,478","+323,715"
"56","5347","世界","153","+2","+1.32","08/27","+1,361","-43,716","-32,871","-26,779","+26,677","+16,391","-405,689","-44,064","-176,971","-275,131"
"57","1590","亞德客-KY","1415","-65","-4.39","08/27","+8,331","+10,688","-18,889","-26,617","-55,027","-86,652","+20,847","+3,790","-29,900","-47,484"
"58","3030","德律","293.5","-3","-1.01","08/27","-4,783","-18,237","-24,387","-25,761","-54,083","-69,359","+121,425","+92,015","+42,976","+76,656"
"59","2393","億光","66.2","-0.3","-0.45","08/27","-1,177","-19,472","-24,113","-25,419","-37,494","-40,090","-6,152","+36,176","-23,317","+9,574"
"60","2426","鼎元","96.1","-0.5","-0.52","08/27","-1,155","-26,423","-27,633","-25,204","-18,812","-10,882","+35,417","+63,234","+67,089","+67,557"
"61","5876","上海商銀","43.15","+0.1","+0.23","08/27","+5,623","-14,810","-22,833","-24,191","-49,849","-286,478","-55,217","+271,788","+214,446","+243,318"
"62","2915","潤泰全","57.3","-1.3","-2.22","08/27","-5,709","-9,947","-10,432","-22,889","-42,984","-54,897","-91,034","-29,211","+16,409","-14,655"
"63","00988A","主動統一全球創新","16.39","-0.14","-0.85","08/27","-1,353","+205","+205","-22,533","-25,623","-67,386","-147,650","+30,427","","+40,559"
"64","00991A","主動復華未來50","18.3","+0.11","+0.6","08/27","-11,138","-17,740","-21,387","-20,754","-35,258","-96,599","-38,315","+86,853","","+94,042"
"65","2890","永豐金","39.8","+0.45","+1.14","08/27","+13.9","-3,969","-6,953","-20,260","+33,102","+36,557","+154,263","+177,658","-220,456","+150,244"
"66","2316","楠梓電","164","+3.5","+2.18","08/27","+1,676","-17,725","-18,425","-19,482","-21,341","+3,411","-16,070","+19,125","-7,583","+26,129"
"67","9945","潤泰新","28","-0.6","-2.1","08/27","+275","-14,163","-16,334","-19,160","-53,671","-68,109","-39,989","+41,395","-210,310","+32,391"
"68","3693","營邦","587","+39","+7.12","08/27","-2,911","-5,753","-14,892","-18,419","-26,944","-40,377","-18,796","-3,507","-6,919","+7,356"
"69","2354","鴻準","63.9","-0.5","-0.78","08/27","-2,144","-11,302","-14,914","-18,372","-84,439","-164,060","-202,801","+18,864","+137,546","+48,271"
"70","00992A","主動群益科技創新","18.68","+0.23","+1.25","08/27","-1,327","-18,215","-17,917","-18,023","-19,793","-60,402","-48,573","+6,058","","+7,740"
"71","2474","可成","206.5","-1","-0.48","08/27","-2,419","-9,542","-10,783","-18,011","-41,612","-2,695","-541,092","-413,973","-142,605","-384,051"
"72","2458","義隆","138.5","-1","-0.72","08/27","-308","-10,368","-19,287","-17,996","+32,659","+102,598","+203,967","+82,145","+169,859","+75,501"
"73","2367","燿華","44.8","-0.75","-1.65","08/27","+3,906","-15,411","-14,467","-17,744","-47,359","-50,677","-79,281","-21,133","+31,002","-25,687"
"74","2472","立隆電","232.5","+3.5","+1.53","08/27","+567","-1,224","-16,432","-17,601","-29,413","-21,894","-2,313","+45,553","+60,020","+48,147"
"75","1319","東陽","82.1","+0.4","+0.49","08/27","+311","-11,008","-10,974","-17,176","-57,033","-91,496","-137,185","+44,011","+113,521","+25,693"
"76","2353","宏碁","30.85","-0.35","-1.12","08/27","-3,981","-11,349","-12,827","-17,159","-39,292","-38,433","-143,608","-142,477","+193,733","+179,980"
"77","1503","士電","205.5","-7","-3.29","08/27","-668","-1,590","-3,301","-17,120","-27,902","-2,028","+154,336","+330,884","+251,474","+192,861"
"78","0052","富邦科技","62.35","+0.45","+0.73","08/27","-4,669","-15,442","-15,466","-17,100","-24,236","-43,048","-33,752","-100,229","+37,257","+12,672"
"79","5274","信驊","15630","+325","+2.12","08/27","+3,080","-1,573","-7,603","-16,958","-21,708","-70,217","-212,606","-620,691","-559,040","-831,104"
"80","8016","矽創","296","-4","-1.33","08/27","+387","-11,655","-12,417","-16,949","-23,811","-40,460","-9,938","+10,360","+19,556","-10,334"
"81","1795","美時","193","-1","-0.52","08/27","+2,145","+2,635","-10,366","-16,809","-31,214","-66,588","-47,004","+245,356","+183,384","+178,944"
"82","3661","世芯-KY","4065","+195","+5.04","08/27","+7,853","+5,470","-12,265","-16,715","-275,479","-694,811","-523,305","-1,835,899","-767,433","-792,974"
"83","00935","野村臺灣新科技50","58.2","+1","+1.75","08/27","-10,469","-16,050","-16,050","-16,162","-7,877","-28,635","-24,699","+11,000","+13,357","+10,097"
"84","2356","英業達","64.9","-0.7","-1.07","08/27","+9,271","+6,728","-15,131","-15,379","-179,197","-335,920","-120,413","-536,255","-470,485","-418,171"
"85","4977","眾達-KY","172","+0.5","+0.29","08/27","-491","-7,250","-11,878","-15,196","-20,463","-3,894","-29,215","-52,050","-61,562","-56,481"
"86","2383","台光電","5490","+15","+0.27","08/27","+6,134","+6,716","+12,654","-15,065","-93,688","+29,778","-118,294","-786,238","-782,629","-685,293"
"87","2337","旺宏","126.5","-1","-0.78","08/27","+10,490","+11,058","-227","-14,981","+35,899","+5,654","-188,289","-162,256","-615,723","-629,928"
"88","1802","台玻","60.8","+1.6","+2.7","08/27","+1,342","+1,450","-1,895","-13,874","-11,645","+10,334","+131,770","+352,762","+150,769","+47,825"
