排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,6005,群益證,34.15,0.55,1.64,07/22,49.0,49.8,46.1,40.4,21.7,28.4,17.8,13.2,11.5,10.4,5.08,13.1
2,2347,聯強,88.2,2.9,3.4,07/22,26.2,29.8,31.2,39.8,14.9,13.4,10.1,8.2,11.1,13.7,7.52,10.0
3,6515,穎崴,6500.0,-155.0,-2.33,07/22,23.4,22.2,21.4,33.3,24.2,18.7,14.4,9.92,5.24,5.34,,8.82
4,8155,博智,309.0,9.0,3.0,07/22,39.3,32.2,29.7,29.2,20.2,10.8,1.89,0.88,0.42,0.36,0.07,0.87
5,6121,新普,381.5,11.0,2.97,07/22,24.9,28.7,28.4,28.7,13.0,16.3,16.7,16.1,16.4,12.5,5.57,18.0
6,9907,統一實,15.15,-0.2,-1.3,07/22,24.4,31.4,28.8,26.9,16.8,25.9,15.1,10.7,5.29,2.24,0.74,10.1
7,6768,志強-KY,69.8,0.3,0.43,07/22,24.2,23.0,22.2,26.1,16.3,7.93,2.72,2.84,4.53,2.62,,5.02
8,9910,豐泰,68.3,0.2,0.29,07/22,24.6,23.8,23.0,25.3,18.0,18.7,4.59,2.99,2.2,1.06,0.37,3.15
9,3592,瑞鼎,236.0,-0.5,-0.21,07/22,7.53,14.0,20.0,24.4,12.6,5.97,2.86,2.03,8.12,5.78,,2.59
10,2492,華新科,300.0,27.0,9.89,07/22,7.64,36.6,33.8,24.2,9.77,6.68,1.89,1.21,0.8,0.8,1.55,0.99
11,6831,邁科,635.0,35.0,5.83,07/22,19.4,17.7,23.2,23.8,12.4,3.91,2.04,1.5,,,,1.37
12,2385,群光,106.5,2.0,1.91,07/22,16.6,19.9,20.2,23.1,14.2,18.6,10.7,8.86,12.4,11.0,6.79,10.9
13,2618,長榮航,42.1,-0.2,-0.47,07/22,15.1,16.5,19.4,22.5,11.0,5.76,5.12,5.43,7.11,4.75,2.0,6.32
14,4938,和碩,84.4,1.6,1.93,07/22,14.7,17.8,19.2,21.2,14.5,15.9,5.58,5.38,9.67,8.38,4.0,7.19
15,3036,文曄,197.5,1.5,0.77,07/22,5.52,4.28,9.53,19.8,10.9,23.0,18.0,13.5,11.9,7.29,5.56,13.7
16,5876,上海商銀,45.0,-0.65,-1.42,07/22,23.9,22.3,21.4,19.8,11.5,7.14,5.07,5.51,11.9,9.43,,6.78
17,6291,沛亨,378.0,18.5,5.15,07/22,23.6,31.5,26.2,18.7,8.81,3.39,0.81,0.38,0.26,0.25,0.22,0.36
18,4915,致伸,66.3,0.3,0.45,07/22,14.1,24.0,18.8,18.0,10.7,5.39,5.14,6.65,7.56,9.5,3.82,6.86
19,3090,日電貿,183.0,7.5,4.27,07/22,3.42,7.18,7.99,17.7,18.3,16.5,2.75,2.51,1.93,1.73,0.87,2.75
20,2606,裕民,64.1,1.1,1.75,07/22,15.6,14.9,16.2,17.6,9.62,8.84,9.94,9.25,6.15,4.84,2.87,10.1
21,3034,聯詠,501.0,25.0,5.25,07/22,10.1,12.4,13.9,17.5,6.97,5.65,3.97,6.12,8.99,8.29,4.09,7.29
22,2368,金像電,940.0,-40.0,-4.08,07/22,26.0,24.0,20.8,16.7,17.2,14.9,8.7,4.92,4.49,4.21,2.15,6.03
23,2356,英業達,61.7,1.6,2.66,07/22,22.9,20.0,17.3,16.4,6.01,4.0,1.14,1.53,2.18,2.12,2.41,1.62
24,6670,復盛應用,262.5,1.5,0.57,07/22,18.8,25.1,19.3,16.3,16.0,8.07,4.99,6.16,12.0,6.21,,6.55
25,3045,台灣大,112.5,0.5,0.45,07/22,20.4,17.1,14.2,16.3,7.88,5.34,4.37,5.01,4.58,8.12,4.86,5.67
26,2105,正新,31.25,-1.0,-3.1,07/22,16.7,16.0,18.6,16.3,11.8,5.84,2.89,8.69,9.24,7.53,4.02,9.01
27,1513,中興電,162.5,0.0,0.0,07/22,12.2,12.5,12.1,15.3,7.6,2.33,0.73,0.79,0.95,0.56,0.76,0.89
28,4904,遠傳,103.0,1.0,0.98,07/22,25.8,19.4,15.2,14.6,9.51,9.94,11.0,10.6,10.2,10.3,5.67,10.8
29,5439,高技,251.5,2.0,0.8,07/22,29.8,28.6,21.2,14.4,7.68,3.13,4.44,3.59,1.96,1.15,1.4,3.32
30,1319,東陽,73.2,-0.4,-0.54,07/22,21.1,17.0,13.7,13.6,7.07,20.6,11.1,9.89,8.43,5.94,3.74,9.17
31,1476,儒鴻,337.5,-6.0,-1.75,07/22,19.7,15.9,14.2,12.6,7.76,5.03,2.48,1.63,1.5,2.77,3.34,1.76
32,6592,和潤企業,60.5,-0.4,-0.66,07/22,0.0,0.0,0.0,12.2,3.29,2.89,1.31,0.46,0.56,0.55,,0.39
33,2353,宏碁,30.55,0.35,1.16,07/22,16.8,18.7,17.6,12.1,6.15,12.4,4.42,3.35,3.48,4.31,2.11,3.54
34,3227,原相,201.5,8.5,4.4,07/22,0.33,1.49,2.71,11.8,7.69,2.46,2.05,2.35,1.94,2.02,1.62,2.42
35,2882,國泰金,96.8,1.0,1.04,07/22,12.8,13.9,12.7,11.2,8.29,10.9,19.0,15.1,14.5,6.37,3.04,15.2
36,2207,和泰車,492.0,0.0,0.0,07/22,0.54,0.25,0.23,10.9,7.28,4.04,16.9,12.3,8.91,4.6,2.07,11.8
37,2379,瑞昱,743.0,-10.0,-1.33,07/22,3.18,1.9,2.14,10.9,5.63,2.89,2.63,5.4,6.42,7.76,4.23,5.69
38,2451,創見,241.5,6.5,2.77,07/22,12.3,14.6,14.3,10.8,5.53,2.47,5.68,3.87,4.12,5.22,4.43,3.73
39,4991,環宇-KY,420.5,38.0,9.93,07/22,0.0,7.17,9.18,10.8,6.66,5.9,3.62,2.76,1.39,0.75,0.79,2.62
40,2882B,國泰金乙特,58.7,0.1,0.17,07/22,0.0,0.0,0.0,10.4,10.6,5.18,1.68,1.59,7.54,3.33,,2.53
41,6535,順藥,89.4,2.5,2.88,07/22,0.0,6.01,7.69,10.4,13.2,10.7,4.21,2.36,0.65,0.38,,2.11
42,9904,寶成,24.25,-0.15,-0.61,07/22,14.6,16.0,14.9,10.2,6.83,14.3,9.94,8.22,4.14,1.6,0.68,9.05
43,6274,台燿,1355.0,120.0,9.72,07/22,0.8,5.92,3.71,10.1,8.16,3.97,2.75,4.64,2.95,2.39,3.4,4.92
44,2357,華碩,757.0,21.0,2.85,07/22,11.3,10.4,11.1,10.0,6.15,9.26,7.46,5.61,6.13,6.01,3.98,6.18
45,6415,矽力*-KY,483.5,22.0,4.77,07/22,2.56,4.06,2.44,9.82,7.75,5.35,2.38,2.66,2.07,2.09,2.22,2.24
46,2891,中信金,64.0,1.3,2.07,07/22,7.26,5.31,5.9,9.48,5.24,5.46,11.4,10.1,13.4,6.84,3.31,10.8
47,3217,優群,152.0,2.0,1.33,07/22,0.0,0.0,6.63,9.34,4.19,1.93,2.78,2.18,2.95,3.81,2.87,2.02
48,5347,世界,171.0,15.5,9.97,07/22,11.1,7.3,10.8,9.32,6.71,4.93,6.3,6.15,7.58,7.44,5.17,6.76
49,3023,信邦,317.0,9.0,2.92,07/22,2.62,3.42,3.64,9.32,4.8,2.47,3.03,3.4,3.11,2.99,2.72,3.5
50,9802,鈺齊-KY,73.9,-0.9,-1.2,07/22,0.0,0.0,0.0,9.13,4.37,2.09,2.59,1.72,0.65,0.25,0.07,1.98
51,3702,大聯大,118.0,6.5,5.83,07/22,4.43,5.18,4.89,9.12,4.6,2.85,12.3,10.1,12.5,13.2,7.83,10.8
52,3044,健鼎,417.5,13.0,3.21,07/22,0.27,3.2,3.59,9.08,5.0,15.3,7.0,6.45,10.1,8.25,5.86,7.46
53,5289,宜鼎,1360.0,60.0,4.62,07/22,0.64,0.88,0.51,8.95,12.5,9.88,3.54,2.99,2.31,3.31,2.55,2.68
54,3529,力旺,2600.0,235.0,9.94,07/22,6.68,9.12,8.1,8.83,10.8,10.5,9.88,5.16,4.9,5.42,4.24,5.36
55,3583,辛耘,767.0,17.0,2.27,07/22,2.22,2.15,1.53,8.61,4.48,2.48,1.7,0.89,1.18,0.88,0.97,0.85
56,2885,元大金,63.1,1.8,2.94,07/22,2.23,6.25,6.86,8.4,6.61,13.1,14.5,11.1,13.3,7.37,2.7,13.0
57,8210,勤誠,1150.0,-15.0,-1.29,07/22,30.8,19.0,13.0,8.2,8.85,14.6,5.09,3.62,1.59,0.44,0.22,3.44
58,3081,聯亞,1665.0,150.0,9.9,07/22,0.0,5.29,9.7,8.08,4.04,8.11,6.56,4.86,3.1,1.46,1.69,4.32
59,2603,長榮,206.0,3.0,1.48,07/22,8.71,7.83,8.54,7.97,6.35,3.44,5.48,5.28,5.18,3.88,1.08,5.69
60,2610,華航,21.35,-0.1,-0.47,07/22,0.45,0.24,0.16,7.15,9.99,3.53,2.47,3.23,3.54,2.15,1.01,3.53
61,3231,緯創,164.0,14.5,9.7,07/22,1.87,2.73,3.11,7.11,4.97,2.87,1.33,1.37,2.94,2.56,2.33,1.65
62,2404,漢唐,1175.0,25.0,2.17,07/22,14.3,10.9,9.67,7.04,8.59,7.77,8.06,7.29,7.7,9.24,4.95,7.13
63,2362,藍天,43.3,0.05,0.12,07/22,0.0,0.0,0.0,6.95,3.69,1.15,0.26,0.21,0.57,0.15,0.2,0.2
64,3705,永信,54.0,-1.0,-1.82,07/22,0.0,0.0,0.0,6.85,3.73,1.52,0.58,0.28,0.11,0.27,0.15,0.26
65,6278,台表科,167.0,0.0,0.0,07/22,1.56,0.64,0.79,6.68,6.53,6.73,5.35,6.16,6.62,6.13,2.93,6.51
66,2472,立隆電,282.5,9.5,3.48,07/22,1.79,2.07,7.54,6.64,3.55,1.11,0.6,0.7,0.79,0.53,0.46,0.73
67,2102,泰豐,19.1,-0.1,-0.52,07/22,0.0,0.0,0.0,6.6,3.47,1.55,0.41,0.18,0.08,0.02,0.01,0.16
68,2303,聯電,139.0,4.5,3.35,07/22,3.97,6.94,6.75,6.44,6.0,11.3,10.8,8.57,8.44,6.78,2.76,7.95
69,2376,技嘉,348.0,7.0,2.05,07/22,3.76,2.34,2.12,6.37,4.11,2.88,1.62,1.64,2.22,2.81,2.79,1.81
70,5904,寶雅,631.0,-2.0,-0.32,07/22,20.2,16.1,12.7,6.21,3.07,3.24,2.9,1.91,2.63,6.48,4.69,1.9
71,2474,可成,193.0,2.0,1.05,07/22,0.52,0.26,0.84,6.06,3.58,4.18,8.17,8.88,11.6,12.7,4.37,10.5
72,3675,德微,273.0,5.5,2.06,07/22,0.0,14.3,9.71,5.96,3.42,1.45,0.56,0.37,0.24,3.14,1.84,0.36
73,3040,遠見,37.15,-0.35,-0.93,07/22,11.9,13.5,6.73,5.93,3.29,1.83,0.61,0.19,0.06,0.02,0.02,0.17
74,2880,華南金,41.25,0.45,1.1,07/22,2.72,1.51,1.03,5.8,4.19,11.2,8.6,8.06,6.66,6.08,2.58,8.04
