項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),366478,405240,12793,8969839,8918284
融券(交易單位),17159,28567,2627,214046,222827
融資金額(仟元),32821706,35124696,418346,549780654,547059318
