"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1501","6194","育富","29.7","-0.15","-0.5","26M05","0.85","0","17.8","0","0","0","0","0","0","0","0.85","0","17.8","0","0"
"1502","6195","詩肯","27.9","-0.3","-1.06","26M05","1.72","0","34.3","0","0","0.01","0","0.17","0","0","1.73","0","34.5","0","0"
"1503","6196","帆宣","510","-1","-0.2","26M05","10.1","0","45.9","0","0","0","0","0","0","0","10.1","0","45.9","0","0"
"1504","6198","瑞築","19.8","+0.1","+0.51","26M05","11.9","-191","69.4","0","0","0.01","-19","0.03","0","0","11.9","-210","69.5","0","0"
"1505","6201","亞弘電","45.25","-0.05","-0.11","26M05","1.65","0","18.5","0","0","0","0","0","0","0","1.65","0","18.5","0","0"
"1506","6202","盛群","60.4","-1.6","-2.58","26M05","1.59","0","6.89","0","0","0","0","0.02","0","0","1.59","0","6.91","0","0"
"1507","6203","海韻電","60.1","-0.2","-0.33","26M05","0.87","+16","10.5","0","0","0","0","0","0","0","0.87","+16","10.5","0","0"
"1508","6204","艾華","82.7","-3.3","-3.84","26M05","0.6","0","25.9","0","0","0","0","0","0","0","0.6","0","25.9","0","0"
"1509","6205","詮欣","62.1","-1.2","-1.9","26M05","1.1","0","13.3","0","0","0","0","0","0","0","1.1","0","13.3","0","0"
"1510","6206","飛捷","143","-13.5","-8.63","26M05","2.87","0","20.1","0","0","0","0","0.01","0","0","2.88","0","20.1","0","0"
"1511","6208","日揚","82","+0.5","+0.61","26M05","1.19","-147","12.6","0","0","0","0","0.04","0","0","1.19","-147","12.6","0","0"
"1512","6210","慶生","17.75","+0.05","+0.28","26M05","0.41","0","11.6","0","0","0","0","0.08","0","0","0.41","0","11.7","0","0"
"1513","6212","理銘","29.2","0","0","26M05","0.5","0","4.86","0","0","0","0","0","0","0","0.5","0","4.86","0","0"
"1514","6213","聯茂","480","+11","+2.35","26M05","7.25","0","20","0","0","0","0","0","0","0","7.25","0","20","0","0"
"1515","6214","精誠","172","+15.5","+9.9","26M05","3.61","0","13.2","0","0","0","0","0","0","0","3.61","0","13.2","0","0"
"1516","6216","居易","22.3","-0.2","-0.89","26M05","1.83","0","19","0","0","0","0","0.01","0","0","1.83","0","19","0","0"
"1517","6218","豪勉","35.6","-0.1","-0.28","26M05","0.63","-126","9.78","0","0","0.02","0","0.3","0","0","0.65","-126","10.1","0","0"
"1518","6220","岳豐","25.65","-0.4","-1.54","26M05","1.38","0","9.43","0","0","0","0","0","0","0","1.38","0","9.43","0","0"
"1519","6223","旺矽","6440","-55","-0.85","26M05","0.9","-5","9.19","0","0","0.03","0","0.3","0","0","0.93","-5","9.49","0","0"
"1520","6225","天瀚","40.4","+3.65","+9.93","26M05","0.69","0","24.9","0","0","0","0","0","0","0","0.69","0","24.9","0","0"
"1521","6226","光鼎","19.05","-0.55","-2.81","26M05","1.34","0","11.6","0","0","0","0","0","0","0","1.34","0","11.6","0","0"
"1522","6227","茂綸","124","-3","-2.36","26M05","5.15","0","67.6","0","0","0","0","0","0","0","5.15","0","67.6","0","0"
"1523","6228","全譜","17.65","-0.35","-1.94","26M05","1.45","0","55.9","0","0","0","0","0","0","0","1.45","0","55.9","0","0"
"1524","6229","研通","24.45","+0.8","+3.38","26M05","0.34","0","8.53","0","0","0","0","0","0","0","0.34","0","8.53","0","0"
"1525","6230","尼得科超眾","109","-3.5","-3.11","26M05","7.45","0","86.3","0","0","0","0","0","0","0","7.45","0","86.3","0","0"
"1526","6231","系微","223","-3.5","-1.55","26M05","1.13","0","24.8","0","0","0","0","0","0","0","1.13","0","24.8","0","0"
"1527","6234","高僑","37.4","+1.35","+3.74","26M05","1.77","0","17.6","0","0","0.01","0","0.14","0","0","1.78","0","17.8","0","0"
"1528","6235","華孚","39.05","+0.25","+0.64","26M05","5.02","-76","25.1","0","0","0","0","0.01","0","0","5.02","-76","25.1","0","0"
"1529","6236","中湛","15.2","0","0","26M05","2.46","0","59.1","0","0","0","0","0","0","0","2.46","0","59.1","0","0"
"1530","6239","力成","278","-5","-1.77","26M05","5.72","-62.4","7.54","0","0","0","0","0","0","0","5.72","-62.4","7.54","0","0"
"1531","6240","松崗","20.6","+0.9","+4.57","26M05","0.93","0","40.8","0","0","0","0","0","0","0","0.93","0","40.8","0","0"
"1532","6241","鑫永洋","13.8","-0.5","-3.5","26M05","0.01","0","0.11","0","0","0","0","0","0","0","0.01","0","0.11","0","0"
"1533","6242","立康","34.35","+0.35","+1.03","26M05","0.64","0","20.3","0","0","0","0","0","0","0","0.64","0","20.3","0","0"
"1534","6244","茂迪","25.2","-0.5","-1.95","26M05","2.53","0","6.53","0","0","0.01","0","0.04","0","0","2.54","0","6.57","0","0"
"1535","6245","立端","84.5","-2.6","-2.99","26M05","1.66","0","11.3","0","0","0","0","0","0","0","1.66","0","11.3","0","0"
"1536","6257","矽格","208","-5","-2.35","26M05","2.38","+754","4.92","0","0","0","-34","0","0","0","2.38","+720","4.92","0","0"
