排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,00785B,富邦金融投等債,35.1,0.0,0.0,07/15,3.36,6.09,8.81,14.2,14.2,14.2,19.2,21.8,26.9,82.1,,21.8
2,00689R,國泰20年美債反1,22.5,0.03,0.13,07/15,-0.13,0.6,2.02,7.88,7.71,10.2,23.5,36.7,39.0,41.9,,36.7
3,8039,台虹,181.5,-4.0,-2.16,07/15,0.24,4.27,4.15,5.5,5.15,5.57,4.13,6.86,3.34,4.87,4.67,2.61
4,00681R,元大美債20反1,21.49,0.02,0.09,07/15,0.36,0.37,-0.29,5.08,0.91,-0.2,3.0,7.33,10.4,68.4,,7.66
5,5351,鈺創,104.5,9.3,9.77,07/15,1.86,1.09,5.47,4.59,8.16,5.96,10.7,9.01,19.5,20.1,12.8,14.3
6,00657,國泰日經225,80.35,1.05,1.32,07/15,-0.59,-1.87,3.16,4.21,3.68,4.55,5.71,5.49,7.13,52.7,82.0,6.3
7,2618,長榮航,42.15,1.35,3.31,07/15,0.45,1.29,2.36,4.13,3.69,6.51,1.38,4.72,3.69,-1.88,3.19,5.32
8,3006,晶豪科,239.0,21.5,9.89,07/15,2.03,1.95,1.62,3.98,3.26,4.18,11.6,7.1,26.3,28.5,27.7,11.0
9,6202,盛群,70.9,3.2,4.73,07/15,0.0,-0.14,-0.87,3.33,2.99,2.89,9.4,11.0,7.53,5.75,0.9,11.1
10,2359,所羅門,144.0,1.5,1.05,07/15,-0.59,-0.73,2.81,2.94,4.14,4.28,4.82,5.56,4.37,-1.32,3.44,5.94
11,5388,中磊,89.4,3.7,4.32,07/15,1.66,1.78,2.19,2.84,3.66,1.94,6.66,-0.51,-6.38,-12.6,-5.19,-4.04
12,6805,富世達,1395.0,75.0,5.68,07/15,0.11,0.38,0.25,2.81,2.43,0.99,4.8,0.06,4.51,,,2.57
13,2478,大毅,173.0,15.5,9.84,07/15,-0.94,0.01,1.28,2.56,0.49,5.8,7.63,9.37,14.1,14.4,18.0,10.9
14,3033,威健,55.6,5.0,9.88,07/15,1.46,0.87,2.45,2.52,3.31,4.63,16.4,20.5,16.2,13.5,20.8,19.4
15,5475,德宏,178.0,-0.5,-0.28,07/15,-0.26,-0.06,1.65,2.48,2.95,1.63,5.39,5.99,8.68,11.3,11.2,3.92
16,4991,環宇-KY,426.0,9.0,2.16,07/15,-0.24,0.88,1.47,2.29,0.01,0.64,3.27,6.83,3.09,10.7,-1.17,2.74
17,5386,青雲,373.5,26.5,7.64,07/15,-0.1,0.16,2.35,2.21,3.24,3.84,-5.73,4.34,1.02,-3.04,0.71,3.15
18,009824,群益美國科技巨頭,10.34,0.23,2.27,07/15,0.57,1.63,2.15,2.18,2.18,,,,,,,
19,8383,千附,89.8,8.1,9.91,07/15,-0.07,1.06,2.1,2.13,1.96,2.08,3.71,5.52,5.4,4.73,1.99,5.84
20,6830,汎銓,390.0,11.0,2.9,07/15,-0.2,0.86,1.3,2.08,2.34,2.13,4.17,5.57,3.47,6.48,,6.71
21,2377,微星,148.5,1.5,1.02,07/15,-0.04,-0.21,0.54,2.07,0.82,0.68,0.16,-4.7,-14.7,-26.2,-25.9,-4.04
22,6147,頎邦,204.5,18.5,9.95,07/15,0.51,1.62,1.85,2.06,1.5,0.43,-1.56,-2.8,-0.25,-5.09,-19.5,-2.32
23,00986A,主動台新龍頭成長,15.2,0.43,2.91,07/15,2.13,2.61,1.55,1.94,1.28,1.86,10.6,30.4,,,,34.9
24,4551,智伸科,201.5,-6.5,-3.12,07/15,-0.28,0.14,0.76,1.94,1.13,3.75,8.33,8.81,8.79,9.22,11.6,9.01
25,6861,睿生光電,238.5,1.5,0.63,07/15,-0.11,0.76,1.07,1.93,2.07,0.84,0.0,-2.59,-2.75,-2.89,,-2.04
26,1568,倉佑,31.65,0.55,1.77,07/15,-0.03,1.71,1.79,1.93,2.07,1.17,2.19,2.38,2.22,1.29,2.66,2.33
