排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
301,2916,滿心,櫃,39.9,-0.45,-1.12,549,07/14,102,0,0,102,14.0,21.6,＋・・
302,3481,群創,市,57.2,-3.8,-6.23,510069,07/14,37538,-6181,-3551,27806,1725.0,21.6,＋－－
303,2415,錩新,市,35.6,-0.6,-1.66,769,07/14,229,0,0,229,19.3,21.5,＋・＋
304,6180,橘子,櫃,45.6,0.25,0.55,828,07/14,29,0,0,29,37.6,21.4,＋・＋
305,6166,凌華,市,132.5,-2.0,-1.49,1125,07/14,67,0,12,79,46.6,21.4,＋・＋
306,3526,凡甲,櫃,304.0,-11.0,-3.49,1073,07/14,-457,112,-35,-380,14.0,21.2,－＋－
307,2376,技嘉,市,334.0,-1.5,-0.45,4899,07/14,-594,153,72,-370,142.0,21.2,－＋＋
308,3357,臺慶科,櫃,246.0,-12.0,-4.65,3236,07/14,888,-70,-37,782,24.3,21.1,＋－－
309,5439,高技,櫃,293.0,-17.5,-5.64,2476,07/14,-177,0,-102,-278,19.6,21.1,－・－
310,3189,景碩,市,805.0,-14.0,-1.71,3717,07/14,287,2,-64,225,111.0,21.1,＋＋－
311,2911,麗嬰房,市,7.41,-0.09,-1.2,182,07/14,2,0,9,11,22.1,21.0,＋・＋
312,5425,台半,櫃,107.0,-10.5,-8.94,24690,07/14,807,0,-454,353,55.3,21.0,＋・－
313,6175,立敦,櫃,102.5,1.0,0.99,4835,07/14,462,0,-16,446,31.2,20.8,＋・－
314,009807,台新標普科技精選,櫃,16.7,-0.06,-0.36,12,07/14,0,0,-1,-1,3.05,20.7,・・－
315,2478,大毅,市,157.5,-6.0,-3.67,7237,07/14,1375,12,-15,1372,29.9,20.7,＋＋－
316,009806,台新標普500,櫃,13.48,0.01,0.07,31,07/14,0,0,20,20,3.02,20.6,・・＋
317,4726,永昕,櫃,24.45,-0.3,-1.21,186,07/14,55,0,0,55,42.7,20.6,＋・－
318,2867,三商壽,市,8.83,0.0,0.0,14830,07/14,5690,0,767,6457,1216.0,20.6,＋・＋
319,4961,天鈺,市,167.5,-3.5,-2.05,1060,07/14,-240,183,-13,-70,25.0,20.6,－＋－
320,1587,吉茂,市,26.15,-0.3,-1.13,499,07/14,-32,0,2,-30,16.4,20.5,－・＋
321,5388,中磊,市,85.7,0.3,0.35,4439,07/14,379,372,-54,698,62.4,20.5,＋＋－
322,00922,國泰台灣領袖50,市,39.65,-0.7,-1.73,29072,07/14,-1536,0,-16051,-17587,427.0,20.4,－・－
323,00683L,期元大美元指正2,市,22.17,0.04,0.18,50,07/14,2,0,-14,-12,2.32,20.3,＋・－
324,8021,尖點,市,487.5,-20.5,-4.04,1100,07/14,137,10,124,272,29.4,20.2,＋＋＋
325,2385,群光,市,104.5,-1.5,-1.42,5182,07/14,338,61,299,698,154.0,20.2,＋＋＋
326,4728,雙美,櫃,381.0,0.0,0.0,0,07/14,0,0,0,0,11.0,20.2,・・・
327,3703,欣陸,市,20.35,-0.2,-0.97,934,07/14,-178,-2,28,-152,166.0,20.1,－－＋
328,6997,博弘,櫃,72.3,-2.7,-3.6,5,07/14,0,0,0,0,4.45,20.1,・・・
329,2027,大成鋼,市,39.1,1.1,2.89,17215,07/14,8303,-8,-403,7892,520.0,20.1,＋－－
330,3014,聯陽,市,135.5,-2.5,-1.81,2347,07/14,-650,365,15,-270,33.4,20.1,－＋＋
331,6217,中探針,櫃,229.5,-13.0,-5.36,1972,07/14,331,0,1,332,23.6,20.1,＋・＋
332,4568,科際精密,櫃,41.5,-0.3,-0.72,9,07/14,-1,0,0,-1,6.37,20.1,－・・
333,8103,瀚荃,市,83.8,-5.4,-6.05,2750,07/14,202,0,-269,-67,15.7,20.0,＋・－
334,6244,茂迪,櫃,26.3,0.0,0.0,4802,07/14,144,0,-174,-30,77.5,20.0,＋・－
335,1617,榮星,市,23.4,-1.1,-4.49,866,07/14,49,0,16,65,33.8,20.0,＋・＋
336,3583,辛耘,市,766.0,-28.0,-3.53,1165,07/14,48,6,-18,36,16.0,19.9,＋＋－
337,6515,穎崴,市,7040.0,-335.0,-4.54,468,07/14,138,-102,0,37,7.17,19.9,＋－＋
338,2467,志聖,市,536.0,-59.0,-9.92,1981,07/14,-1081,11,-30,-1100,31.0,19.8,－＋－
339,3088,艾訊,櫃,133.5,-6.0,-4.3,1480,07/14,73,0,-34,39,21.5,19.8,＋・－
340,2939,永邑-KY,市,18.85,-0.05,-0.26,27,07/14,-6,0,0,-6,8.98,19.7,－・・
341,1477,聚陽,市,220.0,-6.0,-2.65,1985,07/14,-623,212,-36,-447,48.5,19.6,－＋－
342,7584,樂意,櫃,27.0,0.0,0.0,0,07/14,0,0,0,0,3.24,19.6,・・・
343,2603,長榮,市,194.5,-0.5,-0.26,9326,07/14,1175,-318,814,1671,424.0,19.6,＋－＋
344,5906,台南-KY,市,37.0,0.0,0.0,0,07/14,0,0,0,0,6.96,19.5,・・・
345,7769,鴻勁,市,6395.0,-310.0,-4.62,599,07/14,-40,53,16,29,35.0,19.4,－＋＋
346,7757,金色三麥,櫃,92.1,-1.6,-1.71,34,07/14,-5,0,0,-5,4.68,19.4,－・・
347,2382,廣達,市,380.0,2.0,0.53,25976,07/14,-6231,3549,740,-1941,749.0,19.4,－＋＋
348,6491,晶碩,市,357.5,-8.0,-2.19,764,07/14,224,0,2,226,15.1,19.4,＋・＋
349,3010,華立,市,115.5,-3.0,-2.53,1579,07/14,-151,-1,-25,-176,50.1,19.3,－－－
350,2886,兆豐金,市,47.0,0.0,0.0,25592,07/14,-4302,2200,5836,3734,2863.0,19.3,－＋＋
