單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"14,500,596,309","15,523,978,008","-1,023,381,699"
自營商(避險),"66,646,994,840","84,222,627,572","-17,575,632,732"
投信,"23,571,309,411","17,865,657,180","5,705,652,231"
外資及陸資(不含外資自營商),"468,574,991,377","490,826,849,928","-22,251,858,551"
外資自營商,0,0,0
合計,"573,293,891,937","608,439,112,688","-35,145,220,751"
