項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),269663,222379,9748,8810093,8847629
融券(交易單位),16823,20944,1513,197390,199998
融資金額(仟元),21094922,21887525,675808,548407734,546939322
