日期,成交千股,成交金額(千元),成交筆數,櫃買指數,漲跌點數
115/06/01,"1,615,738","339,380,979","1,572,095",446.02,2.38
115/06/02,"1,720,583","378,403,435","1,736,191",440.64,-5.38
115/06/03,"1,517,099","325,651,920","1,466,352",446.82,6.18
115/06/04,"1,426,465","278,293,572","1,451,768",440.1,-6.72
115/06/05,"1,592,999","299,833,281","1,491,433",431.07,-9.03
115/06/08,"1,221,034","221,807,242","1,227,424",412.57,-18.5
115/06/09,"1,395,460","259,621,665","1,261,588",424.71,12.14
115/06/10,"1,689,969","309,540,688","1,674,906",405.91,-18.8
115/06/11,"1,481,812","279,270,297","1,382,096",407.09,1.18
115/06/12,"1,220,719","229,150,792","1,137,189",419.72,12.63
115/06/15,"1,188,372","225,151,078","1,124,391",429.37,9.65
