"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"1","2382","廣達","331","+4","+1.22","08/19","+525","-4,310","-33,147","-68,158","-166,950","-133,412","+1,337","+18,885","+6,981","+1,276"
"2","6770","力積電","66.6","-3.1","-4.45","08/19","-8,337","-19,519","-58,194","-57,120","-39,904","+31,149","-137,958","+117,346","-41,428","+64,698"
"3","1605","華新","36.8","-0.3","-0.81","08/19","-30,159","-30,621","-34,576","-56,878","-65,082","-62,047","-41,073","-90,266","-10,818","-149,764"
"4","1216","統一","77.5","+1.3","+1.71","08/19","-9,591","-23,660","-34,192","-38,017","-55,886","-67,474","-45,993","+2,211","+124,184","+42,313"
"5","2002","中鋼","18.95","0","0","08/19","-18","-26,233","-23,501","-36,748","-84,416","-161,061","-219,916","-141,438","-8,604","-200,175"
"6","2356","英業達","65.2","+0.3","+0.46","08/19","+399","-1,838","-13,695","-36,113","-37,993","-70,946","-6,976","-110,869","-67,551","-78,869"
"7","2344","華邦電","168","-8.5","-4.82","08/19","-641","-20,662","-20,328","-17,753","-62,786","-133,608","-118,532","+39,861","-73,571","+34,519"
"8","2408","南亞科","481","-34","-6.6","08/19","+727","-3,753","-6,981","-17,414","-32,697","+8,520","+11,756","+29,015","-23,001","+29,142"
"9","2886","兆豐金","47.05","+0.15","+0.32","08/19","-12,690","-23,703","-24,813","-17,401","+26,146","+66,785","+126,160","+138,581","+96,785","+153,621"
"10","2603","長榮","240.5","+2.5","+1.05","08/19","-8,120","-10,023","-12,380","-17,247","-19,249","-60,319","-77,580","-72,848","-52,949","-84,937"
"11","1504","東元","71.8","+0.8","+1.13","08/19","-4,250","-9,065","-14,825","-14,741","-20,364","-14,052","-21,165","+26,034","+60,547","+40,803"
"12","2892","第一金","33.6","-0.1","-0.3","08/19","+743","-1,131","-5,208","-14,647","-7,132","-7,325","+4,231","+17,015","+20,445","+15,122"
"13","1717","長興","69.6","-0.9","-1.28","08/19","-1,178","-2,625","-9,971","-14,557","-15,266","-6,407","-31,357","+5,848","+27,543","+15,753"
"14","1314","中石化","7.8","-0.06","-0.76","08/19","-3,928","-11,459","-10,598","-14,156","-25,182","-21,113","-73,056","+28,275","+4,421","-20,380"
"15","2324","仁寶","39.3","-1.3","-3.2","08/19","-9,310","-15,076","-11,339","-12,478","-19,050","-53,043","-355,114","-304,506","-10,042","-230,527"
"16","2354","鴻準","60.8","+0.9","+1.5","08/19","-705","-5,545","-8,424","-12,005","-21,340","-27,362","-25,405","+9,012","+21,733","+13,945"
"17","8112","至上","91","+0.7","+0.78","08/19","+248","+488","-4,905","-11,189","-20,808","-31,181","+847","-16,060","+4,631","-25,272"
"18","1402","遠東新","28","+0.2","+0.72","08/19","-2,712","-3,505","-5,262","-10,894","-19,124","-55,344","-205,814","-4,813","+5,163","-5,774"
"19","5880","合庫金","24.85","-0.1","-0.4","08/19","+969","+1,562","+2,939","-10,678","-9,984","-13,630","-85,181","+7,210","+847","+21,393"
"20","9945","潤泰新","29.8","+0.1","+0.34","08/19","-916","-7,029","-11,244","-9,834","-10,148","-20,758","+1,117","+23,133","-56,392","+24,987"
