"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1","4502","健信","15.7","0","0","26M05","1.26","0","21.9","1.25","99.8","0","0","0","0","0","1.26","0","21.9","1.25","99.8"
"2","3040","遠見","37.55","-0.45","-1.18","26M05","2.4","0","38.2","2.39","99.6","0.01","0","0.08","0","0","2.41","0","38.2","2.39","99.4"
"3","2530","華建","19.4","-0.1","-0.51","26M05","3.42","0","4.07","1.7","49.8","0.07","0","0.08","0","0","3.49","0","4.15","1.7","48.8"
"4","8341","日友","75.9","-0.5","-0.65","26M05","5.11","0","39.3","2.72","53.1","0","0","0","0","0","5.11","0","39.3","2.72","53.1"
"5","8476","台境*","20.1","+0.05","+0.25","26M05","1.38","+120","8.31","1.23","89.3","0","0","0","0","0","1.38","+120","8.31","1.23","89.3"
"6","2020","美亞","21.2","+0.2","+0.95","26M05","4.46","0","16.7","3.7","82.8","0","0","0","0","0","4.46","0","16.7","3.7","82.8"
"7","2424","隴華","8.86","-0.12","-1.34","26M05","0.17","0","2.82","0.17","100","0","0","0","0","0","0.17","0","2.82","0.17","100"
"8","7723","築間","20.1","-0.4","-1.95","26M05","0.82","0","16.6","0.63","76.2","0","0","0","0","0","0.82","0","16.6","0.63","76.2"
"9","3339","泰谷","37.2","-0.85","-2.23","26M05","0.57","-498","8.61","0.5","87.2","0","0","0","0","0","0.57","-498","8.61","0.5","87.2"
"10","6126","信音","30","-0.45","-1.48","26M05","1.23","0","9.51","1.07","86.6","0","0","0","0","0","1.23","0","9.51","1.07","86.6"
"11","4523","永彰","24.5","-0.2","-0.81","26M05","2.8","+82.6","43.1","1.77","63.2","0","0","0","0","0","2.8","+82.6","43.1","1.77","63.2"
"12","2514","龍邦","12.1","-0.15","-1.22","26M05","13.4","+359","33.9","11.5","85.7","0","0","0","0","0","13.4","+359","33.9","11.5","85.7"
"13","3615","安可","38.65","+1.6","+4.32","26M05","0.78","0","11.3","0","0","0","0","0","0","0","0.78","0","11.3","0","0"
"14","2740","華軒","30.75","+0.5","+1.65","26M05","0.43","0","25.8","0.37","85","0","0","0","0","0","0.43","0","25.8","0.37","85"
"15","2528","皇普","20.15","-0.25","-1.23","26M05","18.4","-240","42.2","15.1","82","0","0","0","0","0","18.4","-240","42.2","15.1","82"
"16","3312","弘憶股","55.1","-1.7","-2.99","26M05","5.73","0","31.4","4.8","83.8","0","0","0","0","0","5.73","0","31.4","4.8","83.8"
"17","1718","中纖","10.95","-0.05","-0.45","26M05","9.63","0","5.71","8.06","83.6","0","0","0","0","0","9.63","0","5.71","8.06","83.6"
"18","6111","光聚晶電","37.25","-0.1","-0.27","26M05","2.4","0","22","1.79","74.7","0","0","0","0","0","2.4","0","22","1.79","74.7"
"19","6179","亞通","27.05","-0.3","-1.1","26M05","1.07","+20","6.05","0.86","80.3","0","0","0","0","0","1.07","+20","6.05","0.86","80.3"
"20","3338","泰碩","63.8","-0.8","-1.24","26M05","1.71","+2,201","19.4","1.4","81.6","0","0","0","0","0","1.71","+2,201","19.4","1.4","81.6"
