排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1,00640L,富邦日本正2,107.25,0.75,0.7,26W29,07/17,83.3,-0.34,83.3,-0.34,16.7,0.34
2,00783,富邦中証500,29.07,0.77,2.72,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
3,0057,富邦摩台,306.15,-2.9,-0.94,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
4,00643K,群益深証中小+R,3.97,0.0,0.0,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
5,00728,第一金工業30,63.65,0.4,0.63,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
6,00847B,中信美國市政債,25.3,-0.23,-0.9,26W29,07/17,46.5,0.0,57.9,0.0,42.1,0.0
7,006204,永豐臺灣加權,220.7,-1.05,-0.47,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
8,00678,群益那斯達克生技,41.0,0.03,0.07,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
9,00703,台新MSCI中國,20.14,-0.01,-0.05,26W29,07/17,91.2,-0.2,100.0,0.0,0.0,0.0
10,00731,復華富時高息低波,91.0,0.5,0.55,26W29,07/17,82.4,-2.84,89.8,0.9,10.2,-0.9
11,0051,元大中型100,139.7,-1.5,-1.06,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
12,00657,國泰日經225,77.65,-0.2,-0.26,26W29,07/17,86.6,5.65,100.0,19.1,0.0,-19.1
13,00657K,國泰日經225+U,24.01,-0.17,-0.7,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
14,00668K,國泰美國道瓊+U,19.69,-0.17,-0.86,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
15,00860B,群益1-5Y投資級債,38.81,-0.03,-0.08,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
16,8349A,恒耀甲特,45.25,-0.05,-0.11,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
17,00636K,國泰中國A50+U,8.9,0.13,1.48,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
18,00899,FT潔淨能源,23.79,0.04,0.17,26W29,07/17,95.0,0.08,100.0,0.0,0.0,0.0
19,006207,復華滬深,33.45,0.5,1.52,26W29,07/17,94.4,-5.62,94.4,-5.62,5.62,5.62
20,00886,永豐美國科技,46.46,0.52,1.13,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
21,00625K,富邦上証+R,8.59,0.0,0.0,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
22,00793B,群益AAA-A醫療債,30.58,0.0,0.0,26W29,07/17,100.0,0.0,100.0,0.0,0.0,0.0
23,00961,FT臺灣永續高息,13.04,-0.01,-0.08,26W29,07/17,95.7,-0.96,96.4,-0.94,3.86,0.44
24,00861,元大全球未來通訊,86.95,-0.1,-0.11,26W29,07/17,96.7,-1.47,96.7,-1.47,3.31,1.47
25,009822,華南永昌未來金融,9.57,-0.14,-1.44,26W29,07/17,93.2,1.62,94.1,1.65,5.89,-1.65
26,4951,精拓科,79.0,-1.5,-1.86,26W29,07/17,87.1,0.0,95.5,0.0,4.48,0.0
27,009804,聯邦台精彩50,21.5,-0.14,-0.65,26W29,07/17,96.3,-1.28,98.2,-1.6,2.06,0.96
28,00944,野村趨勢動能高息,20.26,-0.21,-1.03,26W29,07/17,93.3,0.69,94.8,2.22,5.21,-2.22
29,00737,國泰AI機器人,40.48,-0.24,-0.59,26W29,07/17,91.3,0.02,95.1,0.0,4.88,0.0
30,00939,統一台灣高息動能,22.25,0.12,0.54,26W29,07/17,93.9,0.06,94.6,0.14,5.38,-0.14
31,3141,晶宏,79.0,0.6,0.77,26W29,07/17,92.2,0.02,94.8,0.0,5.21,0.0
