"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"65","2855","統一證","48.55","+0.75","+1.57","08/27","+2,252","+4,399","+10,318","+19,015","+29,751","+61,225","+291,036","+303,239","+276,143","+298,327"
"66","6442","光聖","1615","+20","+1.25","08/27","+8,336","+15,530","+15,530","+19,006","+40,537","+220,990","+296,827","+321,373","+118,389","+134,066"
"67","5388","中磊","77.5","0","0","08/27","+242","+2,987","+8,930","+18,705","+61,019","+78,242","+81,461","+71,243","+160,009","+119,041"
"68","2484","希華","76.1","-0.5","-0.65","08/27","+9,624","+18,438","+17,792","+18,043","-3,790","-3,701","+7,957","+22,902","+35,956","+34,594"
"69","8033","雷虎","189.5","-9.5","-4.77","08/27","+4,456","+9,556","+19,123","+17,961","+23,121","+29,933","-53,152","-20,629","-783","-32,808"
"70","2615","萬海","111.5","-2","-1.76","08/27","+34,031","-22,192","-37,453","+17,685","+42,462","-71,579","-273,483","-370,079","-639,899","-235,157"
"71","00712","復華富時不動產","8.73","-0.02","-0.23","08/27","+17,029","+17,029","+17,029","+17,029","+9,574","+9,552","+10,972","+2,569","-2,004","+15,480"
"72","00403A","主動統一升級50","10.36","+0.11","+1.07","08/27","+211","-1,318","+5,800","+16,587","+36,230","-26,709","+108,525","","",""
"73","2374","佳能","69","-0.1","-0.14","08/27","+3,141","+4,680","+7,383","+16,552","+13,345","+1,975","+29,605","+52,852","+147,837","+960"
"74","6789","采鈺","461","-1.5","-0.32","08/27","+11,070","+11,785","+10,477","+16,252","+12,394","-31,163","-258,494","-36,851","-43,597","-63,455"
"75","6282","康舒","45.3","+0.15","+0.33","08/27","+1,419","+2,975","+6,530","+16,225","+19,204","+29,595","+121,194","+119,637","+120,759","-16,461"
"76","4749","新應材","790","+1","+0.13","08/27","+7,774","+7,925","+11,100","+16,182","+22,147","+9,863","+331,696","+158,314","+438,921","+221,110"
"77","3376","新日興","217","+7","+3.33","08/27","-872","-178","+2,922","+16,052","-17,294","-25,372","+43,093","+22,454","+30,565","+144,981"
"78","6446","藥華藥","1545","-15","-0.96","08/27","-1,752","-8,851","+1,680","+15,900","+10,212","-19,443","+56,859","-12,758","-594,657","-509,233"
"79","6213","聯茂","582","+19","+3.37","08/27","+6,742","+8,872","+5,119","+15,797","-82,004","-77,291","-160,715","-15,843","-55,377","-99,462"
"80","2489","瑞軒","40.2","+0.15","+0.37","08/27","+764","-2,427","+5,943","+15,675","+12,224","+16,060","-28,760","+128,222","+132,127","+131,199"
"81","3042","晶技","188.5","-3.5","-1.82","08/27","-4,433","+681","-769","+15,377","+53,389","+17,168","+226,432","+214,105","+185,898","+146,428"
"82","8086","宏捷科","117.5","-0.5","-0.42","08/27","+1,817","+8,054","+8,883","+14,312","+24,781","+31,955","-5,463","-38,423","-9,375","-22,327"
"83","2363","矽統","51.8","+1.1","+2.17","08/27","+2,501","+2,271","+5,164","+13,765","+14,056","+7,122","+81,809","-29,561","+27,863","-38,930"
"84","6257","矽格","219","+15","+7.35","08/27","+6,570","+7,769","+10,156","+13,756","+19,819","+36,314","-195,518","-129,294","-112,184","-148,479"
"85","4971","IET-KY","568","+1","+0.18","08/27","-445","-887","-1,257","+12,738","+39,789","+55,788","+48,986","+82,777","+54,829","+70,229"
"86","6415","矽力*-KY","458","-12.5","-2.66","08/27","+11,265","+21,865","+23,023","+12,010","-510","+39,573","-438,193","-595,835","-375,560","-214,783"
"87","9958","世紀鋼","92.2","-1.9","-2.02","08/27","+4,853","+5,176","+8,406","+11,773","+32,501","+4,971","+54,662","+57,798","+94,936","+96,081"
"88","3227","原相","197","-1","-0.51","08/27","-237","+255","+1,710","+11,464","+1,141","-29,939","+2,215","-95,037","-18,970","-8,583"
"89","2352","佳世達","28.2","+0.2","+0.71","08/27","+971","+4,900","+11,211","+11,345","+25,495","+16,439","+182,014","+177,386","+211,891","+204,357"
"90","2618","長榮航","41.8","-0.95","-2.22","08/27","+3,072","+5,348","+6,202","+11,051","-14,075","-81,058","-835,473","-219,713","-316,316","-648,303"
"91","00646","元大S&P500","76.85","-0.1","-0.13","08/27","+77","+8,449","+9,187","+10,930","+35,889","+49,183","-15,730","+96,986","+91,050","+90,082"
"92","9914","美利達","83.1","-1.3","-1.54","08/27","+1,840","+6,097","+8,459","+10,441","+44,254","+68,760","+50,771","+69,896","+57,862","+68,254"
"93","7734","印能科技","2995","+125","+4.36","08/27","+8,323","+10,138","+10,420","+10,414","+10,675","+25,453","+31,565","-412","+11,479","+6,290"
"94","2481","強茂","154","+7.5","+5.12","08/27","+1,973","+994","+5,360","+10,275","+56,282","+80,212","+38,044","-4,294","-43,505","-216,868"
"95","2049","上銀","354","-5.5","-1.53","08/27","-4,932","-2,973","-5,018","+10,269","+38,929","-5,522","-147,983","-377,723","-490,386","-466,699"
"96","6727","亞泰金屬","537","+17","+3.27","08/27","+963","+3,662","+4,441","+9,953","+24,083","+27,976","+43,038","+43,272","+47,807","+46,186"
"97","4915","致伸","59.6","-0.2","-0.33","08/27","+3,269","+4,440","+9,284","+9,418","+27,504","+28,714","+137,616","+245,138","+256,287","+244,483"
"98","2360","致茂","2010","+20","+1.01","08/27","-6,865","+1,063","+13,309","+9,108","+67,678","+124,923","-433,952","-498,139","-374,135","-634,821"
"99","2476","鉅祥","125.5","-1","-0.79","08/27","-37.9","+384","+3,601","+9,104","+13,228","+3,472","+15,068","+7,779","-50,703","+2,072"
"100","6191","精成科","84.7","+1.6","+1.93","08/27","+1,179","+769","+2,762","+9,097","+9,219","+3,829","+49,614","+202,643","+347,402","+165,403"
"101","8103","瀚荃","108.5","-5.5","-4.82","08/27","+2,651","+3,142","+6,135","+8,906","+9,191","+10,290","+7,948","+14,929","+20,001","+21,586"
"102","8043","蜜望實","148","+6","+4.23","08/27","+1,262","+2,631","+3,909","+8,858","+7,835","-575","-2,016","+5,438","+4,195","+6,461"
"103","7751","竑騰","1790","-195","-9.82","08/27","+2,310","+3,768","+3,768","+8,716","+14,396","+18,074","+25,915","+18,613","","+19,320"
"104","3374","精材","386","+35","+9.97","08/27","-18,708","-20,023","-11,217","+8,292","+71,566","+199,010","+173,819","+185,878","-43,999","+96,717"
"105","1301","台塑","62.7","-0.4","-0.63","08/27","-4,513","-5,814","-5,047","+8,242","-7,169","+8,271","-597,581","-922,639","-1,214,498","-1,091,920"
"106","6125","廣運","51","-0.3","-0.58","08/27","+1,111","+1,978","+3,944","+7,948","+12,832","+10,348","-11,290","-40,162","-36,268","-38,961"
"107","2351","順德","239.5","-0.5","-0.21","08/27","+4,365","+4,300","+5,745","+7,905","+12,246","-7,187","-44,907","-22,867","-37,888","-53,798"
"108","4123","晟德","31.7","-0.15","-0.47","08/27","+2,274","+4,310","+5,798","+7,815","+9,481","+13,330","+11,144","+74,492","+74,233","+57,659"
"109","2605","新興","35.05","+0.65","+1.89","08/27","+967","+4,013","+6,543","+7,623","+7,572","+7,731","-7,037","+6,956","+1,727","-20,957"
"110","5351","鈺創","116","-0.5","-0.43","08/27","-4,193","-1,510","+1,107","+7,609","+4,152","-89,483","-71,973","-75,320","-139,078","-115,909"
"111","4967","十銓","273.5","-2","-0.73","08/27","+5,268","+1,429","+4,237","+7,256","+7,549","-47,774","-55,307","+13,084","+4,279","+16,842"
"112","8436","大江","125.5","-1","-0.79","08/27","+1,345","+2,140","+2,797","+7,234","+14,629","+21,789","+28,932","+39,820","+34,080","+32,481"
"113","3049","精金","13.5","+0.8","+6.3","08/27","+2,068","+3,896","+5,137","+6,910","+7,041","+7,041","+7,041","+7,041","+7,041","+7,041"
"114","6691","洋基工程","618","-7","-1.12","08/27","+946","+2,069","+3,116","+6,732","+14,948","+23,258","+29,634","+22,947","+33,083","+26,468"
"115","6451","訊芯-KY","453.5","+1.5","+0.33","08/27","-1,181","+1,751","+1,590","+6,643","+31,442","+38,682","-5,025","-7,554","-18,776","-18,098"
"116","3362","先進光","199.5","-5","-2.44","08/27","-567","-1,411","+20.4","+6,607","+13,528","+11,006","+29,486","+27,708","+38,503","+43,110"
"117","00406A","主動中信台灣收益","9.81","+0.11","+1.13","08/27","+146","+294","+1,736","+6,438","+9,451","+7,877","","","",""
"118","3152","璟德","248","-5","-1.98","08/27","+462","+2,051","+3,610","+6,274","+6,845","+7,849","-11,938","-35,977","-12,377","-22,107"
"119","00953B","群益優選非投等債","9.63","-0.05","-0.52","08/27","+1,700","+1,846","+2,820","+6,208","+10,567","+18,275","+7,904","+15,908","+40,437","+39,281"
"120","3265","台星科","186.5","+10","+5.67","08/27","-2,392","-1,821","-2,033","+6,177","+19,033","+16,713","+15,320","+16,425","+9,597","-3,498"
"121","2637","慧洋-KY","92.1","-2.5","-2.64","08/27","-5,542","-5,349","-1,205","+6,094","+12,896","+11,624","-28,481","-33,940","-224,977","-92,357"
"122","009826","貝萊德世界股票","10.13","-0.03","-0.3","08/27","0","+784","+1,114","+6,045","+13,115","","","","",""
"123","00685L","群益臺灣加權正2","11.96","+0.12","+1.01","08/27","-2,961","-2,961","+2,738","+5,924","+13,262","+38,901","+353,850","+382,972","+401,371","+385,052"
"124","8042","金山電","109","+4.5","+4.31","08/27","+1,910","+2,642","+3,513","+5,046","+12,133","+22,098","+28,512","+10,378","+19,396","+6,638"
"125","1708","東鹼","51","+0.3","+0.59","08/27","-146","-754","+303","+4,913","+5,020","+3,281","+52,093","+58,975","+54,472","+56,908"
"126","1711","永光","43.9","+0.4","+0.92","08/27","+4,282","+4,117","+2,915","+4,762","-747","-18,995","-12,904","+4,840","+37,371","+10,518"
"127","00918","大華優利高填息30","34.26","+0.14","+0.41","08/27","0","+304","+1,209","+4,592","+4,589","-18,624","-85,415","-36,315","-56,310","-135,673"
"128","3055","蔚華科","127.5","+3","+2.41","08/27","+2,603","+3,432","+3,858","+4,557","+13,558","+12,267","-10,079","-7,466","-15,930","-7,901"
"129","1707","葡萄王","89.3","-1.3","-1.43","08/27","+1,140","+1,978","+2,367","+4,382","+6,061","+15,803","+32,856","+44,193","+38,211","+43,500"
"130","6209","今國光","76.7","+0.2","+0.26","08/27","+1,522","+1,889","+1,653","+4,374","+4,026","+19,376","+36,410","+19,750","+43,605","+23,484"
"131","6538","倉和","200","-22","-9.91","08/27","+1,488","+3,099","+3,584","+4,319","+3,590","+5,796","+10,357","+11,116","+8,462","+10,790"
"132","6664","群翊","359.5","+4.5","+1.27","08/27","+1,106","+685","+719","+4,291","+72.4","-486","+17,049","+78,007","+60,537","+65,631"
"133","2436","偉詮電","67.5","+0.1","+0.15","08/27","+2,772","+2,995","+3,088","+4,277","+4,370","+2,591","-58,746","-28,840","-5,397","-27,793"
"134","1409","新纖","24.3","-0.7","-2.8","08/27","-757","-1,623","+1,647","+4,270","+10,993","+23,211","+133,620","+136,535","+95,460","+128,456"
"135","6409","旭隼","1030","-15","-1.44","08/27","+1,899","+2,319","+2,117","+4,246","+6,982","-4,290","+210,901","+371,376","+390,812","+402,759"
"136","3388","崇越電","96.3","+2","+2.12","08/27","+402","+1,998","+2,190","+4,148","+13,401","+11,495","+12,864","+26,554","+26,446","+26,649"
"137","6285","啟碁","247","+2","+0.82","08/27","+6,600","+6,861","+7,693","+4,065","-13,759","+7,528","+9,046","-224,073","-126,226","-230,368"
"138","8932","智通*","94.3","+6.8","+7.77","08/27","+459","+1,332","+1,859","+3,962","-11,859","+8,326","+67,418","","+110,344","+42,830"
"139","8027","鈦昇","185","+6","+3.35","08/27","+1,452","+1,115","+1,772","+3,962","-8,499","-26,142","+14,319","+17,683","+15,808","+31,052"
"140","6613","朋億*","275.5","+9.5","+3.57","08/27","+1,696","+2,619","+3,995","+3,944","+6,567","+12,896","+11,975","+4,915","+4,598","+2,355"
"141","6005","群益證","31.45","+0.35","+1.13","08/27","-922","-28.7","+1,641","+3,853","+1,047","+7,132","-150,664","-33,142","-71,719","-61,730"
"142","5608","四維航","16.7","-0.2","-1.18","08/27","+167","+54.6","+1,230","+3,736","+5,757","+4,899","+4,443","+7,366","-46.9","+3,859"
"143","2441","超豐","118.5","+4.5","+3.95","08/27","-253","+2,934","+225","+3,732","-12,682","+32,762","-100,855","-79,690","+26,046","-65,175"
"144","6712","長聖","161","-2","-1.23","08/27","+809","+1,079","+1,267","+3,708","+3,039","+3,835","+5,415","+23,407","+25,684","+29,056"
"145","3162","精確","72.6","-0.1","-0.14","08/27","+1,658","+3,267","+3,533","+3,607","+4,241","+6,909","+1,470","+3,743","+21,169","+7,302"
"146","6531","愛普*","895","-22","-2.4","08/27","+3,858","+3,136","+8,612","+3,593","-4,947","-7,410","+14,355","+4,075","-92,675","+25,041"
"147","6196","帆宣","492.5","-5","-1.01","08/27","-1,647","-1,298","+506","+3,561","+2,127","-23,359","-91,870","-74,998","-115,097","-45,570"
"148","8109","博大","130.5","0","0","08/27","+106","+493","+1,216","+3,540","+8,688","+9,934","+11,007","+11,122","+11,993","+10,246"
"149","3090","日電貿","174","+5.5","+3.26","08/27","+4,948","+4,948","+1,914","+3,539","+47,764","+120,917","+155,323","+88,253","+153,766","+102,188"
"150","2375","凱美","133","+2.5","+1.92","08/27","+667","+1,185","+1,780","+3,515","+12,983","+15,882","+3,088","+5,304","+15,592","-25,871"
"151","1712","興農","39.8","-0.05","-0.13","08/27","+620","+1,184","+1,748","+3,461","+6,720","+15,622","+32,363","+43,734","+42,952","+44,064"
"152","3131","弘塑","2485","-5","-0.2","08/27","+1,285","+2,262","+2,704","+3,402","-1,252","+2,036","-47,797","-106,374","-71,204","-101,804"
"153","4989","榮科","68.2","+1.9","+2.87","08/27","+2,828","+3,208","+3,441","+3,321","+4,010","+11,596","+19,159","+21,566","+33,733","+26,791"
"154","6271","同欣電","215","+5","+2.38","08/27","+501","+2,363","+1,701","+3,283","-4,088","+18,963","-8,159","-29,014","+18,113","+15,423"
"155","5464","霖宏","73.1","+2.1","+2.96","08/27","+732","+1,718","+2,198","+3,246","+4,947","+10,423","+12,103","+12,748","+12,607","+12,654"
"156","5471","松翰","61.7","+0.2","+0.33","08/27","+471","+1,761","+2,081","+3,241","+7,290","+13,745","+28,811","+37,911","+41,139","+37,893"
"157","4908","前鼎","190","-5.5","-2.81","08/27","+2,400","+3,959","+4,020","+3,231","+3,477","+3,176","-10,082","-7,705","-2,522","-5,461"
"158","3019","亞光","138.5","+0.5","+0.36","08/27","+3,924","+4,823","+6,687","+3,223","+8,784","-8,005","-55,457","-113,764","-60,509","-36,696"
"159","6719","力智","194.5","0","0","08/27","+782","+431","+2,002","+3,127","+6,592","+8,742","+8,398","+54,725","+58,280","+63,948"
"160","6588","東典光電","112","+1.5","+1.36","08/27","+334","+2,399","+2,399","+3,114","+3,243","+3,698","+3,723","+12,732","","+11,283"
"161","3605","宏致","131","+11.5","+9.62","08/27","+552","+2,510","+4,373","+3,030","+1,482","-1,410","-44,099","-40,491","-14,896","-33,944"
"162","00934","中信成長高股息","29.61","+0.15","+0.51","08/27","+133","+901","+1,829","+2,952","+3,628","+3,581","+3,715","+1,904","-6,804","+3,063"
"163","00720B","元大投資級公司債","31.93","-0.19","-0.59","08/27","+1,606","+1,098","+1,104","+2,834","+5,636","+5,568","+5,658","+5,620","-5,431","-314"
"164","2231","為升","92.9","-2.1","-2.21","08/27","-19","+579","+1,419","+2,799","+5,360","+1,386","+1,972","+3,553","+17,102","+729"
"165","6640","均華","1060","-15","-1.4","08/27","+747","+2,554","+2,077","+2,775","+5,922","+4,095","+16,366","+1,672","+2,925","-768"
"166","1515","力山","34.7","-0.7","-1.98","08/27","+842","+1,018","+1,217","+2,772","+9,998","+7,569","+8,893","+10,845","+9,811","+11,664"
"167","5434","崇越","529","-4","-0.75","08/27","+374","+639","+896","+2,744","-33,582","-20,282","+132,624","+54,579","+101,926","+23,342"
"168","2385","群光","108","0","0","08/27","+3,413","+4,586","+3,360","+2,736","-2,603","+19,933","-25,592","+248,226","+445,130","+393,405"
"169","4916","事欣科","102.5","-1","-0.97","08/27","-594","+110","+1,100","+2,733","+7,725","+23,574","+28,738","+7,671","+17,045","-4,677"
"170","00751B","元大AAA至A公司債","30.47","-0.2","-0.65","08/27","+1,612","+1,829","+1,854","+2,703","+7,088","+11,960","+13,450","-1,398","-19,231","-8,771"
"171","3479","安勤","129","0","0","08/27","+209","+745","+1,774","+2,686","+3,484","+3,962","+12,834","+16,870","+23,922","+21,779"
"172","6469","大樹","68.4","-0.7","-1.01","08/27","+326","+526","+841","+2,683","+6,664","+12,523","+3,429","-7,850","+32,859","+22,287"
"173","1316","上曜","11.15","-0.6","-5.11","08/27","+758","+1,209","+1,644","+2,670","+1,530","+984","+3,409","+2,548","-21,873","+1,936"
"174","00670L","富邦NASDAQ正2","200.8","+1.7","+0.85","08/27","+2,494","+2,612","+2,612","+2,612","+3,577","+170","-50,135","-50,155","+40,309","-5,331"
"175","1810","和成","25.25","-0.65","-2.51","08/27","+138","+317","+625","+2,553","+7,329","+8,472","+23,526","+18,329","+23,046","+15,405"
"176","2106","建大","16.85","-0.25","-1.46","08/27","+598","+1,003","+1,476","+2,537","+3,484","+6,021","+4,444","+12,707","+12,383","+13,631"
"177","6449","鈺邦","237","+4","+1.72","08/27","+1,004","+3,205","+2,948","+2,447","+3,015","+5,644","-1,694","-23,467","-19,064","-23,493"
"178","3526","凡甲","286","+4.5","+1.6","08/27","-198","-85.9","+1,506","+2,433","+2,921","+2,821","-2,501","-11,819","-13,660","-19,820"
"179","2612","中航","60.2","-1.8","-2.9","08/27","+394","+1,741","+2,001","+2,378","+2,063","+1,171","-109","+442","+7,963","-10,552"
"180","4566","時碩工業","65.7","-1","-1.5","08/27","+604","+778","+1,506","+2,360","+259","-924","+1,390","+3,147","+2,795","-366"
"181","009805","台新美國電力基建","15.25","-0.16","-1.04","08/27","0","+100","+176","+2,286","+2,286","+1,862","-15,263","-15,597","+1,385","-2,761"
"182","5498","凱崴","58.1","+4.8","+9.01","08/27","+435","+190","+503","+2,243","+615","-3,888","-4,973","+21,855","+23,671","+26,014"
"183","1727","中華化","98.1","+1.2","+1.24","08/27","+474","+1,319","+1,474","+2,224","+4,843","-4,241","-5,724","+6,321","-3,904","+293"
"184","1104","環泥","26.45","-0.15","-0.56","08/27","+450","+962","+1,111","+2,174","+4,160","+5,688","+22,914","+31,384","+23,945","+31,363"
"185","3617","碩天","243.5","-5","-2.01","08/27","+99.3","+274","+1,444","+2,145","-2,204","-11,503","-11,819","-14,133","-30,771","-43,245"
"186","4736","泰博","124.5","0","0","08/27","+74.1","+613","+1,467","+2,108","-92.3","-86.9","-7,270","+2,268","-6,093","-785"
"187","6291","沛亨","400.5","-16.5","-3.96","08/27","+1,040","+1,119","+1,082","+2,064","+1,145","+2,258","-4,090","+2,397","+5,980","-2,346"
"188","3217","優群","137.5","-0.5","-0.36","08/27","+179","+179","+1,070","+2,058","+6,529","+4,797","+13,051","+41,362","+54,606","+48,099"
"189","3704","合勤控","42","-0.45","-1.06","08/27","+546","+1,276","+1,928","+2,047","+3,609","+3,780","-7,721","-66,284","-4,621","-46,821"
"190","3209","全科","51.9","+0.5","+0.97","08/27","+1,285","+2,155","+2,650","+2,040","+2,158","+6,150","+12,170","+12,553","+2,343","+10,529"
"191","3703","欣陸","19.4","-0.25","-1.27","08/27","+661","+1,241","+1,579","+2,010","+5,457","+10,504","+4,820","+19,888","+18,323","+18,650"
"192","2388","威盛","73.3","+0.8","+1.1","08/27","-866","+288","+928","+2,003","-9,742","-60,691","-21,006","-75,403","-36,503","-53,837"
"193","3702","大聯大","100","-1.5","-1.48","08/27","-133","+10,087","+3,868","+1,989","+1,188","+34,138","-176,917","+46,165","-27,326","+35,160"
