"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"236","3006","晶豪科","269.5","-4.5","-1.64","08/27","-5,646","-3,943","-2,335","+1,164","-2,480","-16,606","-17,984","-32,808","-122,354","-80,998"
"237","5309","系統電","54.2","-0.5","-0.91","08/27","+1,778","+1,783","+1,464","+1,157","+1,395","+270","+27,374","+35,830","+48,643","+35,114"
"238","9925","新保","39.85","+0.05","+0.13","08/27","+515","+634","+570","+1,121","+3,615","+8,291","+6,225","+11,310","+15,983","+15,211"
"239","1218","泰山","14.55","-0.05","-0.34","08/27","+381","+674","+830","+1,117","+2,588","+5,992","+13,010","+6,219","+12,195","+4,623"
"240","6706","惠特","124","0","0","08/27","+1,426","+1,166","+866","+1,112","-4.59","-2,066","+26,290","-10,840","-6,294","-21,081"
"241","00931B","統一美債20年","13.06","-0.11","-0.84","08/27","+697","+697","+976","+1,107","+1,596","+2,900","+3,310","-2,576","-3,618","-7,704"
"242","8028","昇陽半導體","249","+0.5","+0.2","08/27","-448","+822","-381","+1,105","-8,115","-5,209","-14,431","-206,984","-156,501","-235,463"
"243","3010","華立","127","-2","-1.55","08/27","-142","+193","+869","+1,098","-9,910","-6,343","-26,200","-11,420","-36,969","-18,677"
"244","4956","光鋐","36.95","+0.95","+2.64","08/27","+424","+842","+1,026","+1,086","+476","+738","+1,382","-1,101","-477","-1,631"
"245","6937","天虹","292.5","+11.5","+4.09","08/27","+55.8","+218","+449","+1,077","+2,014","+3,276","+2,237","-14,505","+5,023","-10,963"
"246","006208","富邦台50","245.1","+1.95","+0.8","08/27","0","+1,039","+1,109","+1,062","+3,285","-67,967","-105,654","-37,193","-213,546","-52,584"
"247","0056","元大高股息","53.85","+0.25","+0.47","08/27","+539","-751","+8,659","+1,042","-55,264","-293,020","-383,367","-287,668","+48,887","-518,861"
"248","2365","昆盈","30","-0.4","-1.32","08/27","+174","+256","+612","+1,033","-190","-113","-813","-7,839","-7,332","-8,572"
"249","6215","和椿","98.4","+0.2","+0.2","08/27","+360","+449","+816","+1,021","+1,367","+2,643","+4,277","+632","+16,206","-3,160"
"250","7714","創泓科技","174.5","-9.5","-5.16","08/27","+55.7","+199","+267","+1,016","+1,686","+1,795","+2,805","+2,887","","+3,329"
"251","6127","九豪","50.8","-0.1","-0.2","08/27","+238","+253","+281","+1,014","+2,528","+2,796","-1,200","+2,560","+3,698","+2,410"
"252","00980A","主動野村臺灣優選","24.83","+0.12","+0.49","08/27","0","+77.6","+77.6","+1,010","+1,747","+7,533","+5,584","+11,527","+13,932","+10,416"
"253","5263","智崴","99.5","+0.5","+0.51","08/27","+157","+220","+379","+1,009","+952","+324","-1,606","-3,444","+2,338","+6,441"
"254","6477","安集","37.05","-1.1","-2.88","08/27","+125","+283","+584","+1,006","+5,093","+6,213","+4,949","+4,695","-1,943","+1,449"
"255","7786","東方風能","120","+1","+0.84","08/27","+263","+588","+817","+1,000","+1,433","+1,803","+7,700","","",""
"256","7828","創新服務","1800","+150","+9.09","08/27","+1,328","+2,106","+2,106","+975","-629","+802","","","",""
"257","3402","漢科","122.5","0","0","08/27","+245","+269","+388","+966","+2,656","+5,820","-11,803","-3,626","+18,416","+5,637"
"258","6903","巨漢","317","+3","+0.96","08/27","-694","-601","-151","+959","+554","+962","-1,076","+5,620","+8,196","+5,558"
"259","2332","友訊","20.4","+0.1","+0.49","08/27","-130","+1,554","-277","+956","+4,480","+25,895","+56,153","+57,013","+42,083","+56,410"
"260","6532","瑞耘","89.2","-1.4","-1.55","08/27","+9.07","+9.07","+497","+943","+1,564","+2,453","+2,385","+11,700","+9,164","+10,876"
"261","6121","新普","405.5","-3.5","-0.86","08/27","0","+198","+237","+940","-839","-15,021","-66,347","-13,293","+2,297","-19,157"
"262","3540","曜越","23.2","-0.7","-2.93","08/27","+167","+365","+532","+934","+904","+982","+68.3","+2,535","+2,597","+3,864"
"263","0053","元大電子","243.5","+1.95","+0.81","08/27","0","+23.9","+444","+921","+921","+841","+1,487","+1,487","+1,253","+1,294"
"264","6499","益安","75.3","+6.8","+9.93","08/27","+459","+495","+618","+917","-251","-1,378","+2,761","+3,548","+5,927","-1,370"
"265","00995A","主動中信台灣卓越","17.45","+0.32","+1.87","08/27","+224","+224","+712","+913","+950","+937","+2,612","+5,235","",""
"266","3014","聯陽","131.5","-0.5","-0.38","08/27","-39.6","-514","-75.5","+900","+5,383","+27,572","+114,093","+120,537","+149,518","+124,986"
"267","2425","承啟","38.3","+0.35","+0.92","08/27","-7.6","-19","+176","+899","+1,537","+6,544","+8,100","+6,140","+3,708","+3,449"
"268","5234","達興材料","303.5","+1.5","+0.5","08/27","+577","+1,718","+229","+895","-715","+7,197","+49,727","+61,331","-4,835","+52,066"
