排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
1,00719B,元大美債1-3,31.45,-0.02,-0.06,26W26,06/26,59.1,0.53,58.3,0.94,56.7,0.67
2,4989,榮科,65.7,-2.0,-2.95,26W26,06/26,21.3,-0.44,19.8,1.99,17.9,0.79
3,00657,國泰日經225,77.65,-0.2,-0.26,26W26,06/26,15.8,1.16,15.8,1.16,15.8,15.8
4,00989B,台新美國非投等債,10.26,0.0,0.0,26W26,06/26,50.2,2.01,48.9,2.01,45.4,2.01
5,009826,貝萊德世界股票,10.22,-0.06,-0.58,,,,,,,,
6,00982T,平衡兆豐台美動能,15.24,0.0,0.0,26W26,06/26,30.7,2.13,26.6,2.13,21.7,7.28
7,00689R,國泰20年美債反1,22.9,0.19,0.84,26W26,06/26,69.6,1.64,59.3,1.46,59.3,1.46
8,00666R,富邦恒生國企反1,9.02,-0.02,-0.22,26W26,06/26,85.0,1.69,85.0,1.69,85.0,1.69
9,00731,復華富時高息低波,91.0,0.5,0.55,26W26,06/26,19.3,-2.5,16.4,-2.51,16.4,0.89
10,00799B,國泰A級醫療債,29.35,-0.21,-0.71,26W26,06/26,20.0,2.73,20.0,5.32,16.1,5.32
11,00676R,富邦臺灣加權反1,5.77,0.04,0.7,26W26,06/26,33.9,-1.28,30.2,-0.83,26.1,-0.76
12,00401A,主動摩根台灣鑫收,13.23,-0.16,-1.19,26W26,06/26,23.6,-3.01,23.4,-2.99,22.6,-3.35
13,8996,高力,1045.0,-90.0,-7.93,26W26,06/26,41.9,-3.18,38.3,-1.05,34.6,3.01
14,00986B,FT金融債10+,9.72,-0.03,-0.31,26W26,06/26,80.2,0.36,77.2,0.36,77.2,0.36
15,009817,國泰日本不動產,9.19,-0.04,-0.43,26W26,06/26,20.3,-1.7,18.8,-1.73,17.3,-2.15
16,00715L,期街口布蘭特正2,43.02,4.54,11.8,26W26,06/26,34.4,-3.19,33.3,-1.49,32.7,-2.12
17,00983B,大華優利美公債20,15.36,-0.15,-0.97,26W26,06/26,55.6,5.66,53.6,3.65,50.4,3.68
18,6271,同欣電,193.5,1.5,0.78,26W26,06/26,52.4,4.72,47.8,4.06,46.9,5.44
19,00664R,國泰臺灣加權反1,1.68,0.01,0.6,26W26,06/26,50.0,0.67,44.1,0.67,39.1,0.25
20,5475,德宏,123.5,0.5,0.41,26W26,06/26,37.9,-0.05,35.7,0.49,35.7,1.25
21,00928,中信上櫃ESG30,31.55,-0.87,-2.68,26W26,06/26,32.5,1.06,32.5,1.06,32.5,3.87
22,00686R,群益臺灣加權反1,1.02,0.01,0.99,26W26,06/26,54.6,0.55,48.7,0.78,42.9,-0.98
23,00675L,富邦臺灣加權正2,292.0,-1.0,-0.34,26W26,06/26,18.2,-2.02,16.2,-1.64,15.2,-2.58
24,00642U,期元大S&P石油,25.8,1.16,4.71,26W26,06/26,36.5,0.98,35.1,1.06,34.3,1.02
