項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),320817,369115,3982,8867616,8815336
融券(交易單位),31363,18959,1359,218218,204455
融資金額(仟元),32136523,34919052,307764,550101672,547011379
