排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,8342,益張,91.0,0.0,0.0,07/14,-100.0,-98.9,-98.9,-45.1,-30.7,-8.33,0.46,0.0,-0.14,-0.1,,0.12
2,00836B,永豐10年A公司債,28.63,0.0,0.0,07/14,0.0,0.0,-96.2,-67.5,11.2,2.47,-4.3,6.4,83.3,82.6,,83.3
3,00793B,群益AAA-A醫療債,30.66,-0.14,-0.45,07/14,-99.8,-97.5,-92.6,-17.2,-7.78,-7.37,-0.5,-1.97,-0.55,-0.31,,-1.89
4,00968B,元大優息投等債,9.22,-0.02,-0.22,07/14,-92.0,-91.9,-87.7,-75.4,-19.1,-5.0,8.06,2.32,34.4,,,4.87
5,00943,兆豐電子高息等權,21.89,-0.41,-1.84,07/14,-67.0,-58.7,-81.8,-74.7,-46.9,-37.5,15.8,21.9,12.6,,,21.4
6,00761B,國泰A級公司債,34.25,-0.05,-0.15,07/14,-51.0,-82.6,-79.6,-61.0,-11.9,3.66,-0.72,37.9,26.5,33.0,,37.7
7,2941,米斯特,31.45,-1.0,-3.08,07/14,-50.0,-49.4,-74.5,0.0,-5.83,-2.33,0.35,0.0,-0.04,,,0.49
8,1102,亞泥,34.2,-0.7,-2.01,07/14,-70.4,-74.4,-73.0,-69.0,-5.83,-3.18,-10.6,-12.5,-13.8,-3.24,-2.12,-13.2
9,00933B,國泰10Y+金融債,16.0,-0.06,-0.37,07/14,-72.8,-73.1,-66.5,-54.3,-24.8,17.5,20.8,37.2,29.6,,,36.6
10,00982B,FT投資級債20+,9.8,-0.03,-0.31,07/14,-16.2,-74.8,-65.8,-60.6,-10.8,-11.1,33.4,18.7,5.13,,,17.2
11,00780B,國泰A級金融債,37.33,-0.13,-0.35,07/14,-81.9,-72.2,-65.2,-59.1,-39.5,-17.0,-7.6,63.3,72.3,52.5,,62.4
12,00786B,元大10年IG銀行債,32.71,-0.17,-0.52,07/14,-3.12,-69.4,-64.2,-40.4,-13.5,-9.25,-6.51,-13.7,-13.1,1.98,,-17.6
13,00723B,群益投資級科技債,30.49,-0.08,-0.26,07/14,-23.7,-61.9,-64.0,-34.5,-5.04,0.35,-2.27,-4.49,-1.68,41.1,,-3.62
14,00937B,群益ESG投等債20+,14.77,-0.02,-0.14,07/14,-38.4,-66.5,-61.8,-52.5,-31.6,8.68,25.6,17.6,16.6,,,19.9
15,00687B,國泰20年美債,27.78,-0.05,-0.18,07/14,-55.8,-47.3,-61.7,-55.3,13.8,28.4,24.7,24.3,23.5,6.39,,28.8
16,00969B,元大零息超長美債,8.3,-0.01,-0.12,07/14,-88.5,-68.0,-60.3,-48.4,-34.0,-28.6,-23.2,4.17,1.68,,,4.21
17,00948B,中信優息投資級債,9.43,-0.01,-0.11,07/14,-22.8,-71.8,-59.9,-41.4,-19.7,52.1,50.6,51.3,50.8,,,50.8
