排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
901,3167,大量,645.0,58.0,9.88,2026,4.85,4.85,14.6,11.9,9.58,9.35,3.58,0.17,67.4,-26.3,0,0.0
902,3168,眾福科,42.75,1.6,3.89,2026,0.0,0.0,1.19,0.13,0.64,0.64,48.8,1.74,49.4,-2.51,0,0.0
903,3169,亞信,103.0,2.0,1.98,2026,0.0,0.0,2.92,0.02,0.83,0.02,25.6,0.65,70.6,-0.69,0,0.0
904,3176,基亞,33.5,1.85,5.85,2026,0.0,0.0,4.46,0.57,0.0,0.0,15.8,0.06,79.8,-0.63,0,0.0
905,3178,公準,57.6,0.6,1.05,2026,0.0,0.0,0.9,-0.19,0.05,0.03,40.4,0.53,58.7,-0.37,0,0.0
906,3188,鑫龍騰,23.1,0.0,0.0,2026,0.0,0.0,1.78,0.77,0.03,0.0,42.3,0.22,55.9,-0.99,0,0.0
907,3191,雲嘉南,18.8,0.05,0.27,2026,0.0,0.0,0.06,0.01,0.0,0.0,3.46,-0.01,96.5,0.0,0,0.0
908,3205,佰研,47.95,0.5,1.05,2026,0.0,0.0,1.29,-9.29,0.0,0.0,27.7,17.4,71.1,-8.09,0,0.0
909,3206,志豐,32.95,-0.2,-0.6,2026,0.01,0.01,1.87,-1.23,0.37,0.14,33.7,3.0,64.1,-1.9,0,0.0
910,3209,全科,58.7,0.6,1.03,2026,0.0,0.0,14.9,9.24,3.91,0.32,3.49,0.23,77.7,-9.8,0,0.0
911,3213,茂訊,134.5,5.5,4.26,2026,0.0,0.0,3.39,-4.65,0.21,0.13,6.53,-0.33,89.9,4.85,0,0.0
912,3217,優群,143.5,2.5,1.77,2026,0.0,0.0,4.63,-4.84,4.84,-1.59,22.3,0.38,68.2,6.04,0,0.0
913,3218,大學光,140.0,4.0,2.94,2026,0.41,0.31,5.12,-4.48,0.28,-0.51,28.0,-0.1,66.2,4.78,0,0.0
914,3219,倚強科,65.0,2.7,4.33,2026,0.0,0.0,0.98,0.33,0.08,0.05,79.6,-3.09,19.3,2.71,0,0.0
915,3221,台嘉碩,47.65,0.65,1.38,2026,0.0,0.0,3.47,-0.68,2.26,-0.12,7.16,0.62,87.1,0.22,0,-0.03
916,3226,龍鋒,51.4,0.3,0.59,2026,0.0,0.0,0.04,-0.07,0.0,0.0,67.3,0.03,32.6,0.05,0,0.0
917,3227,原相,209.5,4.0,1.95,2026,0.58,-5.84,15.2,-13.0,12.3,-1.55,10.9,-0.18,61.1,20.6,0,0.0
918,3228,金麗科,145.5,0.5,0.34,2026,0.0,0.0,6.78,-0.82,0.15,-0.4,2.2,0.8,90.9,0.42,0,0.0
