" "," ","#","股票代號/名稱","類別","20260123","0130","0206","0211","0226","0306"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","44","1708東鹼","化學","0.24","0.84","0.76","0.30","0.50","0.59"," ","50","3.23"," ","45.69","39.30","0.85"," "
" "," ","45","3060銘異","電腦週邊","-1.03","3.19","-3.51","1.10","1.45","1.98"," ","50","3.18"," ","16.38","27.65","-0.15"," "
" "," ","46","6789采鈺","半導體","0.31","0.68","0.25","0.79","0.22","0.92"," ","31","3.17"," ","78.00","345.50","-7.50"," "
" "," ","47","8261富鼎","半導體","1.26","-0.39","0.45","-1.02","2.44","0.34"," ","30","3.08"," ","40.14","111.00","10.00"," "
" "," ","48","2492華新科","電子零組件","3.16","-2.40","-1.05","-0.18","4.09","-0.64"," ","30","2.98"," ","59.36","129.50","4.50"," "
" "," ","49","2478大毅","電子零組件","2.16","-0.34","-0.22","0.38","-0.37","1.36"," ","31","2.97"," ","57.63","67.80","0.70"," "
" "," ","50","8464億豐","居家","-0.33","-0.28","0.18","0.51","0.09","2.78"," ","31","2.95"," ","87.87","386.00","-1.00"," "
" "," ","51","6451訊芯-KY","半導體","-0.41","-0.11","5.33","-3.09","2.36","-1.17"," ","30","2.91"," ","68.58","215.50","19.50"," "
" "," ","52","3209全科","電子通路","0.20","0.02","0.57","1.67","0.41","0.04"," ","10","2.91"," ","39.18","39.85","2.30"," "
" "," ","53","3042晶技","電子零組件","0.84","0.21","-0.34","0.40","1.31","0.47"," ","30","2.89"," ","58.81","93.50","1.40"," "
" "," ","54","1514亞力","電機","3.84","1.62","-0.36","-0.16","-1.76","-0.36"," ","31","2.82"," ","46.05","115.50","2.00"," "
" "," ","55","2049上銀","電機","0.87","0.76","-0.67","0.07","-0.48","2.24"," ","31","2.79"," ","64.68","238.50","-5.50"," "
" "," ","56","2606裕民","航運","0.98","0.61","-0.61","0.36","0.67","0.58"," ","30","2.59"," ","73.95","58.60","-1.50"," "
" "," ","57","6861睿生光電","生技醫療業","0.02","0.02","-0.15","-0.58","1.58","1.68"," ","50","2.57"," ","59.97","172.50","-5.00"," "
" "," ","58","912000晨訊科-DR","存託憑證","0.84","1.00","0.00","0.54","0.08","0.09"," ","31","2.55"," ","29.93","2.61","-0.02"," "
" "," ","59","3062建漢","通信網路","1.27","0.45","0.00","-0.22","0.94","0.03"," ","30","2.47"," ","28.85","23.35","-0.05"," "
" "," ","60","2488漢平","其他電子","1.17","1.12","-0.25","-0.18","0.15","0.44"," ","50","2.45"," ","49.54","47.60","-0.10"," "
" "," ","61","6550北極星藥業-KY","生技醫療業","2.74","-0.01","-0.01","-0.26","0.22","-0.30"," ","30","2.38"," ","75.10","24.10","-2.65"," "
" "," ","62","2467志聖","電子零組件","-1.23","0.59","-0.09","0.29","0.21","2.59"," ","31","2.36"," ","71.47","363.50","-1.50"," "
" "," ","63","1560中砂","電機","-0.85","-0.50","0.68","1.13","2.38","-0.49"," ","30","2.35"," ","67.92","460.00","4.00"," "
" "," ","64","3665貿聯-KY","其他電子","-1.40","0.14","-0.20","0.04","1.49","2.23"," ","50","2.30"," ","63.13","1590.00","-45.00"," "
" "," ","65","2883開發金","金融","0.34","0.28","0.36","0.51","0.64","0.12"," ","30","2.25"," ","65.51","20.10","0.10"," "
" "," ","66","6446藥華藥","生技醫療業","0.49","1.67","0.67","0.05","-0.23","-0.41"," ","10","2.24"," ","55.59","657.00","-7.00"," "
" "," ","67","2399映泰","電腦週邊","2.62","0.70","-1.11","0.09","0.86","-0.99"," ","30","2.17"," ","24.10","26.25","0.10"," "
" "," ","68","5234達興材料","光電","-0.66","-0.44","1.43","0.39","1.43","0.02"," ","30","2.17"," ","64.84","394.50","-7.50"," "
" "," ","69","8213志超","電子零組件","0.25","0.43","0.15","-0.07","0.66","0.69"," ","50","2.11"," ","49.31","33.60","-0.95"," "
" "," ","70","4564元翎","電機","-0.08","0.18","0.31","-0.19","0.85","1.02"," ","50","2.09"," ","40.94","20.05","-0.10"," "
" "," ","71","2867三商壽","金融","0.25","0.39","0.26","0.46","0.43","0.26"," ","10","2.05"," ","82.47","7.90","-0.02"," "
" "," ","72","2382廣達","電腦週邊","0.30","0.27","-0.13","0.44","0.60","0.56"," ","30","2.04"," ","83.38","289.00","0.50"," "
" "," ","73","1714和桐","化學","0.34","0.41","0.33","0.14","0.64","0.13"," ","30","1.99"," ","61.14","9.23","0.06"," "
" "," ","74","3092鴻碩","電子零組件","0.00","-0.91","0.42","0.00","0.65","1.80"," ","50","1.96"," ","37.19","32.10","0.25"," "
" "," ","75","2323中環","光電","0.33","0.18","-0.44","0.21","1.17","0.51"," ","30","1.96"," ","44.86","10.50","-0.90"," "
" "," ","76","2303聯電","半導體","1.43","0.17","-0.21","0.11","0.25","0.20"," ","30","1.95"," ","75.05","59.50","-1.10"," "
" "," ","77","8016矽創","半導體","0.86","-0.39","-0.42","-0.18","1.45","0.62"," ","30","1.94"," ","40.10","201.00","3.00"," "
" "," ","78","3454晶睿","光電","0.60","0.51","-0.01","-0.95","0.85","0.94"," ","50","1.94"," ","69.87","99.40","0.00"," "
" "," ","79","3535晶彩科","光電","-4.98","-0.99","3.53","-2.72","5.18","1.82"," ","30","1.84"," ","45.43","126.00","2.00"," "
" "," ","80","6691洋基工程","其他電子","-0.53","0.38","0.47","0.94","0.18","0.36"," ","31","1.80"," ","70.35","618.00","-18.00"," "
" "," ","81","2630亞航","航運","1.06","-0.83","-0.24","0.28","1.26","0.27"," ","30","1.80"," ","65.89","49.55","0.20"," "
" "," ","82","8150南茂","半導體","-0.31","-0.13","1.58","-0.11","1.04","-0.29"," ","30","1.78"," ","67.30","60.50","-0.60"," "
" "," ","83","4916事欣科","電腦週邊","1.15","2.56","-2.90","-0.94","4.10","-2.20"," ","30","1.77"," ","27.44","60.70","-0.40"," "
" "," ","84","3040遠見","其他","-0.06","0.50","0.45","0.67","0.01","0.18"," ","31","1.75"," ","69.06","48.55","4.15"," "
" "," ","85","2208台船","航運","0.04","0.93","-0.66","0.75","0.66","0.03"," ","10","1.75"," ","57.58","21.50","-0.15"," "
