"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"123","5011","久陽","17.3","-0.4","-2.26","08/19","73","55.2","54.2","49.2","39.3","43.5","22.4","20.9","18.6","15.9","14.9","19.5"
"124","1563","巧新","61","-1","-1.61","08/19","49.6","52.1","54.2","45.8","38.5","37","29.9","28.8","29.4","","","29.2"
"125","2357","華碩","925","+15","+1.65","08/19","57.7","57.5","54.2","34","32.9","34.1","36.8","42.6","50.9","49.9","53.6","46"
"126","5880","合庫金","24.85","-0.1","-0.4","08/19","66.5","63.7","54.1","56.6","57.3","45.5","42.7","49.2","49.2","53.5","45.6","48.9"
"127","6579","研揚","151","0","0","08/19","57.4","55.4","54.1","48.8","39.6","30","26.3","25.4","25","23.4","","25.4"
"128","8431","匯鑽科","44.5","-2.05","-4.4","08/19","59.8","61.2","53.7","45.4","40.6","29.8","25.9","18.1","6.76","4.57","1.63","16.4"
"129","6916","華凌","18.55","-0.05","-0.27","08/19","61.3","56.7","53.5","59.4","43.6","28.6","20.2","16.7","7.83","","","14"
"130","3227","原相","198","+1.5","+0.76","08/19","47.6","53.1","53.5","51.4","37.1","33.7","32.1","31.2","30.3","26.3","13.8","32"
"131","9802","鈺齊-KY","70.3","0","0","08/19","68.1","56.5","53.5","43.6","31.1","35.4","42.2","32.1","14","4.48","1.28","32.5"
"132","3413","京鼎","288.5","0","0","08/19","51.7","55.7","53.5","54.3","49","39.3","30.2","29.8","30.3","31.5","19","29.8"
"133","3044","健鼎","480.5","-8","-1.64","08/19","58.2","52.1","53.4","46.5","45","56.6","51.2","49.6","47.2","42.5","42.8","47.7"
"134","2353","宏碁","30.9","+0.35","+1.15","08/19","34","42.3","53.2","37.8","35.6","38.5","28.4","31.4","40","40.7","36.2","33.2"
"135","6023","元大期","83.5","-0.2","-0.24","08/19","30.9","43.4","53.2","59.4","39.9","32.4","21.8","22.1","21.7","21.1","12.8","22.2"
"136","3285","微端","36.65","-0.55","-1.48","08/19","76.2","58.2","53.1","42.4","37","30.8","10.5","9.81","9.35","11.6","5.07","9.89"
"137","6491","晶碩","375.5","+14","+3.87","08/19","55","54.2","53","51","44.1","48.7","33","32","34","32","","33.3"
"138","5215","科嘉-KY","39.65","-0.6","-1.49","08/19","67.8","52.1","52.9","41.6","42.8","44.6","28.3","20.4","18.8","17.3","12.2","20"
"139","6166","凌華","123.5","+1","+0.82","08/19","57.1","51.1","52.7","47","38.6","36.6","35.1","31.8","33.3","29.5","27.1","32.3"
"140","6415","矽力*-KY","440","-5.5","-1.23","08/19","69","57.4","52.4","41.7","45.3","53.6","49.5","46.2","50.7","52","54.4","45.1"
"141","8086","宏捷科","115.5","+0.5","+0.43","08/19","53.3","58.1","52.1","51.3","48.4","45.2","38.1","26.1","17.6","6.74","1.52","24.8"
"142","3266","昇陽","13.6","-0.2","-1.45","08/19","44.6","58.7","52","37.2","37.6","28.1","19.8","21","18.6","23.4","16.4","19.6"
"143","4557","永新-KY","51.1","+0.4","+0.79","08/19","33.8","43.4","52","24.6","24.3","15.6","25","30.7","30.6","24.2","14.7","32.2"
"144","6015","宏遠證","15.45","-0.3","-1.9","08/19","52.2","42.1","51.8","34","29.3","34.5","31.3","28.7","24.5","23.1","16.8","25.5"
"145","2527","宏璟","44.1","-0.4","-0.9","08/19","40.7","57.6","51.6","39.8","38.7","40.5","31","29.1","30.2","30","27.2","28.9"
"146","3088","艾訊","126.5","-0.5","-0.39","08/19","55.8","53.4","51.6","45.3","33.6","31.7","31.2","28.9","30","25.1","20.7","28.7"
"147","3706","神達","90.7","+0.1","+0.11","08/19","57.9","52.7","51.4","32.6","28","24.3","32.4","31.5","27.2","24.1","23","30.6"
"148","3592","瑞鼎","225","+3.5","+1.58","08/19","52.1","56.1","51.4","47","47.6","41","36.2","37","37.6","39.2","","37.4"
"149","6202","盛群","58","+0.7","+1.22","08/19","48.4","51.2","51.3","43.8","36.2","37.5","31.8","31.2","30.7","31.2","26.5","30.2"
"150","1326","台化","56.7","-2.7","-4.55","08/19","60.6","49.1","51.3","47","44.6","39.3","36.8","36.7","35.9","38.8","42.8","35.8"
"151","7749","意騰-KY","325.5","-1.5","-0.46","08/19","62","55.9","51.2","49","44.8","41.3","29.9","24.8","15.7","","","24.1"
"152","2338","光罩","37.8","-0.35","-0.92","08/19","45.4","50.3","50.9","44.4","43.8","41","34.4","28.7","28.4","27.9","15.5","28.6"
