排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
287,1707,葡萄王,89.2,0.8,0.9,26W27,07/03,51.0,-1.25,47.2,-1.24,42.4,-1.18
288,4956,光鋐,31.1,-0.3,-0.96,26W27,07/03,35.2,-0.21,33.1,-1.07,32.2,-0.22
289,00930,永豐ESG低碳高息,23.82,-0.01,-0.04,26W27,07/03,8.48,-4.21,7.39,-4.25,6.65,-4.99
290,3055,蔚華科,103.5,-7.0,-6.33,26W27,07/03,67.7,4.29,64.5,2.35,62.9,3.09
291,1409,新纖,22.5,-0.1,-0.44,26W27,07/03,64.4,0.51,63.4,0.57,62.5,0.61
292,00638R,元大滬深300反1,6.57,-0.08,-1.2,26W27,07/03,39.4,-3.23,39.4,-3.23,31.8,-3.98
293,2543,皇昌,39.25,1.55,4.11,26W27,07/03,69.8,-0.05,67.7,-0.17,66.9,-0.17
294,00936,台新永續高息中小,21.43,-0.13,-0.6,26W27,07/03,8.36,-2.19,8.04,-2.51,7.59,-2.58
295,3374,精材,306.5,-9.5,-3.01,26W27,07/03,59.0,-0.19,58.5,0.76,57.8,0.74
296,2376,技嘉,344.0,0.0,0.0,26W27,07/03,66.5,0.31,63.7,0.43,61.6,-0.24
297,1216,統一,75.7,2.7,3.7,26W27,07/03,87.7,-0.04,86.5,0.04,85.5,0.08
298,2409,友達,24.55,0.0,0.0,26W27,07/03,46.8,0.02,45.4,0.01,44.3,0.0
299,6547,高端疫苗,51.6,2.7,5.52,26W27,07/03,30.4,-0.11,29.4,0.13,28.3,-0.12
300,3045,台灣大,111.5,1.0,0.9,26W27,07/03,91.9,0.11,91.3,0.14,90.5,0.11
