"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"222","6153","嘉聯益","16.7","+0.3","+1.83","2,213","08/19","-45","-20","+2","-236","-251","-890","+4,390","+260","-2,872","-479"
"223","6165","浪凡","46.8","-0.5","-1.06","193","08/19","+11","-42","-114","-236","-198","+4,741","+4,124","-2,435","-3,605","-2,826"
"224","2890","永豐金","39.4","-0.2","-0.51","24,547","08/19","+22","+56","-116","-234","-906","-391","-1,639","-216","-1,846","-264"
"225","009824","群益美國科技巨頭","9.99","-0.14","-1.38","3,504","08/19","-7","-15","-165","-233","-221","-1,188","","","",""
"226","1736","喬山","129","0","0","292","08/19","+2","-2","+49","-232","-230","-353","-218","-156","+509","-569"
"227","00670L","富邦NASDAQ正2","199.5","-5.15","-2.52","774","08/19","-123","-187","-194","-230","-128","+103","-181","-254","-574","-331"
"228","00683L","期元大美元指正2","21.48","+0.05","+0.23","50","08/19","0","0","-30","-229","-21","-43","-74","-455","-835","-431"
"229","009804","聯邦台精彩50","21.86","-0.39","-1.75","735","08/19","-6","-4","-100","-229","-237","-589","+381","+382","+382","+406"
"230","2363","矽統","50.8","+0.1","+0.2","2,061","08/19","+433","-268","-186","-226","+157","-1,277","-3,242","-5,091","-8,188","-5,815"
"231","3489","森寶","23.8","+0.15","+0.63","122","08/19","-20","-22","-9","-224","-333","-645","-1,498","-1,139","-1,232","-979"
"232","2605","新興","36.75","+1.55","+4.4","70,856","08/19","+994","+1,691","+1,631","-221","+1,467","+1,332","+3,427","+4,434","+2,825","+2,164"
"233","9946","三發地產","18.85","0","0","227","08/19","-21","-19","-53","-221","-239","-205","-747","-1,093","-2,137","-1,446"
"234","6533","晶心科","248.5","+3.5","+1.43","924","08/19","0","-42","-121","-219","+70","-255","-277","-146","-327","-57"
"235","2466","冠西電","99","+2","+2.06","2,600","08/19","+31","-240","-244","-217","-141","-203","+831","-770","+199","-191"
"236","2498","宏達電","39.85","+0.35","+0.89","4,136","08/19","-29","+55","-170","-211","-193","-1,537","-3,346","-3,809","-884","-7,938"
"237","6781","AES-KY","1065","+5","+0.47","346","08/19","-16","-184","-253","-211","-102","-511","-1,003","-292","+830","-76"
