" "," ","#","股票代號/名稱","類別","20260226","0306","0313","0320","0327","0402"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","8271宇瞻","半導體","-0.17","0.27","13.56","-0.62","-0.27","-1.07"," ","30","11.70"," ","55.34","145.50","2.50"," "
" "," ","2","6451訊芯-KY","半導體","2.36","-1.17","0.46","6.06","2.62","0.34"," ","10","10.67"," ","78.06","295.50","-9.50"," "
" "," ","3","8028昇陽半導體","半導體","2.34","3.14","-0.62","8.08","1.89","-5.05"," ","10","9.78"," ","41.64","170.00","-7.50"," "
" "," ","4","8112至上","電子通路","0.94","-0.08","10.24","1.40","-2.15","-0.83"," ","31","9.52"," ","50.38","75.00","-1.60"," "
" "," ","5","2399映泰","電腦週邊","0.86","-0.99","0.80","6.44","1.55","0.32"," ","10","8.98"," ","33.21","33.80","1.95"," "
" "," ","6","1582信錦","電子零組件","0.82","1.30","3.11","-2.35","3.39","2.22"," ","30","8.49"," ","38.89","105.00","-3.00"," "
" "," ","7","6213聯茂","電子零組件","5.90","-2.41","0.75","1.48","-0.12","2.25"," ","31","7.85"," ","64.94","170.00","7.00"," "
" "," ","8","8021尖點","其他電子","8.18","-2.49","0.47","2.97","0.90","-2.21"," ","10","7.82"," ","47.83","242.50","-5.50"," "
" "," ","9","3583辛耘","半導體","1.02","0.59","0.61","2.54","3.08","-0.51"," ","30","7.33"," ","57.49","461.00","-4.00"," "
" "," ","10","3026禾伸堂","電子零組件","2.84","0.21","-0.39","0.63","1.79","2.15"," ","50","7.23"," ","45.61","138.50","-3.50"," "
" "," ","11","4977眾達-KY","通信網路","10.40","-5.12","0.74","2.48","-0.47","-0.95"," ","10","7.08"," ","23.33","178.00","-4.50"," "
" "," ","12","6861睿生光電","生技醫療業","1.58","1.68","2.82","-0.53","0.45","1.08"," ","50","7.08"," ","63.79","129.00","-3.00"," "
" "," ","13","1711永光","化學","1.50","1.25","1.55","3.84","-1.04","-0.11"," ","31","6.99"," ","52.11","37.50","-1.45"," "
" "," ","14","2605新興","航運","3.36","-0.73","-2.15","5.60","0.75","0.08"," ","10","6.91"," ","55.69","41.30","0.30"," "
" "," ","15","2355敬鵬","電子零組件","0.89","1.09","1.59","1.45","3.95","-2.18"," ","30","6.79"," ","44.45","51.70","-1.10"," "
" "," ","16","2461光群雷","其他電子","0.01","-0.14","2.24","1.26","2.65","0.65"," ","30","6.67"," ","46.57","18.00","0.00"," "
" "," ","17","3062建漢","通信網路","0.94","0.03","-0.60","0.63","-0.65","5.97"," ","31","6.32"," ","34.20","31.05","-1.55"," "
" "," ","18","3060銘異","電腦週邊","1.45","1.98","-0.76","0.14","3.12","0.23"," ","30","6.16"," ","19.11","28.55","-0.35"," "
" "," ","19","3645達邁","電子零組件","-0.63","-2.26","10.70","-1.55","0.17","-0.41"," ","30","6.02"," ","48.35","73.20","0.10"," "
" "," ","20","3209全科","電子通路","0.41","0.04","0.69","3.18","0.44","0.58"," ","31","5.34"," ","44.07","40.35","-1.15"," "
" "," ","21","2243宏旭-KY","汽車","0.66","0.87","1.43","1.09","1.03","0.02"," ","10","5.10"," ","50.42","19.90","-2.15"," "
" "," ","22","6531愛普*","半導體","-0.27","0.70","1.85","3.23","-0.08","-0.58"," ","10","4.85"," ","65.26","440.00","-20.00"," "
" "," ","23","2426鼎元","光電","0.41","-0.16","4.30","0.25","0.39","-0.37"," ","30","4.82"," ","47.42","38.30","3.45"," "
" "," ","24","1727中華化","化學","4.53","1.50","4.65","-5.97","0.25","-0.17"," ","30","4.79"," ","55.90","48.10","-1.15"," "
" "," ","25","2472立隆電","電子零組件","3.30","-0.57","-1.15","3.11","-0.24","0.20"," ","31","4.65"," ","56.95","131.50","-1.50"," "
" "," ","26","2497怡利電","汽車","-0.43","0.72","-0.30","4.47","-0.14","0.33"," ","31","4.65"," ","65.31","52.10","1.90"," "
" "," ","27","3450聯鈞","半導體","9.80","0.35","-3.60","-0.51","4.74","-6.14"," ","30","4.64"," ","30.59","241.00","-6.50"," "
" "," ","28","2351順德","半導體","-0.51","-0.78","1.34","2.65","0.69","1.06"," ","31","4.45"," ","68.72","99.60","-3.90"," "
" "," ","29","4906正文","通信網路","0.11","-0.17","0.49","3.48","2.64","-2.20"," ","10","4.35"," ","34.52","39.30","-0.35"," "
" "," ","30","8261富鼎","半導體","2.44","0.34","1.61","0.98","0.23","-1.44"," ","10","4.16"," ","41.52","100.50","1.20"," "
" "," ","31","4722國精化","化學","6.36","-0.70","-1.32","0.70","-0.61","-0.49"," ","31","3.94"," ","55.16","159.00","-5.50"," "
" "," ","32","8016矽創","半導體","1.45","0.62","0.27","0.76","0.28","0.55"," ","31","3.93"," ","41.96","191.00","-3.50"," "
" "," ","33","1708東鹼","化學","0.50","0.59","0.34","4.59","-1.14","-0.96"," ","31","3.92"," ","48.52","41.80","-0.40"," "
" "," ","34","4949有成精密","光電","0.55","-0.44","2.93","1.54","-0.73","-0.05"," ","31","3.80"," ","59.42","64.10","-3.80"," "
" "," ","35","9933中鼎","其他","-0.20","-0.07","1.91","1.10","1.14","-0.18"," ","30","3.70"," ","58.76","35.65","0.15"," "
" "," ","36","3665貿聯-KY","其他電子","1.49","2.23","-1.02","0.34","1.18","-0.54"," ","30","3.68"," ","63.09","1915.00","5.00"," "
" "," ","37","3563牧德","光電","0.61","3.70","-1.29","1.21","0.87","-1.52"," ","10","3.58"," ","57.00","775.00","0.00"," "
