"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"2101","3555","博士旺","156.5","-1","-0.63","26W30","07/24","22.3","0","22.3","0","77.7","0"
"2102","5278","尚凡*","24.65","0","0","26W30","07/24","21.2","-0.17","22.3","-0.17","77.7","+0.17"
"2103","1735","日勝化","20.5","-0.1","-0.49","26W30","07/24","22.2","0","22.2","0","77.8","0"
"2104","2433","互盛電","41.95","+0.15","+0.36","26W30","07/24","22.2","+0.03","22.2","+0.03","77.8","-0.03"
"2105","5546","永固-KY","14","+0.3","+2.19","26W30","07/24","20.9","0","22","0","78","0"
"2106","2897B","王道銀乙特","11.5","+0.05","+0.44","26W30","07/24","20.4","0","21.9","0","78.1","0"
"2107","3332","幸康","61.9","0","0","26W30","07/24","20.2","0","22.1","0","77.9","0"
"2108","2211","長榮鋼","88.1","+1.9","+2.2","26W30","07/24","20.2","+0.43","21.5","+0.42","78.5","-0.42"
"2109","6666","羅麗芬-KY","42.5","+0.2","+0.47","26W30","07/24","22","+0.02","22","+0.02","78","-0.02"
"2110","1459","聯發","12.9","-0.05","-0.39","26W30","07/24","18.5","-0.03","20.3","-0.03","79.7","+0.03"
"2111","8464","億豐","381","-1","-0.26","26W30","07/24","20.1","-0.34","21.8","-0.34","78.2","+0.34"
"2112","2597","潤弘","166","+1.5","+0.91","26W30","07/24","21","+0.02","21.9","+0.02","78.1","-0.02"
"2113","1808","潤隆","33.05","+1.2","+3.77","26W30","07/24","21.5","-0.21","21.9","-0.31","78.1","+0.31"
"2114","4148","全宇生技-KY","30.3","-0.5","-1.62","26W30","07/24","21.8","0","21.8","0","78.2","0"
"2115","6464","台數科","78","+0.7","+0.91","26W30","07/24","19.3","-0.41","20.7","-1.13","79.3","+1.13"
"2116","9940","信義","20.8","+0.45","+2.21","26W30","07/24","21.5","-0.02","22","-0.02","78","+0.02"
"2117","7713","威力德生醫","68.9","-0.2","-0.29","26W30","07/24","21.7","-0.07","21.7","-0.07","78.3","+0.07"
